Datalogger Make,Datalogger Model,Serial Number,Deployment Place,Installation Date,Removal Date
CSI,CUSP-Me BOX,Me-12025,Wellington Majestic Centre Building Array Cusp-Me,2011-03-20T11:00:01Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12026,Wellington Majestic Centre Building Array Cusp-Me,2011-03-20T11:00:01Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12027,Christchurch Polytechnic Institute of Technology Cusp-Me,2012-05-13T12:00:01Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12028,Wellington Majestic Centre Building Array Cusp-Me,2011-03-20T11:00:01Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12029,Wellington Majestic Centre Building Array Cusp-Me,2011-03-20T11:00:01Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12030,Wellington Majestic Centre Building Array Cusp-Me,2011-03-20T11:00:01Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12031,Wellington Majestic Centre Building Array Cusp-Me,2011-03-20T11:00:01Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12032,Wellington Majestic Centre Building Array Cusp-Me,2011-03-20T11:00:01Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12033,Wellington Majestic Centre Building Array Cusp-Me,2011-03-20T11:00:01Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12034,Wellington Majestic Centre Building Array Cusp-Me,2011-03-20T11:00:01Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12035,Wellington Majestic Centre Building Array Cusp-Me,2011-03-20T11:00:01Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12036,Wellington Majestic Centre Building Array Cusp-Me,2011-03-20T11:00:01Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12037,Nelson and Marlborough Institute of Technology Cusp-Me,2011-01-31T11:00:01Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12038,Nelson and Marlborough Institute of Technology Cusp-Me,2011-01-31T11:00:01Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12039,Nelson and Marlborough Institute of Technology Cusp-Me,2011-01-31T11:00:01Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12040,Nelson and Marlborough Institute of Technology Cusp-Me,2011-01-31T11:00:01Z,9999-01-01T00:00:00Z
