Manufacturer,Make,Model,Serial Number,Notes
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,3De-20811e,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,3De-20812e,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,3De-20813e,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,3De-20814e,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,3De-20815e,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,3De-20816e,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,3De-20817e,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,3De-20818e,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,3De-20819e,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,3De-20820e,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,3De-20821e,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,3De-20822e,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,3De-20823e,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,3De-20824e,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,3De-20825e,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,3De-20826e,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,3De-20827e,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,3De-20828e,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,3De-20829e,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,3De-20830e,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,3De-20831e,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,3De-20832e,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,3De-20833e,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,3De-20834e,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,3De-20835e,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,3De-20836e,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,3De-20837e,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,3De-20838e,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,3De-20839e,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,3De-20840e,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,3De-20841e,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,3De-20842e,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,3De-20843e,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,3De-20844e,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,3De-20845e,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,3De-20846e,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,3De-20847e,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,3De-20848e,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,3De-20850e,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,3De-20852e,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,3De-20853e,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,3De-20854e,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,3De-20855e,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,3De-20856e,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,3De-20857e,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,3De-20858e,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,3De-20859e,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,3De-20860e,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,3De-20861e,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,3De-20862e,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,3De-20863e,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12001,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12002,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12003,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12006,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12009,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12010,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12017,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12018,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12019,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12020,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12021,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12022,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12023,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12024,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12025,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12026,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12027,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12028,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12029,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12030,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12031,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12032,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12033,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12034,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12035,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12036,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12037,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12038,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12039,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12040,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12041,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12042,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12043,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12044,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12045,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12046,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12047,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12048,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12049,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12050,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12051,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12052,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12053,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12054,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12055,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12056,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12057,
