Datalogger Make,Datalogger Model,Serial Number,Deployment Place,Deployment Role,Installation Date,Removal Date
Nanometrics,ORION,TMP_6045,Waipapa,,2001-01-16T11:53:00Z,2001-06-27T20:55:00Z
Nanometrics,ORION,TMP_6046,Yup Farm,,2001-01-15T11:33:00Z,2001-06-27T20:55:00Z
Nanometrics,Taurus,403,MRP Rotokawa 01,Portable,2008-07-02T21:39:01Z,2008-10-10T00:00:00Z
Nanometrics,Taurus,403,Motutapu Island,Portable,2012-10-08T23:00:01Z,2012-12-04T00:00:00Z
Nanometrics,Taurus,436,Owenga,Portable A,2007-01-10T00:00:01Z,2009-07-17T00:00:00Z
Nanometrics,Taurus,436,Breaksea Sound,Portable A,2009-07-17T00:00:01Z,2009-12-11T00:00:00Z
Nanometrics,Taurus,436,Miners Road,Portable,2010-09-05T22:10:01Z,2010-09-29T00:00:00Z
Nanometrics,Taurus,436,Rhodes Road,Portable A,2011-02-28T00:27:45Z,2011-02-28T00:27:46Z
Nanometrics,Taurus,436,Okuti Valley Road,Portable,2011-02-28T00:27:47Z,2013-07-23T03:00:00Z
Nanometrics,Taurus,436,Oyster Bay,Portable,2013-07-23T03:00:03Z,2013-11-21T12:00:00Z
Nanometrics,Taurus,461,Patutahi,Portable,2006-07-22T21:00:01Z,2006-08-17T05:00:00Z
Nanometrics,Taurus,461,MRP Kawerau South Site KQ02,Portable,2008-02-12T22:00:01Z,2008-03-18T02:00:00Z
Nanometrics,Taurus,461,MRP Kawerau West Site KQ04,Portable,2008-05-13T22:00:01Z,2008-06-04T03:00:00Z
Nanometrics,Taurus,461,Waipahi,Portable,2014-03-17T01:00:01Z,2014-09-17T03:00:00Z
Nanometrics,Taurus,461,Waikouaiti,Portable,2014-09-17T03:00:01Z,2015-04-30T00:00:00Z
Nanometrics,Taurus,472,Lathrope Road,Portable A,2006-11-23T03:22:01Z,2007-05-16T04:00:00Z
Nanometrics,Taurus,472,Lower Hutt Rock Site,Portable,2008-10-01T03:13:01Z,2009-02-11T23:00:00Z
Nanometrics,Taurus,472,White Island 05,Portable,2011-06-13T21:40:01Z,2011-11-24T00:00:00Z
Nanometrics,Taurus,483,MRP Kawerau East Site KQ03,Portable,2008-02-12T22:30:01Z,2008-03-18T02:00:00Z
Nanometrics,Taurus,483,Hockey Stadium,Portable,2008-10-07T00:45:00Z,2008-10-31T03:24:00Z
Nanometrics,Taurus,483,Lower Hutt Emergency Management,Portable,2008-11-19T23:17:01Z,2009-02-11T23:00:00Z
Nanometrics,Taurus,483,Waihaha,Portable A,2011-08-01T00:00:01Z,2011-09-08T00:00:00Z
Nanometrics,Taurus,483,Tongariro 4,Portable,2012-07-20T23:00:01Z,2013-06-07T01:00:00Z
Nanometrics,Taurus,483,East Tongariro,Portable,2013-09-26T23:00:01Z,2014-03-19T21:00:00Z
Nanometrics,Taurus,483,Riverton,Portable,2014-03-19T21:00:01Z,2014-09-19T00:00:00Z
Nanometrics,Taurus,483,Hampden,Portable,2014-09-19T00:00:01Z,2015-04-30T00:00:00Z
Nanometrics,Taurus,487,MRP Rotokawa 06,Portable,2008-07-02T23:40:01Z,2008-10-10T00:00:00Z
Nanometrics,Taurus,487,Sutton,Portable,2014-03-13T02:40:01Z,2014-10-11T02:00:00Z
Nanometrics,Taurus,487,Cattle Creek,Portable,2014-10-11T02:00:01Z,2015-04-30T00:00:00Z
Nanometrics,Taurus,492,Duncan Road,Portable,2006-07-24T01:00:01Z,2006-08-17T05:00:00Z
Nanometrics,Taurus,492,North of Bare Cone,Portable,2007-10-17T22:20:01Z,2007-11-27T23:00:00Z
Nanometrics,Taurus,492,Supper Cove,Portable,2009-07-17T00:00:01Z,2009-09-15T00:00:00Z
Nanometrics,Taurus,492,McKay,Portable,2010-09-05T05:30:01Z,2010-09-29T00:00:00Z
Nanometrics,Taurus,492,Purau,Portable,2011-02-27T02:13:26Z,2011-10-19T01:22:45Z
Nanometrics,Taurus,501,Okepuha Station,Portable,2006-05-04T05:00:01Z,2006-05-28T11:45:00Z
Nanometrics,Taurus,501,MRP Kawerau Central Site KQ01,Portable,2008-05-13T22:00:01Z,2008-06-04T00:00:00Z
Nanometrics,Taurus,501,Karaka Road Borehole,Portable,2008-07-11T00:00:01Z,2008-09-17T01:00:00Z
Nanometrics,Taurus,501,Ngongotaha,Portable,2011-05-11T00:00:01Z,2011-05-11T01:05:00Z
Nanometrics,Taurus,501,Tongariro 2,Portable,2012-07-21T03:00:01Z,2012-10-12T00:00:00Z
Nanometrics,Taurus,504,Mount Tanilba,Portable,2007-10-17T20:00:01Z,2007-11-27T22:00:00Z
Nanometrics,Taurus,504,Horizon International Brick and Paving Centre,Portable,2008-10-23T23:00:01Z,2009-02-11T23:00:00Z
Nanometrics,Taurus,504,Duck Cove,Portable,2009-07-16T00:00:01Z,2009-09-15T23:00:00Z
Nanometrics,Taurus,504,White Island 06,Portable,2011-06-13T01:11:01Z,2011-11-24T00:00:00Z
Nanometrics,Taurus,504,Owaka,Portable,2014-03-17T20:00:01Z,2014-09-18T00:00:00Z
Nanometrics,Taurus,504,Otekaieke,Portable,2014-09-18T00:00:01Z,2015-04-30T00:00:00Z
Nanometrics,Taurus,554,South of Mount Elder,Portable,2007-10-17T21:00:01Z,2007-11-27T23:00:00Z
Nanometrics,Taurus,554,Lower Hutt Unilever,Portable,2008-10-02T22:50:01Z,2009-02-11T22:00:00Z
Nanometrics,Taurus,554,White Island 12,Portable,2011-06-13T00:00:01Z,2011-11-24T00:00:00Z
Nanometrics,Taurus,554,Roxburgh,Portable,2014-03-11T22:00:01Z,2014-10-13T01:00:00Z
Nanometrics,Taurus,554,Waihao,Portable,2014-10-13T01:00:01Z,2015-04-30T00:00:00Z
Nanometrics,Taurus,576,MRP Rotokawa 02,Portable,2008-07-02T21:26:01Z,2008-10-10T00:00:00Z
Nanometrics,Taurus,576,White Island 04,Portable,2011-06-13T23:05:01Z,2011-11-24T00:00:00Z
Nanometrics,Taurus,576,Kaitangata,Portable,2014-03-15T01:40:01Z,2014-09-17T22:00:00Z
Nanometrics,Taurus,576,Aviemore,Portable,2014-09-17T22:00:01Z,2015-04-30T00:00:00Z
Nanometrics,Taurus,582,Carnagh Station,Portable B,2006-08-15T01:00:01Z,2006-11-15T00:00:00Z
Nanometrics,Taurus,582,Matarangi,Portable,2008-02-07T01:00:01Z,2008-03-06T02:00:00Z
Nanometrics,Taurus,582,White Island 15,Portable,2011-06-12T00:00:01Z,2011-11-24T00:00:00Z
Nanometrics,Taurus,582,Mandeville,Portable,2014-03-18T21:00:01Z,2014-09-16T21:00:00Z
Nanometrics,Taurus,582,Kyeburn,Portable,2014-09-16T21:00:01Z,2015-04-30T00:00:00Z
Nanometrics,Taurus,584,Lower Hutt Emergency Management,Portable,2008-10-03T01:19:01Z,2008-11-19T23:17:00Z
Nanometrics,Taurus,584,Purser Grove,Portable,2008-11-26T05:10:01Z,2009-02-12T02:00:00Z
Nanometrics,Taurus,584,White Island 07,Portable,2011-06-13T00:12:01Z,2011-09-22T01:00:00Z
Nanometrics,Taurus,584,Park Hill,Portable,2014-03-12T02:00:01Z,9999-01-01T00:00:00Z
Nanometrics,Taurus,589,MRP Rotokawa 07,Portable,2008-07-02T22:54:01Z,2008-10-10T00:00:00Z
Nanometrics,Taurus,589,Logan Burn,Portable,2014-05-28T02:10:01Z,2014-10-13T21:00:00Z
Nanometrics,Taurus,589,Grays,Portable,2014-10-13T21:00:01Z,2015-04-30T00:00:00Z
Nanometrics,Taurus,592,MRP Kawerau Central Site KQ01,Portable,2008-02-12T21:06:31Z,2008-03-18T02:00:00Z
Nanometrics,Taurus,592,Brighton,Portable,2014-03-10T21:30:01Z,2014-10-15T01:30:00Z
Nanometrics,Taurus,592,Milford,Portable,2014-10-15T01:30:01Z,2015-04-30T00:00:00Z
Nanometrics,Taurus,599,MRP Rotokawa 05,Portable,2008-07-02T22:30:02Z,2008-10-10T00:00:00Z
Nanometrics,Taurus,599,White Island 10,Portable,2011-06-13T02:18:01Z,2011-11-24T00:00:00Z
Nanometrics,Taurus,599,Waikaia,Portable,2014-03-19T00:30:01Z,2014-09-15T00:00:01Z
Nanometrics,Taurus,599,Moonlight,Portable,2014-09-15T00:00:02Z,2015-04-30T00:00:00Z
Nanometrics,Taurus,602,White Island 02,Portable,2011-06-14T00:45:01Z,2011-11-24T00:00:00Z
