Manufacturer,Make,Model,Serial Number,Notes
IESE Institute of Earth Science & Engineering,IESE,IESE HS-1-LT 2Hz,106,
IESE Institute of Earth Science & Engineering,IESE,IESE HS-1-LT Mini 4.5Hz,197,
IESE Institute of Earth Science & Engineering,IESE,IESE HS-1-LT Mini 4.5Hz,198,
IESE Institute of Earth Science & Engineering,IESE,IESE HS-1-LT Mini 4.5Hz,200,
IESE Institute of Earth Science & Engineering,IESE,IESE HS-1-LT Mini 4.5Hz,208,
IESE Institute of Earth Science & Engineering,IESE,IESE S10g-4.5 (with preamp),99999-MRP-NS12,
IESE Institute of Earth Science & Engineering,IESE,IESE S10g-4.5 (with preamp),99999-MRP-NS13,Pre-amped removed
IESE Institute of Earth Science & Engineering,IESE,IESE S10g-4.5 (without preamp),99999-MRP-NS13,
IESE Institute of Earth Science & Engineering,IESE,IESE S31f-15 (with preamp),99999-MRP-NS14,
