Station,Location,Latitude,Longitude,Elevation,Depth,Datum,Survey,Start Date,End Date
DKHS,20,-45.902225879,170.492935221,13,0,WGS84,Internal GPS Clock,2002-06-06T00:00:00Z,9999-01-01T00:00:00Z
KIW,10,-40.8608783,174.909727546,381,0,WGS84,Internal GPS Clock,1986-09-22T00:00:00Z,9999-01-01T00:00:00Z
