Sensor Make,Sensor Model,Serial Number,Station Code,Location Code,Installation Azimuth,Installation Dip,Installation Depth,Installation Date,Removal Date
HydrologicalServices,HS55 Bubbler WL100D,07-01,INFR,41,0,0,0,2013-05-20T12:10:00Z,9998-12-31T21:25:13Z
HydrologicalServices,HS55 Bubbler WL100D,07-01,INFR,41,0,0,0,2013-05-20T12:10:00Z,9998-12-31T21:25:13Z
