Mark,Domes Number,Mark Type,Type,Ground Relationship,Foundation Type,Foundation Depth,Start Date,End Date,Bedrock,Geology
HANA,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.57,Stainless Steel Rods,10,2007-02-26T00:00:00Z,9999-01-01T00:00:00Z,Sandstone,
HANM,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.505,Stainless Steel Rods,10,2014-05-07T00:00:00Z,9999-01-01T00:00:00Z,,
HAST,50221M001,Forced Centering,Pillar,-1.55,Reinforced Concrete,2,2002-09-19T00:00:00Z,9999-01-01T00:00:00Z,Sandstone,
HIKB,50225M001,Forced Centering,Pillar,-1.2,Reinforced Concrete,2,2003-05-01T00:00:00Z,9999-01-01T00:00:00Z,Sandstone,
HOKI,50211M001,Forced Centering,Pillar,-2,Reinforced Concrete,2,1998-06-01T00:00:00Z,9999-01-01T00:00:00Z,Sandstone,
HOLD,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.15,Stainless Steel Rods,10,2007-02-12T00:00:00Z,9999-01-01T00:00:00Z,Greywacke,
HORN,,Forced Centering,Pillar,-0.4,Reinforced Concrete,2,2002-11-01T00:00:00Z,9999-01-01T00:00:00Z,Sandstone,
HSPA,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.7,Stainless Steel Rods,10,2025-02-26T00:00:00Z,9999-01-01T00:00:00Z,Schist,
IFMA,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.5,Stainless Steel Rods,10,2025-03-12T00:00:00Z,9999-01-01T00:00:00Z,Semischist,"Planar-foliated, low-grade psammitic/pelitic semischist, minor low-grade metatuff and metachert, TZIIB."
JTGT,,Forced Centering,Steel Mast,-2.6,Wooden Pier,0,2025-02-20T00:00:00Z,9999-01-01T00:00:00Z,,
KAHU,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.5,Stainless Steel Rods,10,2006-04-19T00:00:00Z,9999-01-01T00:00:00Z,Limestone,
KAIK,50231M001,Forced Centering,Pillar,-1.27,Reinforced Concrete,2,2004-01-30T00:00:00Z,9999-01-01T00:00:00Z,Greywacke,
KAPT,,Forced Centering,Pillar,-1.275,Reinforced Concrete,2,2004-06-10T00:00:00Z,9999-01-01T00:00:00Z,Greywacke,
KARA,,Forced Centering,Pillar,-0.4,Reinforced Concrete,2,2000-02-04T00:00:00Z,9999-01-01T00:00:00Z,Schist,
KAWK,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.5,Stainless Steel Rods,10,2010-06-02T00:00:00Z,9999-01-01T00:00:00Z,,
KERE,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.5,Stainless Steel Rods,10,2006-05-17T00:00:00Z,9999-01-01T00:00:00Z,Greywacke,
KOKO,,Forced Centering,Pillar,-1.308,Reinforced Concrete,2,2004-11-03T00:00:00Z,9999-01-01T00:00:00Z,Limestone,
KORO,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.15,Stainless Steel Rods,10,2007-06-14T00:00:00Z,9999-01-01T00:00:00Z,Sandstone,
KTIA,50241M001,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.475,Stainless Steel Rods,10,2007-05-03T00:00:00Z,9999-01-01T00:00:00Z,Sandstone,Drilled Into Silica Sand On Top Of Broad Hill.  Further Down The Hill Are Layered Sediments Including Very Hard Silica Concretions/Lenses.
KUTA,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.499,Stainless Steel Rods,10,2010-04-07T00:00:00Z,9999-01-01T00:00:00Z,Sandstone,
LDRZ,50256M001,Forced Centering,Pillar,-1.562,Reinforced Concrete,2,1976-01-01T00:00:00Z,9999-01-01T00:00:00Z,,
LEVN,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.64,Stainless Steel Rods,10,2008-06-30T00:00:00Z,9999-01-01T00:00:00Z,Sandstone,
LEXA,50236M001,Forced Centering,Pillar,-1.27,Reinforced Concrete,2,2004-03-18T00:00:00Z,9999-01-01T00:00:00Z,Schist,
LEYL,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.15,Stainless Steel Rods,10,2007-02-19T00:00:00Z,9999-01-01T00:00:00Z,Sandstone,
LKTA,50233M001,Forced Centering,Pillar,-1.289,Reinforced Concrete,2,2004-02-01T00:00:00Z,9999-01-01T00:00:00Z,Sandstone,
LOK1,,Unmarked Mark,Unknown,-0.899,Unknown,0,2016-11-15T00:00:00Z,2017-11-02T00:00:00Z,,
LOOK,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.592,Stainless Steel Rods,10,2017-03-28T00:00:00Z,9999-01-01T00:00:00Z,Basalt,Lookout Formation - Trachy-Basalt And Andesite Lava Flows With Soil Cover
LRR1,,Forced Centering,Steel Mast,0,Stainless Steel Rod,0,2016-11-15T00:00:00Z,9999-01-01T00:00:00Z,,
LY2T,,Forced Centering,Steel Mast,-2.1,Reinforced Concrete,0,2024-08-22T00:00:00Z,9999-01-01T00:00:00Z,Siltstone,
LYTT,50214S001,Forced Centering,Steel Mast,-3.5,Stainless Steel Rod,0,1999-11-01T00:00:00Z,9999-01-01T00:00:00Z,Siltstone,
MAHA,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.44,Stainless Steel Rods,10,2009-11-16T00:00:00Z,9999-01-01T00:00:00Z,Schist,
MAHI,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.5,Stainless Steel Rods,10,2007-02-20T00:00:00Z,9999-01-01T00:00:00Z,Limestone,
MAHO,50229M001,Forced Centering,Pillar,-1.185,Reinforced Concrete,2,2004-02-29T00:00:00Z,9999-01-01T00:00:00Z,Limestone,
MAKO,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.49,Stainless Steel Rods,10,2010-01-01T00:00:00Z,9999-01-01T00:00:00Z,,
MANG,,Forced Centering,Pillar,-1.395,Reinforced Concrete,2,2005-02-03T00:00:00Z,9999-01-01T00:00:00Z,Greywacke,
MAST,50220M001,Forced Centering,Pillar,-1.45,Reinforced Concrete,2,2002-12-19T00:00:00Z,2016-06-08T00:00:00Z,Sandstone,
MATW,,Forced Centering,Pillar,-1.38,Reinforced Concrete,2,2004-04-09T00:00:00Z,9999-01-01T00:00:00Z,Sandstone,
MAVL,50235M001,Forced Centering,Pillar,-1.2,Reinforced Concrete,2,2004-05-17T00:00:00Z,9999-01-01T00:00:00Z,Basalt,
MCNL,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.507,Stainless Steel Rods,10,2008-05-26T00:00:00Z,9999-01-01T00:00:00Z,Sandstone,
METH,50251M001,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.56,Stainless Steel Rods,6,2010-08-01T00:00:00Z,9999-01-01T00:00:00Z,,
MING,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.54,Stainless Steel Rods,10,2010-04-28T00:00:00Z,9999-01-01T00:00:00Z,,
MKNO,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.551,Stainless Steel Rods,10,2011-05-11T00:00:00Z,9999-01-01T00:00:00Z,,
MKP1,,Forced Centering,Steel Mast,-2,Ground Screw,0.5,2025-03-17T00:00:00Z,9999-01-01T00:00:00Z,Sandstone,Landslide deposit
MKP2,,Forced Centering,Steel Mast,-2,Ground Screw,0.5,2025-03-18T00:00:00Z,9999-01-01T00:00:00Z,Sandstone,Landslide deposit
MKTR,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.70,Stainless Steel Rods,10,2025-03-04T00:00:00Z,9999-01-01T00:00:00Z,,
MNHR,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.58,Stainless Steel Rods,10,2011-02-16T00:00:00Z,9999-01-01T00:00:00Z,,
MNMW,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.635,Stainless Steel Rods,10,2023-09-21T00:00:00Z,9999-01-01T00:00:00Z,,
MQZG,50214M001,Forced Centering,Pillar,-0.95,Reinforced Concrete,2,1999-09-27T00:00:00Z,9999-01-01T00:00:00Z,Rhyolite,
MRBL,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.5,Stainless Steel Rods,10,2014-06-01T00:00:00Z,9999-01-01T00:00:00Z,,
MTBL,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.483,Stainless Steel Rods,10,2008-03-27T00:00:00Z,9999-01-01T00:00:00Z,Sandstone,"Mapped As Qt, Quaternary Marine Deposits On Coastal Benches.  Forms Flat Terrace Tops Which Are Incised By Waterways."
MTJO,50204M001,Forced Centering,Pillar,-2.4,Reinforced Concrete,2,2000-07-31T00:00:00Z,9999-01-01T00:00:00Z,Greywacke,
MTPR,,Forced Centering,Shallow Rod / Braced Antenna Mount,-1.262,Stainless Steel Rods,2.5,2010-01-27T00:00:00Z,9999-01-01T00:00:00Z,,
MTQN,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.51,Stainless Steel Rods,10,2008-06-30T00:00:00Z,9999-01-01T00:00:00Z,Greywacke,Mt Quoin In South Tararuas
MUL1,,Unmarked Mark,Unknown,-0.797,Unknown,0,2016-11-16T00:00:00Z,2018-01-15T00:00:00Z,,
MWOR,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.50,Stainless Steel Rods,10,2024-12-04T00:00:00Z,9999-01-01T00:00:00Z,Breccia,"Laharic breccia of andesite cobbles in a muddy matrix, and conglomerate and sand with interbedded peat."
NETT,,Forced Centering,Pillar,-0.4,Reinforced Concrete,2,2002-02-17T00:00:00Z,9999-01-01T00:00:00Z,,Bedrock Info For This Area Not Available On Geological Map
NIUC,,Forced Centering,Pillar,-9.99,Reinforced Concrete,2,1996-11-13T00:00:00Z,2003-12-31T00:00:00Z,,
NIUM,50210M001,Forced Centering,Shallow Rod / Braced Antenna Mount,-1.5,Stainless Steel Rods,2.5,2005-09-14T00:00:00Z,9999-01-01T00:00:00Z,Limestone,
NLS1,,Not Specified,Unknown,-1,Unknown,0,2011-12-19T00:00:00Z,2013-11-14T00:00:00Z,,
NLS2,,Not Specified,Unknown,-1,Unknown,0,2011-12-20T00:00:00Z,2013-11-14T00:00:00Z,,
NLS3,,Not Specified,Unknown,-0.987,Unknown,0,2022-08-24T04:31:08Z,9999-01-01T00:00:00Z,,
NLS4,,Not Specified,Unknown,-1.296,Unknown,0,2022-08-24T01:22:38Z,9999-01-01T00:00:00Z,,
NLSN,50232M001,Forced Centering,Pillar,-1.31,Reinforced Concrete,2,2004-02-06T00:00:00Z,9999-01-01T00:00:00Z,Basalt,
NMAI,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.43,Stainless Steel Rods,10,2008-02-13T00:00:00Z,9999-01-01T00:00:00Z,Limestone,
NPLY,50227M001,Forced Centering,Pillar,-1.53,Reinforced Concrete,2,2003-03-20T00:00:00Z,9999-01-01T00:00:00Z,Sandstone,
