Station,Network,Name,Latitude,Longitude,Elevation,Depth,Datum,Start Date,End Date
ADCS,SM,Ashburton District Council,-43.9024444,171.74756295,111,0,WGS84,2002-06-26T00:00:00Z,9999-01-01T00:00:00Z
WTMC,SC,Te Mara Farm Waiau,-42.619455176,173.053596231,198,0,WGS84,2005-11-15T00:00:00Z,9999-01-01T00:00:00Z
