Datalogger Make,Datalogger Model,Serial Number,Deployment Place,Installation Date,Removal Date
Lennartz,MARS88,195,Pentwyn Mars88,2001-01-25T07:07:00Z,2001-06-25T05:40:00Z
Lennartz,MARS88,196,Home Valley Road Mars88,2001-01-22T17:19:00Z,2001-06-25T04:00:00Z
Lennartz,MARS88,197,Three Kings Range Mars88,2001-01-22T13:36:00Z,2001-06-25T04:00:00Z
Lennartz,MARS88,199,Motokawa Mars88,2001-01-24T14:16:00Z,2001-06-23T12:10:00Z
Lennartz,MARS88,200,Mangaohane Mars88,2001-01-23T18:03:00Z,2001-06-12T09:40:00Z
Lennartz,MARS88,201,Waione Mars88,2001-01-24T11:52:00Z,2001-06-25T05:40:00Z
