Gauge,Network,Identification Number,Analysis Time Zone,Analysis Latitude,Analysis Longitude,Crex Tag,Start Date,End Date
AUCT,TG,363,180,36.5,174.47,-3683144 17478654 AUCT,2000-01-01T00:00:00Z,9999-01-01T00:00:00Z
CPIT,TG,313,180,40.55,176.13,-4089929 17623168 CPIT,2000-01-01T00:00:00Z,9999-01-01T00:00:00Z
