Mount,View,Label,Azimuth,Method,Dip,Description,Start Date,End Date
MTSR,01,Ruapehu South,180,,10,Images of Mount Ruapehu from the volcano camera situated at Mangateitei.,2011-09-08T00:10:00Z,9999-01-01T00:00:00Z
RIMM,02,Raoul Island,280,,-10,Images looking into Green Lake on Raoul Island from the volcano camera situated on Mount Moumoukai.,2009-05-18T00:00:02Z,9999-01-01T00:00:00Z
