Gauge,Number,Constituent,Amplitude,Lag,Start Date,End Date
AUCT,1,Z0,186.2448,0,2000-01-01T00:00:00Z,9999-01-01T00:00:00Z
AUCT,2,SA,3.8781,112.03,2000-01-01T00:00:00Z,9999-01-01T00:00:00Z
