Make,Model,Serial,Station,Location,Azimuth,Dip,Depth,North,East,Scale Factor,Scale Bias,Start Date,End Date
AppliedGeomechanics,Lily tiltmeter,N7935,COVZ,90,233,0,64,0,0,1,0,2009-11-15T01:00:00Z,2013-05-24T00:00:00Z
Guralp,CMG-3ESPC,T36194,INZ,10,0,0,0,0,0,1,0,2012-05-21T11:00:04Z,2013-07-10T23:00:00Z
