Network,Station,Name,Latitude,Longitude,Elevation,Datum,Depth,Start Date,End Date
MC,NA000,Ngauruhoe Volcano,-39.156798,175.631871,2197.0,WGS84,,2003-07-17T00:00:00Z,9999-01-01T00:00:00Z
MC,NA001,Ngauruhoe crater inner rim north-west fumarole field,-39.1562653309,175.631464065,2280,WGS84,,1978-07-01T00:00:00Z,9999-01-01T00:00:00Z
