Station,Site Class,Vs30,Vs30 Quality,Tsite,Tsite Method,Tsite Quality,Basement Depth,Depth Quality,Link,Citations,Notes
WHAS,C,270,Q3,0.4,I,Q3,40,Q3,,Perrin2015a,Perrin et al. 2015
WKZ,B,1000,Q3,<0.1,I,Q3,0,Q3,,Kaiser2017 Perrin2015a,Perrin et al. 2015
