Mount Code,Mount Network,Mount Name,Latitude,Longitude,Elevation,Datum,Description,Start Time,End Time
MTSR,,Ruapehu South,-39.384607843,175.470410324,840,WGS84,Images of Mount Ruapehu from the volcano camera situated at Mangateitei.,2011-09-08T00:10:00Z,9999-01-01T00:00:00Z
RIMM,,Raoul Island,-29.267332,-177.907235,490,WGS84,Images looking into Green Lake on Raoul Island from the volcano camera situated on Mount Moumoukai.,2009-05-18T00:00:02Z,9999-01-01T00:00:00Z
