Station,Network,Name,Latitude,Longitude,Elevation,Datum,Start Date,End Date
DFE,TR,Dawson Falls,-39.325743417,174.103863732,880,WGS84,1993-12-14T00:00:00Z,2010-02-23T00:00:00Z
TBAS,SM,Tolaga Bay Area School,-38.372803703,178.300778623,8,WGS84,2002-03-05T00:00:00Z,9999-01-01T00:00:00Z
