Make,Model,Serial,Mark,Start Date,End Date
Trimble,5700,220280300,HORN,2002-12-31T01:00:01Z,2012-08-31T15:00:01Z
Trimble,NetR9,5014K66721,METH,2010-10-12T00:00:01Z,2014-07-27T22:00:00Z
