Mark,Network,Igs,Name,Latitude,Longitude,Elevation,Datum,Protection,Plaque,Plate,Start Date,End Date,Sky Visibility
AHTI,CG,no,Ahititi,-38.411447554,178.046002897,563.221,NZGD2000,Post and rail enclosure,yes,no,2009-01-01T00:00:00Z,9999-01-01T00:00:00Z,good
DUND,LI,yes,Dunedin,-45.88366604,170.5971706,386.964,NZGD2000,Post and rail enclosure,no,yes,2005-08-10T00:00:00Z,9999-01-01T00:00:00Z,clear to NW
