Code,Description,Latitude,Longitude,Elevation,Datum,Height
NA000,Ngauruhoe Volcano,-39.15680,175.63187,2197.0,WGS84,
RL001-1,Raoul Island Green Lake,-29.26240,-177.91978,10.0,WGS84,
