Station,Location,Latitude,Longitude,Elevation,Depth,Datum,Survey,Start Date,End Date
CNZ,12,-39.198244208,175.547981982,1116,0,WGS84,GPS,2014-05-16T00:00:15Z,9999-01-01T00:00:00Z
MSCZ,10,-45.091369824,169.411775594,701,0,WGS84,Map,1986-12-09T20:10:00Z,1996-05-01T21:38:00Z
