Manufacturer,Make,Model,Serial Number,Asset Number,Notes
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12058,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12059,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12060,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12061,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12062,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12064,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12066,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12067,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12068,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12069,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12070,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12071,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12073,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12074,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12075,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12076,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12077,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12078,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12079,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12080,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12081,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12082,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12083,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12084,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12085,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12086,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12087,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12088,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12089,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12090,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12091,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12092,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12093,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12094,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12095,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12097,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12099,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12101,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12102,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12104,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12105,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12106,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12107,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12108,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12109,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12110,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12111,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12114,,
Canterbury Seismic Instruments Ltd.,CSI,CUSP-Me BOX,Me-12115,,
Guralp Systems Ltd.,Guralp,GURALP-SAM-RECORDER,S0125,,
Guralp Systems Ltd.,Guralp,GURALP-SAM-RECORDER,S0143,,
Institute of Geological & Nuclear Sciences Ltd.,GNSScience,EARSS/16,204,,
Institute of Geological & Nuclear Sciences Ltd.,GNSScience,EARSS/16,205,,
Institute of Geological & Nuclear Sciences Ltd.,GNSScience,EARSS/16,206,,
Institute of Geological & Nuclear Sciences Ltd.,GNSScience,EARSS/16,207,,
Institute of Geological & Nuclear Sciences Ltd.,GNSScience,EARSS/16,208,,
Institute of Geological & Nuclear Sciences Ltd.,GNSScience,EARSS/16,209,,
Institute of Geological & Nuclear Sciences Ltd.,GNSScience,EARSS/16,210,,
Institute of Geological & Nuclear Sciences Ltd.,GNSScience,EARSS/16,211,,
Institute of Geological & Nuclear Sciences Ltd.,GNSScience,EARSS/16,255,,
Institute of Geological & Nuclear Sciences Ltd.,GNSScience,EARSS/3,001,,
Institute of Geological & Nuclear Sciences Ltd.,GNSScience,EARSS/3,002,,
Institute of Geological & Nuclear Sciences Ltd.,GNSScience,EARSS/3,003,,
Institute of Geological & Nuclear Sciences Ltd.,GNSScience,EARSS/3,004,,
Institute of Geological & Nuclear Sciences Ltd.,GNSScience,EARSS/3,005,,
Institute of Geological & Nuclear Sciences Ltd.,GNSScience,EARSS/3,006,,
Institute of Geological & Nuclear Sciences Ltd.,GNSScience,EARSS/3,007,,
Institute of Geological & Nuclear Sciences Ltd.,GNSScience,EARSS/3,008,,
Institute of Geological & Nuclear Sciences Ltd.,GNSScience,EARSS/3,009,,
Institute of Geological & Nuclear Sciences Ltd.,GNSScience,EARSS/3,010,,
Institute of Geological & Nuclear Sciences Ltd.,GNSScience,EARSS/3,011,,
Institute of Geological & Nuclear Sciences Ltd.,GNSScience,EARSS/3,012,,
Institute of Geological & Nuclear Sciences Ltd.,GNSScience,EARSS/3,013,,
Institute of Geological & Nuclear Sciences Ltd.,GNSScience,EARSS/3,014,,
Institute of Geological & Nuclear Sciences Ltd.,GNSScience,EARSS/3,015,,
Institute of Geological & Nuclear Sciences Ltd.,GNSScience,EARSS/3,016,,
Institute of Geological & Nuclear Sciences Ltd.,GNSScience,EARSS/3,017,,
Institute of Geological & Nuclear Sciences Ltd.,GNSScience,EARSS/3,018,,
Institute of Geological & Nuclear Sciences Ltd.,GNSScience,EARSS/3,019,,
Institute of Geological & Nuclear Sciences Ltd.,GNSScience,EARSS/3,020,,
Institute of Geological & Nuclear Sciences Ltd.,GNSScience,EARSS/3,021,,
Institute of Geological & Nuclear Sciences Ltd.,GNSScience,EARSS/3,022,,
Institute of Geological & Nuclear Sciences Ltd.,GNSScience,EARSS/3,023,,
Institute of Geological & Nuclear Sciences Ltd.,GNSScience,EARSS/3,024,,
Institute of Geological & Nuclear Sciences Ltd.,GNSScience,EARSS/3,025,,
Institute of Geological & Nuclear Sciences Ltd.,GNSScience,EARSS/3,026,,
Institute of Geological & Nuclear Sciences Ltd.,GNSScience,EARSS/3,027,,
Institute of Geological & Nuclear Sciences Ltd.,GNSScience,EARSS/3,028,,
Institute of Geological & Nuclear Sciences Ltd.,GNSScience,EARSS/3,029,,
Institute of Geological & Nuclear Sciences Ltd.,GNSScience,EARSS/3,030,,
Institute of Geological & Nuclear Sciences Ltd.,GNSScience,EARSS/3,031,,
Institute of Geological & Nuclear Sciences Ltd.,GNSScience,EARSS/3,032,,
Institute of Geological & Nuclear Sciences Ltd.,GNSScience,EARSS/3,033,,
