Sensor Make,Sensor Model,Serial Number,Station Code,Location Code,Installation Azimuth,Installation Dip,Installation Depth,Installation Date,Removal Date
GESensing,Druck PTX-1830-LAND,2722283,EDAS,49,0,0,9.2,2008-06-10T13:00:00Z,9999-01-01T00:00:00Z
GESensing,Druck PTX-1830-LAND,2933712L,GLKZ,40,0,0,0,2009-05-18T12:00:00Z,9999-01-01T00:00:00Z
GESensing,Druck PTX-1830-LAND,2933712L,GLKZ,40,0,0,0,2009-05-18T12:00:00Z,9999-01-01T00:00:00Z
