Gauge Make,Gauge Model,Serial Number,Station Code,Location Code,Installation Dip,Vertical Offset,Offset North,Offset East,Cable Length,Installation Date,Removal Date
GESensing,Druck PTX-1830,3150041,RBCT,40,90,0,0,0,50,2010-10-26T14:00:00Z,9999-01-01T00:00:00Z
GESensing,Druck PTX-1830,3292452,RFRT,41,90,0,0,0,65,2011-11-08T11:00:00Z,9999-01-01T00:00:00Z
GESensing,Druck PTX-1830,3292453,RFRT,40,90,0,0,0,65,2011-11-08T11:00:00Z,9999-01-01T00:00:00Z
GESensing,Druck PTX-1830,3292459,AUCT,41,90,0,0,0,10,2012-12-06T12:00:00Z,9999-01-01T00:00:00Z
GESensing,Druck PTX-1830,3562509,AUCT,41,90,0,0,0,10,2012-08-27T16:00:01Z,2012-12-06T11:00:00Z
GESensing,Druck PTX-1830,3562510,WLGT,41,90,0,0,0,10,2012-05-29T12:00:00Z,9999-01-01T00:00:00Z
GESensing,Druck PTX-1830,3562511,AUCT,40,90,0,0,0,10,2012-08-27T13:00:01Z,9999-01-01T00:00:00Z
GESensing,Druck PTX-1830,3562512,CPIT,40,90,0,0,0,10,2012-03-27T11:00:00Z,9999-01-01T00:00:00Z
GESensing,Druck PTX-1830,3562513,WLGT,40,90,0,0,0,10,2012-05-29T12:00:00Z,9999-01-01T00:00:00Z
GESensing,Druck PTX-1830,3964175,CHST,41,90,0,0,0,30,2015-06-23T12:00:00Z,9999-01-01T00:00:00Z
GESensing,Druck PTX-1830,3964188,CHST,40,90,0,0,0,30,2015-06-23T12:00:00Z,9999-01-01T00:00:00Z
