Antenna Make,Antenna Model,Serial Number,Mark Code,Antenna Height,Offset North,Offset East,Installation Date,Removal Date
AllenOsborneAssociatesInc,Chokering (TurboRogue),132,AUCK,0.0018,0,0,1995-09-17T23:30:00Z,2001-10-28T00:00:00Z
AllenOsborneAssociatesInc,Chokering (TurboRogue),133,AUCK,0.0025,0,0,1995-05-31T00:00:00Z,1995-06-02T00:00:00Z
AllenOsborneAssociatesInc,Chokering (TurboRogue),133,CHAT,0.0031,0,0,1995-10-03T23:00:00Z,2001-11-28T01:00:00Z
