Station,Location,Latitude,Longitude,Elevation,Datum,Survey,Start Date,End Date
FWVZ,10,-39.254945374,175.55295183,2043,WGS84,Internal GPS Clock,1999-05-11T00:00:00Z,9999-01-01T00:00:00Z
FWVZ,30,-39.254945374,175.55295183,2043,WGS84,Internal GPS Clock,2001-07-05T01:30:00Z,9999-01-01T00:00:00Z
