Sensor Make,Sensor Model,Serial Number,Station Code,Location Code,Installation Azimuth,Installation Dip,Installation Depth,Installation Date,Removal Date
GNSScience,LM35,T001,GLKZ,80,0,0,0,2009-05-01T12:00:00Z,9999-01-01T00:00:00Z
GNSScience,LM35,T002,GLKZ,81,0,0,0,2009-05-01T12:00:00Z,9999-01-01T00:00:00Z
GNSScience,SDP,A5,EDAS,22,95,0,9.6,2008-06-10T12:00:00Z,9999-01-01T00:00:00Z
GNSScience,SDP,A6,EDAS,21,95,0,20,2008-06-10T12:00:00Z,9999-01-01T00:00:00Z
GNSScience,SDP,A6,EDAS,21,95,0,20,2008-06-10T12:00:00Z,9999-01-01T00:00:00Z
GNSScience,SDP,A9,CPLB,2G,0,0,19.7,2009-04-14T12:00:03Z,9999-01-01T00:00:00Z
GNSScience,SDP,SDP-001,WDAS,22,184,0,12,2004-06-21T16:00:00Z,9999-01-01T00:00:00Z
GNSScience,SDP,SDP-002,WDAS,23,274,0,22,2004-06-21T16:00:00Z,9999-01-01T00:00:00Z
