Make,Model,Serial,Mark,Height,North,East,Azimuth,Start Date,End Date
Trimble Navigation Ltd.,TRM115000.00,1441025899,TGRA,0.002,0,0,0,2019-11-13T00:49:59Z,9999-01-01T00:00:00Z
Trimble Navigation Ltd.,TRM115000.00,1441025900,HAAS,0.055,0,0,0,2019-12-12T00:25:46Z,9999-01-01T00:00:00Z
Trimble Navigation Ltd.,TRM115000.00,1441025906,NLSN,0.055,0,0,0,2020-02-03T23:45:08Z,9999-01-01T00:00:00Z
Trimble Navigation Ltd.,TRM115000.00,1441025908,KAIK,0.055,0,0,0,2020-03-11T22:33:02Z,9999-01-01T00:00:00Z
Trimble Navigation Ltd.,TRM115000.00,1441025911,WAIM,0.055,0,0,0,2020-01-28T03:10:46Z,2021-05-06T00:43:13Z
Trimble Navigation Ltd.,TRM115000.00,1441025913,WRPA,0.002,0,0,0,2019-09-03T03:50:30Z,9999-01-01T00:00:00Z
Trimble Navigation Ltd.,TRM115000.00,1441025918,SCTB,0.055,0,0,0,2019-11-01T23:52:29Z,9999-01-01T00:00:00Z
Trimble Navigation Ltd.,TRM115000.00,1441025921,NPLY,0.055,0,0,0,2019-10-16T22:05:32Z,9999-01-01T00:00:00Z
Trimble Navigation Ltd.,TRM115000.00,1441025923,MNMW,0.002,0,0,0,2023-09-21T00:00:00Z,9999-01-01T00:00:00Z
Trimble Navigation Ltd.,TRM115000.00,1441025925,HOKI,0.055,0,0,0,2019-12-08T23:19:38Z,9999-01-01T00:00:00Z
Trimble Navigation Ltd.,TRM115000.00,1441025926,WHKT,0.002,0,0,0,2019-10-21T23:16:56Z,9999-01-01T00:00:00Z
Trimble Navigation Ltd.,TRM115000.00,1441052883,AUKT,0.003,0,0,0,2024-05-22T23:24:00Z,9999-01-01T00:00:00Z
Trimble Navigation Ltd.,TRM115000.00,1441052884,RGMT,0.002,0,0,0,2024-08-14T01:34:32Z,9999-01-01T00:00:00Z
Trimble Navigation Ltd.,TRM115000.00,1441052886,TAUP,0.055,0,0,0,2020-01-14T23:03:04Z,9999-01-01T00:00:00Z
Trimble Navigation Ltd.,TRM115000.00,1441052888,PKTP,0.002,0,0,0,2024-05-03T03:43:59Z,9999-01-01T00:00:00Z
Trimble Navigation Ltd.,TRM115000.00,1441052890,DNVK,0.055,0,0,0,2019-10-14T03:04:44Z,9999-01-01T00:00:00Z
Trimble Navigation Ltd.,TRM115000.00,1441052891,GLDB,0.055,0,0,0,2020-02-03T01:28:56Z,9999-01-01T00:00:00Z
Trimble Navigation Ltd.,TRM115000.00,1441052892,GISB,0.055,0,0,0,2019-11-18T23:46:02Z,9999-01-01T00:00:00Z
Trimble Navigation Ltd.,TRM115000.00,1441052893,TGHR,0.002,0,0,0,2019-11-01T00:13:50Z,9999-01-01T00:00:00Z
Trimble Navigation Ltd.,TRM115000.00,1441052895,CHTI,0.002,0,0,0,2019-10-31T00:35:08Z,9999-01-01T00:00:00Z
Trimble Navigation Ltd.,TRM115000.00,1551016643,NTGT,0.002,0,0,0,2025-01-15T20:46:46Z,9999-01-01T00:00:00Z
Trimble Navigation Ltd.,TRM115000.00,1551016647,TRNG,0.055,0,0,0,2019-10-21T00:48:16Z,9999-01-01T00:00:00Z
Trimble Navigation Ltd.,TRM115000.00,1551016648,HAST,0.055,0,0,0,2019-11-14T01:14:08Z,9999-01-01T00:00:00Z
Trimble Navigation Ltd.,TRM115000.00,1551016652,SSFT,0.002,0,0,0,2024-10-16T19:58:38Z,9999-01-01T00:00:00Z
Trimble Navigation Ltd.,TRM115000.00,1551016653,HAMT,0.055,0,0,0,2019-09-26T23:12:16Z,9999-01-01T00:00:00Z
Trimble Navigation Ltd.,TRM115000.00,1551016654,MAVL,0.055,0,0,0,2019-10-03T21:36:38Z,9999-01-01T00:00:00Z
Trimble Navigation Ltd.,TRM115000.00,1551016656,AUCK,0.055,0,0,0,2019-10-23T23:34:46Z,9999-01-01T00:00:00Z
Trimble Navigation Ltd.,TRM115000.00,1551016662,JTGT,0.002,0,0,0,2025-02-20T19:22:26Z,9999-01-01T00:00:00Z
Trimble Navigation Ltd.,TRM115000.00,1551016666,DUND,0.002,0,0,0,2019-10-01T00:07:14Z,9999-01-01T00:00:00Z
Trimble Navigation Ltd.,TRM115000.00,1551016679,MQZG,0.055,0,0,0,2020-01-29T22:19:46Z,9999-01-01T00:00:00Z
Trimble Navigation Ltd.,TRM115000.00,1551016684,DUNT,0.055,0,0,0,2024-07-31T03:26:46Z,9999-01-01T00:00:00Z
Trimble Navigation Ltd.,TRM115000.00,1551016690,KTIA,0.002,0,0,0,2019-09-25T00:43:38Z,9999-01-01T00:00:00Z
Trimble Navigation Ltd.,TRM115000.00,1551016695,METH,0.002,0,0,0,2019-09-19T01:15:32Z,2019-09-20T00:11:37Z
Trimble Navigation Ltd.,TRM115000.00,1551016695,LKTA,0.055,0,0,0,2020-03-11T00:38:46Z,9999-01-01T00:00:00Z
Trimble Navigation Ltd.,TRM115000.00,1551016696,LEXA,0.055,0,0,0,2019-10-10T03:44:02Z,9999-01-01T00:00:00Z
Trimble Navigation Ltd.,TRM115000.00,1551016702,MTJO,0.055,0,0,0,2020-01-28T22:52:16Z,9999-01-01T00:00:00Z
Trimble Navigation Ltd.,TRM115000.00,1551016786,TBWT,0.002,0,0,0,2025-02-25T02:24:38Z,9999-01-01T00:00:00Z
Trimble Navigation Ltd.,TRM115000.00,1551016789,RCHD,0.002,0,0,0,2019-08-27T00:03:38Z,9999-01-01T00:00:00Z
Trimble Navigation Ltd.,TRM115000.00,1551016797,VGMT,0.055,0,0,0,2020-02-25T23:13:02Z,9999-01-01T00:00:00Z
Trimble Navigation Ltd.,TRM115000.00,1551016806,CORM,0.055,0,0,0,2019-10-22T23:00:32Z,9999-01-01T00:00:00Z
Trimble Navigation Ltd.,TRM115000.00,1551016808,WARK,0.002,0,0,0,2019-09-26T01:03:16Z,9999-01-01T00:00:00Z
Trimble Navigation Ltd.,TRM115000.00,1551016810,WANG,0.055,0,0,0,2019-10-15T00:08:16Z,9999-01-01T00:00:00Z
Trimble Navigation Ltd.,TRM115000.00,1551016811,WGTN,0.055,0,0,0,2020-02-14T01:16:38Z,9999-01-01T00:00:00Z
Trimble Navigation Ltd.,TRM115000.00,1551017047,METH,0.002,0,0,0,2019-09-20T00:11:38Z,9999-01-01T00:00:00Z
Trimble Navigation Ltd.,TRM115000.00,2612758627,RLTN,0.002,0,0,0,2022-07-10T23:59:08Z,9999-01-01T00:00:00Z
Trimble Navigation Ltd.,TRM115000.00,2612758639,NLS3,0,0,0,0,2022-08-24T04:31:08Z,9999-01-01T00:00:00Z
Trimble Navigation Ltd.,TRM115000.00,2612758649,NSFT,0.002,0,0,0,2024-09-23T04:47:46Z,9999-01-01T00:00:00Z
Trimble Navigation Ltd.,TRM115000.00,2612758651,LY2T,0.055,0,0,0,2024-08-22T03:00:08Z,9999-01-01T00:00:00Z
Trimble Navigation Ltd.,TRM115000.00,2612758665,ALS2,0,0,0,0,2023-02-23T01:17:02Z,2024-03-13T20:59:30Z
Trimble Navigation Ltd.,TRM115000.00,2612758673,DBHI,0.002,0,0,0,2024-11-06T02:01:02Z,9999-01-01T00:00:00Z
Trimble Navigation Ltd.,TRM115000.00,2612758712,ALS1,0,0,0,0,2023-02-24T01:08:38Z,2024-02-25T13:59:30Z
Trimble Navigation Ltd.,TRM115000.00,2612758717,TGK1,0,0,0,0,2022-12-19T21:53:26Z,9999-01-01T00:00:00Z
Trimble Navigation Ltd.,TRM115000.00,2612758740,NLS4,0,0,0,0,2022-08-24T01:22:38Z,9999-01-01T00:00:00Z
Trimble Navigation Ltd.,TRM115000.00,62143G0056,MKTR,0.002,0,0,0,2025-03-04T01:46:29Z,9999-01-01T00:00:00Z
Trimble Navigation Ltd.,TRM115000.00,62143G0068,ORRG,0.002,0,0,0,2024-12-05T00:05:38Z,9999-01-01T00:00:00Z
Trimble Navigation Ltd.,TRM115000.00,64043G0058,ERWO,0.002,0,0,0,2025-06-17T02:15:02Z,9999-01-01T00:00:00Z
Trimble Navigation Ltd.,TRM115000.00,64043G0083,SCTY,0.002,0,0,0,2025-06-22T22:05:46Z,9999-01-01T00:00:00Z
Trimble Navigation Ltd.,TRM115000.00,64043G0090,WIAH,0.002,0,0,0,2024-10-09T21:41:50Z,9999-01-01T00:00:00Z
Trimble Navigation Ltd.,TRM115000.00,64163G0037,IFMA,0.002,0,0,0,2025-03-12T01:58:50Z,9999-01-01T00:00:00Z
Trimble Navigation Ltd.,TRM115000.10,63383B0040,SMRG,0.002,0,0,0,2025-03-13T03:25:16Z,9999-01-01T00:00:00Z
Trimble Navigation Ltd.,TRM22020.00+GP,1061,OUSD,0,0,0,0,1995-01-16T00:00:00Z,2006-06-20T23:59:59Z
Trimble Navigation Ltd.,TRM29659.00,0220063995,CNCL,0.0015,0,0,0,2000-08-03T00:00:01Z,2016-02-29T20:26:00Z
Trimble Navigation Ltd.,TRM29659.00,0220066912,MTJO,0.0013,0,0,0,2000-08-15T00:00:00Z,2011-02-07T22:33:00Z
Trimble Navigation Ltd.,TRM29659.00,0220067545,WAKA,0.118,0,0,0,2000-11-02T00:00:00Z,2001-12-13T00:00:00Z
Trimble Navigation Ltd.,TRM29659.00,0220067548,CNCL,0.118,0,0,0,2000-02-05T00:00:00Z,2000-03-09T00:00:00Z
Trimble Navigation Ltd.,TRM29659.00,0220067548,CNCL,0.0014,0,0,0,2000-03-09T00:00:01Z,2000-08-03T00:00:00Z
Trimble Navigation Ltd.,TRM29659.00,0220067548,WAKA,0.0018,0,0,0,2002-05-31T02:44:30Z,2016-03-01T21:13:57Z
Trimble Navigation Ltd.,TRM29659.00,0220073544,NETT,0.118,0,0,0,2000-02-07T00:00:00Z,2000-02-10T00:00:00Z
Trimble Navigation Ltd.,TRM29659.00,0220073544,NETT,0.0031,0,0,0,2000-02-10T00:00:02Z,2008-03-18T04:00:00Z
Trimble Navigation Ltd.,TRM29659.00,0220148020,MQZG,0,0,0,0,1999-09-27T00:00:00Z,2000-01-21T00:00:00Z
Trimble Navigation Ltd.,TRM29659.00,0220148020,MQZG,0.0011,0,0,0,2000-01-21T00:00:01Z,2001-09-03T00:00:00Z
Trimble Navigation Ltd.,TRM29659.00,0220190193,KARA,0.118,0,0,0,2000-02-05T00:00:00Z,2000-03-09T00:00:00Z
Trimble Navigation Ltd.,TRM29659.00,0220190193,KARA,0.0006,0,0,0,2000-03-09T00:00:01Z,2004-12-04T18:30:00Z
Trimble Navigation Ltd.,TRM29659.00,0220190270,QUAR,0.118,0,0,0,2000-02-05T00:00:00Z,2000-03-09T00:00:00Z
Trimble Navigation Ltd.,TRM29659.00,0220190270,QUAR,0,0,0,0,2000-03-09T00:00:01Z,2015-09-22T23:28:59Z
Trimble Navigation Ltd.,TRM29659.00,0220227659,KARA,0.0011,0,0,0,2004-12-04T18:31:00Z,2016-03-01T03:15:36Z
Trimble Navigation Ltd.,TRM33429.20+GP,131754,GRAC,0,0,0,0,2001-01-29T00:00:01Z,2006-08-28T02:05:00Z
