Make,Sensor,Datalogger,Serial,Station,Station Cusp3D Start Date,Firmware,Version,Firmware Start Date,Firmware End Date,Notes 
CSI,CUSP3D,CUSP3D,42041,NLMS,2015-11-10T00:00:05Z,Cusp3D+r,400.74.1,2019-09-04T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42042,LSRC,2016-11-14T12:05:00Z,Cusp3D+r,400.74.1,2019-08-15T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42043,MSMC,2015-03-05T20:23:21Z,Cusp3D+r,400.74.1,2019-08-16T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42044,SACS,2013-03-13T01:10:00Z,Cusp3D+r,400.74.1,2019-08-15T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42046,BOWS,2014-03-17T22:08:00Z,Cusp3D+r,400.74.1,2019-08-15T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42047,PEEC,2016-05-13T02:01:00Z,Cusp3D+r,400.74.1,2019-08-16T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42048,KPOC,2016-10-13T01:43:42Z,Cusp3D+r,400.74.1,2019-08-15T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42049,SWNC,2016-05-10T03:05:00Z,Cusp3D+r,400.74.1,2019-08-15T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42050,ROLC,2016-10-09T23:41:37Z,Cusp3D+r,400.74.1,2019-08-16T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42051,CCCC,2016-10-09T21:15:28Z,Cusp3D+r,400.74.1,2019-08-16T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42052,KOWC,2016-10-12T22:14:29Z,Cusp3D+r,400.74.1,2019-08-15T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42053,LRSC,2016-09-06T05:45:00Z,Cusp3D+r,400.74.1,2019-08-16T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42054,CSTC,2016-10-13T21:50:58Z,Cusp3D+r,400.74.1,2019-08-16T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42056,SMTC,2016-05-12T23:20:00Z,Cusp3D+r,400.74.1,2019-08-17T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42059,HVSC,2016-06-15T22:53:00Z,Cusp3D+r,400.74.1,2019-08-16T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42060,CULC,2016-11-14T10:05:00Z,Cusp3D+r,400.74.1,2019-08-15T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42063,DORC,2016-10-10T01:58:45Z,Cusp3D+r,400.74.1,2019-08-15T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42065,SBRC,2016-09-07T00:15:00Z,Cusp3D+r,400.74.1,2019-08-16T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42068,HORC,2016-09-06T01:08:00Z,Cusp3D+r,400.74.1,2019-08-16T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42069,AMBC,2016-10-12T00:06:10Z,Cusp3D+r,400.74.1,2019-08-16T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42079,TAIS,2013-08-16T04:05:00Z,Cusp3D+r,400.74.1,2019-08-29T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42102,LRSS,2013-08-23T00:15:00Z,Cusp3D+r,400.74.1,2019-08-16T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42103,UHSS,2013-08-23T02:00:00Z,Cusp3D+r,400.74.1,2019-08-29T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42104,MAGS,2014-08-18T00:05:00Z,Cusp3D+r,400.74.1,2019-08-16T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42105,FGPS,2019-06-07T01:05:00Z,Cusp3D+r,400.74.1,2019-08-16T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42106,PGMS,2014-08-07T00:00:05Z,Cusp3D+r,400.74.1,2019-08-16T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42107,LIRS,2013-09-26T22:35:00Z,Cusp3D+r,400.74.1,2019-08-16T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42108,DAVS,2013-10-04T03:25:00Z,Cusp3D+r,400.74.1,2019-08-16T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42109,NBSS,2013-09-26T21:30:00Z,Cusp3D+r,400.74.1,2019-08-16T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42114,TPLC,2017-09-12T00:42:00Z,Cusp3D+r,400.74.1,2019-08-16T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42116,HHSS,2013-10-23T22:20:00Z,Cusp3D+r,,2013-10-23T22:20:00Z,2019-03-05T20:30:00Z,Timing error
CSI,CUSP3D,CUSP3D,42123,SOCS,2014-08-21T03:35:00Z,Cusp3D+r,400.74.1,2019-08-15T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42124,OHSS,2013-10-22T01:25:00Z,Cusp3D+r,400.74.1,2019-08-16T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42147,MORS,2014-05-31T22:11:04Z,Cusp3D+r,400.74.1,2019-08-30T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
CSI,CUSP3D,CUSP3D,42148,WCSS,2013-10-22T22:10:00Z,Cusp3D+r,400.74.1,2019-08-30T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
