Make,Model,Serial,Station,Location,Azimuth,Method,Dip,Depth,North,East,Scale Factor,Scale Bias,Start Date,End Date
Duke University,2 Hz Duke Malin Seismometer,RMS-1,WNVZ,11,0,,0,52,0,0,0,0,2010-04-09T02:30:00Z,2010-05-31T00:02:00Z
Duke University,4.5 Hz Duke Malin Seismometer,601,THQ2,10,0,,0,80,0,0,0,0,2012-12-18T01:00:00Z,9999-01-01T00:00:00Z
G. Streckeisen AG,STS-2,110017,QRZ,10,0,,0,0,0,0,0,0,2003-10-30T21:00:00Z,9999-01-01T00:00:00Z
G. Streckeisen AG,STS-2,110018,BFZ,10,0,,0,0,0,0,0,0,2003-07-30T05:00:00Z,2007-11-01T00:00:00Z
G. Streckeisen AG,STS-2,110018,KHZ,10,0,,0,0,0,0,0,0,2009-08-20T22:31:00Z,2011-02-23T04:00:00Z
G. Streckeisen AG,STS-2,110019,BKZ,10,0,,0,0,0,0,0,0,2004-02-11T02:00:00Z,2020-07-02T22:05:00Z
G. Streckeisen AG,STS-2,110038,QRZ,10,0,,0,0,0,0,0,0,2003-08-06T00:00:00Z,2003-10-29T22:00:00Z
G. Streckeisen AG,STS-2,110038,ODZ,10,0,,0,0,0,0,0,0,2006-10-13T04:20:01Z,9999-01-01T00:00:00Z
G. Streckeisen AG,STS-2,120955,KHZ,10,0,,0,0,0,0,0,0,2011-02-23T04:05:00Z,9999-01-01T00:00:00Z
G. Streckeisen AG,STS-2,30201,KHZ,10,0,,0,0,0,0,0,0,2003-08-06T00:00:00Z,2009-08-20T22:30:00Z
G. Streckeisen AG,STS-2,30201,OUZ,10,0,,0,0,0,0,0,0,2017-03-19T18:14:00Z,2021-01-14T07:00:00Z
G. Streckeisen AG,STS-2,30202,ODZ,10,0,,0,0,0,0,0,0,2003-09-11T06:00:00Z,2006-10-13T04:20:00Z
G. Streckeisen AG,STS-2,30202,BFZ,10,0,,0,0,0,0,0,0,2007-11-01T00:00:10Z,2015-10-07T11:05:05Z
G. Streckeisen AG,STS-2,30202,BFZ,10,0,,0,0,0,0,0,0,2015-10-07T11:30:10Z,2021-04-28T20:00:00Z
G. Streckeisen AG,STS-2,30203,HIZ,10,0,,0,0,0,0,0,0,2004-02-03T02:00:00Z,9999-01-01T00:00:00Z
G. Streckeisen AG,STS-2,30204,OUZ,10,0,,0,0,0,0,0,0,2003-08-26T05:00:00Z,2017-03-19T18:10:00Z
G. Streckeisen AG,STS-2,60732,CTZ,10,6,,0,0,0,0,0,0,2007-12-15T07:00:00Z,9999-01-01T00:00:00Z
G. Streckeisen AG,STS-2,TMP_384,ARPA,10,0,,0,0,0,0,0,0,1995-11-11T00:00:01Z,1996-04-07T23:59:59Z
GNS Science (Wairakei),Temperature sensor (K-type),Inferno1,INFR,81,0,,0,0,0,0,0,0,2013-05-21T00:00:00Z,9999-01-01T00:00:00Z
GNS Science (Wairakei),Temperature sensor (K-type),TC20121206,INFR,82,0,,0,0,0,0,0,0,2013-05-21T00:00:00Z,9999-01-01T00:00:00Z
General Electric Industrial Sensing,Druck PDCR-1830,2427881,WLGT,41,0,,90,0,0,0,1.03,0,2007-03-06T00:00:02Z,2007-05-22T23:30:00Z
General Electric Industrial Sensing,Druck PTX-1830,10220190,GBIT,40,0,,0,0,0,0,1.03,0,2017-12-12T02:45:00Z,2020-06-05T22:00:00Z
