Make,Model,Type,Number,Source,Subsource,Dip,Azimuth,Types,Sampling Rate,Response
General Electric,Druck PTX-1830-LAND,Pressure Sensor,0,,H,0,0,G,-10,derived_Water-Depth-10s
General Electric,Druck PTX-1830-LAND,Pressure Sensor,0,,H,0,0,G,1,derived_Water-Depth-1s
General Electric,Druck PTX-1830-LAND,Pressure Sensor,0,,H,0,0,G,10,derived_Water-Depth-10sps
GNS Science,LM35,,0,,O,0,0,W,,sensor_GNS-Science_LM35
Guralp,CMG-3ESP,Broadband Seismometer,0,,Z,-90,0,G,,sensor_Guralp_CMG-3ESP
Guralp,CMG-3ESP,Broadband Seismometer,1,,N,0,0,G,,sensor_Guralp_CMG-3ESP
Guralp,CMG-3ESP,Broadband Seismometer,2,,E,0,90,G,,sensor_Guralp_CMG-3ESP
Guralp,CMG-3ESPC,Broadband Seismometer,0,,Z,-90,0,G,,sensor_Guralp_CMG-3ESPC
Guralp,CMG-3ESPC,Broadband Seismometer,1,,N,0,0,G,,sensor_Guralp_CMG-3ESPC
Guralp,CMG-3ESPC,Broadband Seismometer,2,,E,0,90,G,,sensor_Guralp_CMG-3ESPC
Guralp,CMG-3TB,Broadband Seismometer,0,,Z,-90,0,G,,sensor_Guralp_CMG-3TB
Guralp,CMG-3TB,Broadband Seismometer,1,,N,0,0,G,,sensor_Guralp_CMG-3TB
Guralp,CMG-3TB,Broadband Seismometer,2,,E,0,90,G,,sensor_Guralp_CMG-3TB
Guralp,CMG-3TB/GN,Broadband Seismometer,0,,Z,-90,0,G,,sensor_Guralp_CMG-3TB_GN
Guralp,CMG-3TB/GN,Broadband Seismometer,1,,N,0,0,G,,sensor_Guralp_CMG-3TB_GN
Guralp,CMG-3TB/GN,Broadband Seismometer,2,,E,0,90,G,,sensor_Guralp_CMG-3TB_GN
Guralp,CMG-40T/30S,Broadband Seismometer,0,,Z,-90,0,G,,sensor_Guralp_CMG-40T_30S
Guralp,CMG-40T/30S,Broadband Seismometer,1,,N,0,0,G,,sensor_Guralp_CMG-40T_30S
Guralp,CMG-40T/30S,Broadband Seismometer,2,,E,0,90,G,,sensor_Guralp_CMG-40T_30S
Guralp,CMG-40T/60S,Broadband Seismometer,0,,Z,-90,0,G,,sensor_Guralp_CMG-40T_60S
Guralp,CMG-40T/60S,Broadband Seismometer,1,,N,0,0,G,,sensor_Guralp_CMG-40T_60S
Guralp,CMG-40T/60S,Broadband Seismometer,2,,E,0,90,G,,sensor_Guralp_CMG-40T_60S
Guralp,Fortis,Accelerometer,0,,Z,-90,0,G,,sensor_Guralp_Fortis
Guralp,Fortis,Accelerometer,1,,N,0,0,G,,sensor_Guralp_Fortis
Guralp,Fortis,Accelerometer,2,,E,0,90,G,,sensor_Guralp_Fortis
Kinemetrics,FBA-23-DECK,Accelerometer,0,,Z,90,0,G,,sensor_Kinemetrics_FBA-23-DECK
Kinemetrics,FBA-23-DECK,Accelerometer,1,,N,0,180,G,,sensor_Kinemetrics_FBA-23-DECK
Kinemetrics,FBA-23-DECK,Accelerometer,2,,E,0,270,G,,sensor_Kinemetrics_FBA-23-DECK
Kinemetrics,FBA-ES-T,Accelerometer,0,,Z,-90,0,G,,sensor_Kinemetrics_FBA-ES-T
Kinemetrics,FBA-ES-T,Accelerometer,1,,N,0,0,G,,sensor_Kinemetrics_FBA-ES-T
Kinemetrics,FBA-ES-T,Accelerometer,2,,E,0,90,G,,sensor_Kinemetrics_FBA-ES-T
Kinemetrics,FBA-ES-T-BASALT,Accelerometer,0,,Z,-90,0,G,,sensor_Kinemetrics_FBA-ES-T-BASALT
Kinemetrics,FBA-ES-T-BASALT,Accelerometer,1,,N,0,0,G,,sensor_Kinemetrics_FBA-ES-T-BASALT
Kinemetrics,FBA-ES-T-BASALT,Accelerometer,2,,E,0,90,G,,sensor_Kinemetrics_FBA-ES-T-BASALT
Kinemetrics,FBA-ES-T-DECK,Accelerometer,0,,Z,-90,0,G,,sensor_Kinemetrics_FBA-ES-T-DECK
Kinemetrics,FBA-ES-T-DECK,Accelerometer,1,,N,0,0,G,,sensor_Kinemetrics_FBA-ES-T-DECK
Kinemetrics,FBA-ES-T-DECK,Accelerometer,2,,E,0,90,G,,sensor_Kinemetrics_FBA-ES-T-DECK
Kinemetrics,FBA-ES-T-ETNA-2,Accelerometer,0,,Z,-90,0,G,,sensor_Kinemetrics_FBA-ES-T-ETNA-2
Kinemetrics,FBA-ES-T-ETNA-2,Accelerometer,1,,N,0,0,G,,sensor_Kinemetrics_FBA-ES-T-ETNA-2
Kinemetrics,FBA-ES-T-ETNA-2,Accelerometer,2,,E,0,90,G,,sensor_Kinemetrics_FBA-ES-T-ETNA-2
Kinemetrics,FBA-ES-T-ISO,Accelerometer,0,,Z,-90,0,G,,sensor_Kinemetrics_FBA-ES-T-ISO
Kinemetrics,FBA-ES-T-ISO,Accelerometer,1,,N,0,0,G,,sensor_Kinemetrics_FBA-ES-T-ISO
Kinemetrics,FBA-ES-T-ISO,Accelerometer,2,,E,0,90,G,,sensor_Kinemetrics_FBA-ES-T-ISO
