Mark,Operator,Agency,Model,Satellite System,Interval,Elevation Mask,Header Comment,Format,Start Date,End Date
RGWV,GeoNet,GNS,TRIMBLE NETRS,GPS,30s,4,geonet,trimble_5700 x4,2009-09-04T01:38:00Z,2017-01-10T00:19:01Z
RGWV,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,0,geonet,trimble_netr9 x4,2017-01-10T00:19:02Z,9999-01-01T00:00:00Z
RIPA,GeoNet,GNS,TRIMBLE NETRS,GPS,30s,4,geonet,trimble_5700 x4,2004-02-20T00:00:00Z,2016-01-26T21:51:30Z
RIPA,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,0,geonet,trimble_netr9 x4,2016-01-26T21:51:33Z,9999-01-01T00:00:00Z
SCTB,GeoNet,GNS,TRIMBLE NETRS,GPS,30s,4,geonet,trimble_5700 x4,2004-10-29T00:00:00Z,2010-10-25T23:00:00Z
SCTB,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,4,linz,trimble_netr9 x4,2010-10-26T00:00:01Z,2015-09-17T01:59:00Z
SCTB,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO+GAL+BDS+QZSS,30s,0,linz,trimble_netr9 x4,2015-09-17T01:59:01Z,9999-01-01T00:00:00Z
SEDD,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,0,geonet,trimble_netr9 x4,2016-11-14T06:04:09Z,9999-01-01T00:00:00Z
SNST,GeoNet,GNS,TRIMBLE NETRS,GPS,30s,4,geonet,trimble_5700 x4,2009-06-08T02:31:00Z,2015-12-06T22:50:07Z
SNST,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,0,geonet,trimble_netr9 x4,2015-12-06T22:50:08Z,9999-01-01T00:00:00Z
SUTT,P Denys,OUSD,TRIMBLE 5700,GPS,30s,0,geonet,trimble_5700 x5,2017-03-09T00:00:03Z,2017-06-27T01:10:05Z
SUTT,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,0,geonet,trimble_netr9 x4,2017-06-27T01:10:07Z,9999-01-01T00:00:00Z
TAKL,GeoNet,GNS,LEICA CRS1000,GPS,30s,4,geonet,leica_lb2 x6,2001-07-11T00:00:00Z,2007-07-05T03:44:00Z
TAKP,GeoNet,GNS,TRIMBLE NETRS,GPS,30s,4,geonet,trimble_5700 x4,2004-01-30T02:00:00Z,2015-11-11T01:09:00Z
TAKP,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,0,geonet,trimble_netr9 x4,2015-11-11T01:09:03Z,9999-01-01T00:00:00Z
TAUP,GeoNet,GNS,TRIMBLE 5700,GPS,30s,4,linz,trimble_5700 x5,2002-03-22T00:00:00Z,2004-01-29T00:00:01Z
TAUP,GeoNet,GNS,TRIMBLE NETRS,GPS,30s,4,linz,trimble_5700 x4,2004-01-29T00:01:00Z,2010-12-01T22:27:00Z
TAUP,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,3,linz,trimble_netr9 x4,2010-12-01T22:28:21Z,2015-08-19T17:25:00Z
