Mark,Operator,Agency,Model,Satellite System,Interval,Elevation Mask,Header Comment,Format,Start Date,End Date
WAKA,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,0,sagenz,trimble_netr9 x4,2014-07-10T00:00:00Z,9999-01-01T00:00:00Z
WANG,GeoNet,GNS,TRIMBLE 5700,GPS,30s,4,linz,trimble_5700 x5,2003-04-17T23:59:00Z,2007-01-18T03:00:00Z
WANG,GeoNet,GNS,TRIMBLE NETRS,GPS,30s,4,linz,trimble_5700 x4,2007-01-18T21:00:00Z,2010-11-04T00:00:00Z
WANG,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,4,linz,trimble_netr9 x4,2010-11-04T00:01:01Z,2015-04-09T17:05:29Z
WANG,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,0,linz,trimble_netr9 x4,2015-04-09T17:05:30Z,2016-07-26T17:04:00Z
WANG,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO+GAL+BDS+QZSS,30s,0,linz,trimble_netr9 x4,2016-07-26T17:04:01Z,2019-10-15T00:08:15Z
WANG,GeoNet,GNS,TRIMBLE ALLOY,GPS+GLO+GAL+BDS+QZSS,30s,0,linz,trimble_netr9 x4,2019-10-15T00:08:16Z,9999-01-01T00:00:00Z
WARK,GeoNet,GNS,TRIMBLE NETRS,GPS,30s,4,linz,trimble_5700 x4,2009-01-23T13:15:01Z,2011-01-11T00:00:00Z
WARK,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,3,linz,trimble_netr9 x4,2011-01-11T00:23:15Z,2013-03-20T23:13:00Z
WARK,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO+GAL+BDS+QZSS,30s,3,linz,trimble_netr9 x4,2013-03-20T23:13:01Z,2014-09-30T21:39:44Z
WARK,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO+GAL+BDS+QZSS,30s,0,linz,trimble_netr9 x4,2014-09-30T21:39:45Z,2019-09-26T01:03:15Z
WARK,GeoNet,GNS,TRIMBLE ALLOY,GPS+GLO+GAL+BDS+QZSS,30s,0,linz,trimble_netr9 x4,2019-09-26T01:03:16Z,9999-01-01T00:00:00Z
WEST,GeoNet,GNS,TRIMBLE NETRS,GPS,30s,4,linz,trimble_5700 x4,2004-09-23T05:00:00Z,2011-01-26T01:55:00Z
WEST,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,3,linz,trimble_netr9 x4,2011-01-26T03:03:01Z,2015-07-28T17:21:40Z
WEST,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,0,linz,trimble_netr9 x4,2015-07-28T17:21:41Z,2016-07-26T17:04:30Z
WEST,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO+GAL+BDS+QZSS,30s,0,linz,trimble_netr9 x4,2016-07-26T17:04:31Z,9999-01-01T00:00:00Z
WGTN,GeoNet,GNS,ASHTECH Z-XII3,GPS,30s,4,linz,ashtech_r x6,1996-05-23T00:00:00Z,2005-03-21T01:59:59Z
WGTN,GeoNet,GNS,TRIMBLE NETRS,GPS,30s,4,linz,trimble_5700 x4,2005-03-21T02:00:00Z,2010-11-14T22:26:00Z
WGTN,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,3,linz,trimble_netr9 x4,2010-11-14T22:35:01Z,2015-07-27T18:14:52Z
WGTN,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,0,linz,trimble_netr9 x4,2015-07-27T18:14:53Z,2016-06-13T07:01:59Z
WGTN,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO+GAL+BDS+QZSS,30s,0,linz,trimble_netr9 x4,2016-06-13T07:02:00Z,9999-01-01T00:00:00Z
WGTT,GeoNet,GNS,LEICA CRS1000,GPS,30s,4,geonet,leica_lb2 x6,1999-12-14T00:00:00Z,2006-08-24T01:20:00Z
WGTT,GeoNet,GNS,TRIMBLE NETRS,GPS,30s,4,geonet,trimble_5700 x4,2006-08-24T01:20:30Z,2019-03-11T01:44:11Z
WGTT,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,0,geonet,trimble_netr9 x4,2019-03-11T01:44:12Z,9999-01-01T00:00:00Z
WHKT,GeoNet,GNS,TRIMBLE NETRS,GPS,30s,4,geonet,trimble_5700 x4,2009-03-23T00:30:00Z,2011-01-27T00:15:00Z
WHKT,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,3,linz,trimble_netr9 x4,2011-01-27T02:14:00Z,2015-08-18T16:25:00Z
WHKT,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,0,linz,trimble_netr9 x4,2015-08-18T16:25:01Z,2016-07-26T17:04:30Z
WHKT,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO+GAL+BDS+QZSS,30s,0,linz,trimble_netr9 x4,2016-07-26T17:04:31Z,2019-10-21T23:16:55Z
WHKT,GeoNet,GNS,TRIMBLE ALLOY,GPS+GLO+GAL+BDS+QZSS,30s,0,linz,trimble_netr9 x4,2019-10-21T23:16:56Z,9999-01-01T00:00:00Z
WHNG,GeoNet,GNS,TRIMBLE 5700,GPS,30s,4,linz,trimble_5700 x5,2003-04-02T23:59:00Z,2004-10-14T23:59:00Z
WHNG,GeoNet,GNS,TRIMBLE NETRS,GPS,30s,4,linz,trimble_5700 x4,2004-10-15T00:00:00Z,2010-11-22T21:00:00Z
WHNG,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,3,linz,trimble_netr9 x4,2010-11-22T21:07:00Z,2015-08-13T16:25:00Z
WHNG,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,0,linz,trimble_netr9 x4,2015-08-13T16:25:01Z,2016-07-04T01:12:00Z
WHNG,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO+GAL+BDS+QZSS,30s,0,linz,trimble_netr9 x4,2016-07-04T01:12:01Z,2019-09-23T05:15:15Z
WHNG,GeoNet,GNS,TRIMBLE ALLOY,GPS+GLO+GAL+BDS+QZSS,30s,0,linz,trimble_netr9 x4,2019-09-23T05:15:16Z,9999-01-01T00:00:00Z
WHVR,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,3,geonet,trimble_netr9 x4,2011-09-30T00:15:57Z,2016-04-05T02:44:05Z
WHVR,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,0,geonet,trimble_netr9 x4,2016-04-05T02:44:06Z,9999-01-01T00:00:00Z
WITH,GeoNet,GNS,TRIMBLE NETRS,GPS,30s,4,geonet,trimble_5700 x4,2009-11-10T00:05:01Z,2011-04-28T22:09:00Z
WITH,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,3,geonet,trimble_netr9 x4,2011-04-28T22:24:56Z,2015-12-10T22:00:09Z
WITH,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,0,geonet,trimble_netr9 x4,2015-12-10T22:00:10Z,9999-01-01T00:00:00Z
WMAT,GeoNet,GNS,TRIMBLE NETRS,GPS,30s,4,geonet,trimble_5700 x4,2010-03-15T03:19:30Z,2013-12-16T03:00:00Z
WMAT,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,3,geonet,trimble_netr9 x4,2013-12-16T04:20:00Z,2016-03-14T00:25:55Z
WMAT,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,0,geonet,trimble_netr9 x4,2016-03-14T00:25:56Z,9999-01-01T00:00:00Z
WPAW,GeoNet,GNS,TRIMBLE NETRS,GPS,30s,4,geonet,trimble_5700 x4,2006-04-20T02:00:00Z,2016-08-15T02:08:06Z
WPAW,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,0,geonet,trimble_netr9 x4,2016-08-15T02:08:08Z,9999-01-01T00:00:00Z
WPUK,GeoNet,GNS,TRIMBLE NETRS,GPS,30s,4,geonet,trimble_5700 x4,2006-04-19T21:00:00Z,2016-12-15T04:20:56Z
WPUK,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,0,geonet,trimble_netr9 x4,2016-12-15T04:20:58Z,9999-01-01T00:00:00Z
WRA1,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,0,geonet,trimble_netr9 x4,2016-11-15T23:43:29Z,2017-05-27T23:59:00Z
WRAU,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,0,geonet,trimble_netr9 x4,2017-04-18T03:06:59Z,9999-01-01T00:00:00Z
WRPA,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,0,linz,trimble_netr9 x4,2016-01-10T20:15:06Z,2016-03-17T00:03:29Z
WRPA,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO+GAL+BDS+QZSS,30s,0,linz,trimble_netr9 x4,2016-03-17T00:03:30Z,2019-09-03T03:50:29Z
WRPA,GeoNet,GNS,TRIMBLE ALLOY,GPS+GLO+GAL+BDS+QZSS,30s,0,linz,trimble_netr9 x4,2019-09-03T03:50:30Z,9999-01-01T00:00:00Z
YALD,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,3,geonet,trimble_netr9 x4,2014-09-16T21:00:01Z,2014-12-16T00:00:00Z
YALD,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO,30s,0,geonet,trimble_netr9 x4,2014-12-17T01:46:34Z,2018-05-09T00:17:29Z
YALD,GeoNet,GNS,TRIMBLE NETR9,GPS+GLO+GAL+BDS+QZSS,30s,0,geonet,trimble_netr9 x4,2018-05-09T00:17:30Z,9999-01-01T00:00:00Z
