Station,Location,Band,Source,Sampling Rate,Axial,Reversed,Triggered,Start Date,End Date
ARKS,20,B,N,50,true,false,false,2015-02-23T00:00:05Z,2020-06-16T00:00:00Z
ARKS,20,H,N,200,true,false,true,2001-12-04T00:00:00Z,2020-02-08T23:59:59Z
ARKS,20,H,N,200,true,false,false,2020-02-09T00:00:00Z,2025-09-25T20:56:00Z
ARPC,10,S,H,50,false,false,true,2001-01-19T23:54:00Z,2001-07-04T07:21:00Z
ARPS,20,B,N,50,true,false,false,2014-08-11T04:05:00Z,2020-06-16T00:00:00Z
ARPS,20,H,N,200,true,false,true,1999-09-23T22:00:00Z,2020-02-08T23:59:59Z
ARPS,20,H,N,200,true,false,false,2020-02-09T00:00:00Z,9999-01-01T00:00:00Z
ASBS,20,H,N,200,true,false,false,2025-05-19T05:36:00Z,9999-01-01T00:00:00Z
ASHS,20,B,N,50,true,false,false,2014-09-08T23:35:00Z,2020-06-16T00:00:00Z
ASHS,20,H,N,200,true,false,true,2002-02-24T23:00:00Z,9999-01-01T00:00:00Z
ASHV,10,S,H,50,false,false,true,1995-01-11T00:56:00Z,1995-05-28T18:20:00Z
AUCT,40,V,T,0.1,false,false,false,2009-03-26T00:00:00Z,2021-10-17T20:46:00Z
AUCT,40,L,T,1,false,false,false,2009-03-26T00:00:00Z,9999-01-01T00:00:00Z
AUCT,40,B,T,10,false,false,false,2009-03-26T00:00:00Z,9999-01-01T00:00:00Z
AUCT,41,V,T,0.1,false,false,false,2009-03-26T00:00:00Z,2021-10-17T20:46:00Z
AUCT,41,L,T,1,false,false,false,2009-03-26T00:00:00Z,9999-01-01T00:00:00Z
AUCT,41,B,T,10,false,false,false,2009-03-26T00:00:00Z,9999-01-01T00:00:00Z
AVAB,21,B,N,50,XYZ,false,false,2007-11-05T00:00:00Z,2018-12-31T10:59:00Z
AVAB,21,H,N,200,true,false,false,2007-11-05T00:00:00Z,2011-08-06T22:11:00Z
AVAB,21,H,N,200,XYZ,false,false,2011-08-06T22:16:00Z,2012-02-03T01:09:00Z
AVAB,21,H,N,200,XYZ,false,false,2019-01-01T11:00:00Z,9999-01-01T00:00:00Z
AVAB,22,B,N,50,XYZ,false,false,2007-11-05T00:00:00Z,2018-12-31T10:59:00Z
AVAB,22,H,N,200,true,false,false,2007-11-05T00:00:00Z,2011-08-06T22:11:00Z
AVAB,22,H,N,200,XYZ,false,false,2011-08-06T22:16:00Z,2012-02-03T01:09:00Z
AVAB,22,H,N,200,XYZ,false,false,2019-01-01T11:00:00Z,9999-01-01T00:00:00Z
AVAB,23,B,N,50,XYZ,false,false,2007-11-05T00:00:00Z,2018-12-31T10:59:00Z
AVAB,23,H,N,200,true,false,false,2007-11-05T00:00:00Z,2011-08-06T22:11:00Z
AVAB,23,H,N,200,XYZ,false,false,2011-08-06T22:16:00Z,2012-02-03T01:09:00Z
AVAB,23,H,N,200,XYZ,false,false,2019-01-01T11:00:00Z,9999-01-01T00:00:00Z
AVAB,24,B,N,50,XYZ,false,false,2007-11-05T00:00:00Z,2018-12-31T10:59:00Z
AVAB,24,H,N,200,true,false,false,2007-11-05T00:00:00Z,2011-08-06T22:11:00Z
AVAB,24,H,N,200,XYZ,false,false,2011-08-06T22:16:00Z,2012-02-03T01:09:00Z
AVAB,24,H,N,200,XYZ,false,false,2019-01-01T11:00:00Z,9999-01-01T00:00:00Z
AVAB,25,B,N,50,XYZ,false,false,2007-11-05T00:00:00Z,2018-12-31T10:59:00Z
AVAB,25,H,N,200,true,false,false,2007-11-05T00:00:00Z,2011-08-06T22:11:00Z
AVAB,25,H,N,200,XYZ,false,false,2011-08-06T22:16:00Z,2012-02-03T01:09:00Z
AVAB,25,H,N,200,XYZ,false,false,2019-01-01T11:00:00Z,9999-01-01T00:00:00Z
AVAB,26,B,N,50,XYZ,false,false,2008-02-05T02:10:00Z,2018-12-31T10:59:00Z
AVAB,26,H,N,200,true,false,false,2007-11-05T00:00:00Z,2011-08-06T22:11:00Z
AVAB,26,H,N,200,XYZ,false,false,2011-08-06T22:16:00Z,2012-02-03T01:09:00Z
AVAB,26,H,N,200,XYZ,false,false,2019-01-01T11:00:00Z,9999-01-01T00:00:00Z
AVAB,27,B,N,50,XYZ,false,false,2007-11-05T00:00:00Z,2018-12-31T10:59:00Z
AVAB,27,H,N,200,true,false,false,2007-11-05T00:00:00Z,2011-08-06T22:11:00Z
AVAB,27,H,N,200,XYZ,false,false,2011-08-06T22:16:00Z,2012-02-03T01:09:00Z
AVAB,27,H,N,200,XYZ,false,false,2019-01-01T11:00:00Z,9999-01-01T00:00:00Z
AVAB,28,B,N,50,XYZ,false,false,2007-11-05T00:00:00Z,2018-12-31T10:59:00Z
AVAB,28,H,N,200,true,false,false,2007-11-05T00:00:00Z,2011-08-06T22:11:00Z
AVAB,28,H,N,200,XYZ,false,false,2011-08-06T22:16:00Z,2012-02-03T01:09:00Z
AVAB,28,H,N,200,XYZ,false,false,2019-01-01T11:00:00Z,9999-01-01T00:00:00Z
AVAB,29,B,N,50,XYZ,false,false,2007-11-05T00:00:00Z,2016-11-01T00:00:00Z
AVAB,29,H,N,200,true,false,false,2007-11-05T00:00:00Z,2011-08-06T22:11:00Z
AVAB,29,H,N,200,XYZ,false,false,2011-08-06T22:16:00Z,2012-02-03T01:09:00Z
AVAB,29,H,N,200,XYZ,false,false,2019-10-10T00:00:00Z,9999-01-01T00:00:00Z
AVAB,2A,B,N,50,XYZ,false,false,2008-01-29T03:40:01Z,2016-11-01T00:00:00Z
AVAB,2A,H,N,200,true,false,false,2007-11-05T00:00:00Z,2011-08-06T22:11:00Z
AVAB,2A,H,N,200,XYZ,false,false,2011-08-06T22:16:00Z,2012-02-03T01:09:00Z
AVAB,2A,H,N,200,XYZ,false,false,2019-10-10T00:00:00Z,9999-01-01T00:00:00Z
AVIS,20,H,N,200,true,false,true,2001-12-07T19:00:00Z,2015-06-30T23:59:59Z
AVNE,10,S,H,50,false,false,true,1994-07-24T04:56:00Z,1994-12-12T02:13:00Z
AVOA,10,S,H,50,false,false,true,1994-06-22T02:04:00Z,1994-07-05T21:39:00Z
AWAC,10,S,H,50,false,false,true,2001-01-14T23:52:00Z,2001-06-24T14:11:00Z
AWAZ,10,E,H,100,true,false,false,2010-12-14T01:00:00Z,9999-01-01T00:00:00Z
AWKZ,10,L,H,1,false,false,false,2022-12-21T02:40:00Z,9999-01-01T00:00:00Z
AWKZ,10,H,H,100,false,false,false,2022-12-21T02:40:00Z,9999-01-01T00:00:00Z
AWRB,21,B,N,50,false,false,false,2016-12-07T12:00:00Z,2018-01-16T00:55:00Z
AWRB,21,H,N,200,false,false,true,2016-12-07T12:00:00Z,2018-01-16T00:55:00Z
AWRB,22,B,N,50,false,false,false,2016-12-07T12:00:00Z,2018-01-16T00:55:00Z
AWRB,22,H,N,200,false,false,true,2016-12-07T12:00:00Z,2018-01-16T00:55:00Z
AWRB,23,B,N,50,false,false,false,2016-12-07T12:00:00Z,2018-01-16T00:55:00Z
AWRB,23,H,N,200,false,false,true,2016-12-07T12:00:00Z,2018-01-16T00:55:00Z
AWRB,24,B,N,50,false,false,false,2016-12-07T12:00:00Z,2018-08-15T00:00:00Z
