Make,Model,Serial,Version,Start Date,End Date,Notes
Canterbury Seismic Instruments,CUSP3D,42007,Cusp3D+r 400.74.1,2019-08-29T00:00:00Z,2021-06-10T04:59:59Z,Fix GPS timing 1 sec
Canterbury Seismic Instruments,CUSP3D,42007,Cusp3D+r 400.74.1 (GPS18X4.40),2021-06-10T05:00:00Z,9999-01-01T00:00:00Z,Fix GPS week number rollover
Canterbury Seismic Instruments,CUSP3D,42009,Cusp3D+r 400.74.1,2019-08-16T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
Canterbury Seismic Instruments,CUSP3D,42010,Cusp3D+r 400.74.1,2019-08-29T00:00:00Z,2023-09-27T02:14:00Z,Fix GPS timing 1 sec
Canterbury Seismic Instruments,CUSP3D,42011,Cusp3D+r 400.74.1,2019-08-16T00:00:00Z,9999-01-01T00:00:00Z,Fix GPS timing 1 sec
Canterbury Seismic Instruments,CUSP3D,42012,Cusp3D+r 400.74.1,2019-08-16T00:00:00Z,2023-10-19T03:45:00Z,Fix GPS timing 1 sec
Canterbury Seismic Instruments,CUSP3D,42013,Cusp3D+r 400.74.1,2019-08-30T00:00:00Z,2021-03-23T22:29:59Z,Fix GPS timing 1 sec
Canterbury Seismic Instruments,CUSP3D,42013,Cusp3D+r 400.74.1 (GPS18X4.40),2021-03-23T22:30:00Z,9999-01-01T00:00:00Z,Fix GPS week number rollover
Canterbury Seismic Instruments,CUSP3D,42014,Cusp3D+r 400.74.1,2019-08-16T00:00:00Z,2021-05-24T21:59:59Z,Fix GPS timing 1 sec
Canterbury Seismic Instruments,CUSP3D,42014,Cusp3D+r 400.74.1 (GPS18X4.40),2021-05-24T22:00:00Z,2023-02-20T21:24:00Z,Fix GPS week number rollover
Canterbury Seismic Instruments,CUSP3D,42015,Cusp3D+r 400.74.1,2019-08-29T00:00:00Z,2021-05-19T22:59:59Z,Fix GPS timing 1 sec
Canterbury Seismic Instruments,CUSP3D,42015,Cusp3D+r 400.74.1 (GPS18X4.40),2021-05-19T23:00:00Z,2024-05-01T22:37:00Z,Fix GPS week number rollover
Canterbury Seismic Instruments,CUSP3D,42017,Cusp3D+r 400.74.1,2019-09-16T00:00:00Z,2021-06-28T23:29:59Z,Fix GPS timing 1 sec
Canterbury Seismic Instruments,CUSP3D,42017,Cusp3D+r 400.74.1 (GPS18X4.40),2021-06-28T23:30:00Z,2024-05-01T02:34:00Z,Fix GPS week number rollover
Canterbury Seismic Instruments,CUSP3D,42018,Cusp3D+r 400.74.1,2019-08-16T00:00:00Z,2021-05-07T00:19:59Z,Fix GPS timing 1 sec
Canterbury Seismic Instruments,CUSP3D,42018,Cusp3D+r 400.74.1 (GPS18X4.40),2021-05-07T00:20:00Z,2025-11-02T23:03:00Z,Fix GPS week number rollover
