Make,Model,Serial,Place,Role,Start Date,End Date
GNS Science,EARSS/3,114,Castle River,Short Period,1993-10-18T05:51:00Z,1994-03-11T20:39:00Z
GNS Science,EARSS/3,114,Bluff Hill,Short Period,1994-04-15T09:01:00Z,1994-05-16T15:38:00Z
GNS Science,EARSS/3,114,Lake Ida,Short Period,1994-06-20T02:08:00Z,1994-06-28T10:28:00Z
GNS Science,EARSS/3,114,Avondale,Short Period,1994-07-24T04:55:00Z,1994-12-12T02:13:00Z
GNS Science,EARSS/3,114,Waiotapu,Short Period,1995-01-12T09:04:00Z,1995-05-23T00:12:00Z
GNS Science,EARSS/3,114,Landsborough Station,Short Period,1995-11-16T00:00:00Z,1995-12-18T23:59:59Z
GNS Science,EARSS/3,114,Orari River,Short Period,1996-01-06T00:00:00Z,1996-04-19T00:00:00Z
GNS Science,EARSS/3,114,Ophero,Short Period,2001-01-10T01:16:00Z,2001-06-24T00:10:00Z
GNS Science,EARSS/3,114,Deep Cove,Short Period,2003-08-23T02:05:00Z,2004-03-30T20:09:00Z
GNS Science,EARSS/3,115,Mangatainoka River,Short Period,1992-04-08T04:21:00Z,1992-06-23T20:10:00Z
GNS Science,EARSS/3,115,Control Gates 1,Short Period,1993-03-21T05:04:00Z,1993-06-16T05:18:00Z
GNS Science,EARSS/3,115,Blue Pacific Motel,Short Period,1993-08-11T16:25:00Z,1993-08-11T16:27:00Z
GNS Science,EARSS/3,115,Kiriroa,Short Period,1993-08-12T01:17:00Z,1993-09-07T07:23:00Z
GNS Science,EARSS/3,115,Puhi Puhi River,Short Period,1993-10-22T10:34:00Z,1994-03-12T14:56:00Z
GNS Science,EARSS/3,115,Woodgreen Station,Short Period,1994-08-08T03:27:00Z,1994-12-09T19:45:00Z
GNS Science,EARSS/3,115,Wairua,Short Period,1995-01-13T10:41:00Z,1995-02-18T09:16:00Z
GNS Science,EARSS/3,115,Gully Road,Short Period,1995-05-01T01:55:00Z,1995-06-03T01:43:00Z
GNS Science,EARSS/3,115,Erua,Short Period,1995-09-26T01:42:00Z,1995-09-27T01:04:00Z
GNS Science,EARSS/3,115,Top of the Bruce,Short Period,1995-09-28T02:46:00Z,1995-09-28T20:41:00Z
GNS Science,EARSS/3,115,Swamp Road,Short Period,1995-10-02T13:04:00Z,1995-10-20T15:08:00Z
GNS Science,EARSS/3,115,Express,Short Period,1995-10-25T03:58:00Z,1995-11-06T15:03:00Z
GNS Science,EARSS/3,115,Kotare,Short Period,2001-01-12T08:37:00Z,2001-02-18T00:15:00Z
GNS Science,EARSS/3,115,Kotare,Short Period,2001-03-13T03:15:01Z,2001-06-26T00:35:00Z
GNS Science,EARSS/3,116,Angora Road,Short Period,1992-03-03T02:51:00Z,1992-03-03T12:28:00Z
GNS Science,EARSS/3,116,Puponga,Short Period,1993-10-25T01:57:00Z,1994-02-28T19:16:00Z
GNS Science,EARSS/3,116,Flaxbourne,Short Period,1994-03-05T12:33:00Z,1994-03-12T23:06:00Z
GNS Science,EARSS/3,116,Paritu Road,Short Period,1994-07-26T19:28:00Z,1994-12-09T09:05:00Z
GNS Science,EARSS/3,116,Whirinaki West,Short Period,1995-01-13T16:07:00Z,1995-05-14T15:44:00Z
GNS Science,EARSS/3,116,"Mount Barker Road, Wanaka",Short Period,1995-11-12T00:00:00Z,1996-04-19T04:50:00Z
GNS Science,EARSS/3,116,Zillian Hill,Short Period,1999-08-01T08:38:00Z,1999-11-29T21:02:00Z
GNS Science,EARSS/3,116,Bluff Hill,Short Period,2001-01-12T08:57:00Z,2001-06-26T15:50:00Z
GNS Science,EARSS/3,116,Nancy Sound,Short Period,2003-08-24T05:05:00Z,2003-09-11T03:43:00Z
GNS Science,EARSS/3,116,Maori Saddle,Short Period,2005-05-04T03:07:00Z,2005-05-24T00:54:00Z
GNS Science,EARSS/3,117,Diamond Lake,Short Period,1993-03-23T08:51:00Z,1993-03-23T22:06:00Z
GNS Science,EARSS/3,117,Paradise,Short Period,1993-03-24T04:20:00Z,1993-06-22T16:56:00Z
GNS Science,EARSS/3,117,Irvine's Farm,Short Period,1993-10-21T06:31:00Z,1994-03-01T23:30:00Z
GNS Science,EARSS/3,117,Vernon,Short Period,1994-03-03T04:19:00Z,1994-03-11T13:07:00Z
GNS Science,EARSS/3,117,Bealy Hotel,Short Period,1994-06-19T06:48:00Z,1994-06-20T09:23:00Z
GNS Science,EARSS/3,117,Mount Harry,Short Period,1994-06-23T21:33:00Z,1994-07-01T23:57:00Z
GNS Science,EARSS/3,117,Swamp Road,Short Period,1995-09-26T07:39:00Z,1995-09-26T19:49:00Z
GNS Science,EARSS/3,118,Kokorua,Short Period,1993-10-21T02:48:00Z,1994-03-13T16:40:00Z
GNS Science,EARSS/3,118,Reporua,Short Period,1994-07-28T00:52:00Z,1994-12-14T03:39:00Z
GNS Science,EARSS/3,118,Te Ana,Short Period,1995-01-10T09:08:00Z,1995-03-20T08:45:00Z
GNS Science,EARSS/3,118,Ash Pit Road,Short Period,1995-04-10T07:19:00Z,1995-05-28T18:20:00Z
GNS Science,EARSS/3,118,Poulter River,Short Period,1995-11-26T01:34:00Z,1996-02-01T00:00:00Z
GNS Science,EARSS/3,119,Rimutaka,Short Period,1993-11-04T22:38:00Z,1994-03-13T14:36:00Z
GNS Science,EARSS/3,119,Halpin's Creek,Short Period,1994-06-22T03:48:00Z,1994-07-06T02:02:00Z
GNS Science,EARSS/3,119,East Cape Lighthouse,Short Period,1994-08-05T00:41:00Z,1994-08-25T11:41:00Z
GNS Science,EARSS/3,119,Rangitukia,Short Period,1994-08-26T11:07:00Z,1994-12-14T23:20:00Z
GNS Science,EARSS/3,119,Orari River,Short Period,1995-11-16T00:00:00Z,1995-12-11T00:00:00Z
GNS Science,EARSS/3,119,Landsborough Station,Short Period,1995-12-19T00:00:00Z,1996-04-20T00:00:00Z
GNS Science,EARSS/3,119,Fox Glacier,Short Period,1997-09-24T15:36:00Z,1997-10-26T14:02:00Z
GNS Science,EARSS/3,119,Mount Tanilba,Short Period,2000-11-03T21:48:00Z,2000-11-18T04:29:00Z
GNS Science,EARSS/3,119,Eland,Short Period,2001-01-10T22:16:00Z,2001-06-26T15:50:00Z
GNS Science,EARSS/3,119,"Glenlee, Awatere Valley #3",Short Period,2001-07-30T22:00:00Z,2002-01-21T14:00:00Z
GNS Science,EARSS/3,119,Jackson Bay Wharf,Short Period,2002-05-29T10:59:00Z,2003-01-07T14:55:00Z
GNS Science,EARSS/3,119,Secretary Island,Short Period,2003-08-23T04:53:00Z,2004-05-12T17:31:00Z
GNS Science,EARSS/3,119,Deep Cove,Short Period,2004-05-13T03:26:00Z,2005-05-26T01:34:00Z
GNS Science,EARSS/3,120,Totaranui,Short Period,1993-10-25T06:51:00Z,1994-02-28T21:06:00Z
GNS Science,EARSS/3,120,Mount Robertson,Short Period,1994-03-11T04:15:00Z,1994-03-14T02:31:00Z
GNS Science,EARSS/3,120,Glenthorne,Short Period,1994-06-19T20:22:00Z,1994-08-06T11:15:00Z
GNS Science,EARSS/3,120,Canterbury Ring Laser,Ring Laser,1996-02-22T22:00:00Z,2003-03-12T00:00:00Z
GNS Science,EARSS/3,121,Minden Quarry,Short Period,1989-08-23T17:31:00Z,1989-08-24T06:42:00Z
GNS Science,EARSS/3,121,White Rock,Short Period,1993-11-04T10:07:00Z,1993-11-19T08:45:00Z
GNS Science,EARSS/3,121,St. Ronan's Well,Short Period,1993-12-27T23:55:00Z,1994-01-15T11:38:00Z
GNS Science,EARSS/3,121,Bealy Hotel,Short Period,1994-06-20T09:28:00Z,1994-06-20T21:26:00Z
GNS Science,EARSS/3,121,Taipo River,Short Period,1994-06-23T05:27:00Z,1994-06-25T13:56:00Z
GNS Science,EARSS/3,121,Wellington Dominion Observatory,Short Period,1994-11-25T23:58:00Z,1995-06-22T18:31:00Z
GNS Science,EARSS/3,121,Castle Hill Station,Short Period,1995-11-09T00:00:00Z,1995-11-27T00:00:00Z
GNS Science,EARSS/3,121,Matukituki,Short Period,1996-03-24T00:00:01Z,1996-04-23T00:00:00Z
GNS Science,EARSS/3,121,Rotopara,Short Period,2001-01-13T09:23:00Z,2001-06-25T15:55:00Z
GNS Science,EARSS/3,121,Monkey Puzzle Gorge,Short Period,2001-12-10T02:02:00Z,2001-12-10T20:39:00Z
GNS Science,EARSS/3,121,Lichen Creek,Short Period,2001-12-11T08:10:00Z,2001-12-26T15:47:00Z
GNS Science,EARSS/3,121,Te Anau Motor Camp,Short Period,2003-08-22T08:43:00Z,2003-08-24T10:31:00Z
GNS Science,EARSS/3,122,Yarra River,Short Period,1993-11-23T05:17:00Z,1994-03-11T18:48:00Z
GNS Science,EARSS/3,122,Avoca River,Short Period,1994-06-22T02:04:00Z,1994-07-05T21:39:00Z
GNS Science,EARSS/3,122,Motu,Short Period,1994-08-06T07:22:00Z,1994-12-19T00:35:00Z
GNS Science,EARSS/3,122,Grampians Station,Short Period,1995-11-17T00:00:00Z,1996-04-17T00:00:00Z
GNS Science,EARSS/3,122,Mount Forbes,Short Period,2000-11-03T23:02:00Z,2000-11-22T06:45:00Z
GNS Science,EARSS/3,122,Mahia Beach,Short Period,2001-01-13T04:01:00Z,2001-06-26T00:35:00Z
GNS Science,EARSS/3,122,Acheron,Short Period,2001-09-12T23:00:00Z,2002-01-22T23:00:00Z
GNS Science,EARSS/3,122,Monkey Puzzle Gorge,Short Period,2002-05-29T10:59:00Z,2002-06-28T21:55:00Z
GNS Science,EARSS/3,122,Primula Spur,Short Period,2005-05-04T01:28:00Z,2005-05-21T15:33:00Z
GNS Science,EARSS/3,123,Jollies Pass,Short Period,1994-03-01T08:55:00Z,1994-03-11T20:38:00Z
GNS Science,EARSS/3,123,Cape Runaway,Short Period,1994-08-05T02:36:00Z,1994-12-18T22:55:00Z
GNS Science,EARSS/3,123,Kapenga Swamp,Short Period,1995-02-13T12:18:00Z,1995-06-06T14:44:00Z
GNS Science,EARSS/3,123,Mount Thomas,Short Period,1995-11-07T00:00:00Z,1996-04-17T00:00:00Z
GNS Science,EARSS/3,124,Waimakariri,Short Period,1994-06-24T00:42:00Z,1994-07-01T05:04:00Z
GNS Science,EARSS/3,124,Pakarae,Short Period,1994-07-22T05:17:00Z,1994-12-12T15:13:00Z
GNS Science,EARSS/3,124,Gillespies Beach,Short Period,1997-09-20T07:06:00Z,1997-10-28T02:47:00Z
GNS Science,EARSS/3,124,Erua,Short Period,1999-10-04T10:37:00Z,1999-10-26T23:21:00Z
GNS Science,EARSS/3,124,Waitaha,Short Period,2001-01-12T08:37:00Z,2001-06-26T19:07:00Z
GNS Science,EARSS/3,124,Jackson Bay Wharf,Short Period,2001-12-09T03:53:00Z,2001-12-10T23:45:00Z
GNS Science,EARSS/3,124,Zillian Hill,Short Period,2001-12-11T08:10:00Z,2001-12-26T17:52:00Z
GNS Science,EARSS/3,124,"Black Point, Fiordland",Short Period,2003-08-24T00:33:00Z,2003-09-15T22:00:00Z
GNS Science,EARSS/3,124,Venture Gorge,Short Period,2005-05-04T13:23:00Z,2005-05-28T01:53:00Z
GNS Science,EARSS/3,125,Blue Lookout Tarn,Short Period,1994-01-27T08:04:00Z,1994-04-22T19:58:00Z
GNS Science,EARSS/3,125,Wilberforce,Short Period,1994-06-21T21:27:00Z,1994-06-28T23:34:00Z
GNS Science,EARSS/3,125,Waimaha,Short Period,1994-10-19T00:10:00Z,1994-12-11T20:14:00Z
GNS Science,EARSS/3,125,Rerewhakaaitu,Short Period,2000-04-12T14:24:00Z,2000-05-05T18:10:00Z
GNS Science,EARSS/3,125,Mount Napier,Short Period,2000-11-03T06:54:00Z,2000-11-19T23:29:00Z
GNS Science,EARSS/3,125,Konini,Short Period,2001-03-14T23:49:00Z,2001-03-20T20:59:00Z
GNS Science,EARSS/3,125,Rangitoto,Short Period,2001-04-12T06:46:00Z,2001-05-27T15:25:00Z
GNS Science,EARSS/3,125,Secretary Lake,Short Period,2003-08-24T03:38:00Z,2003-09-12T16:59:00Z
GNS Science,EARSS/3,125,Zillian Hill,Short Period,2005-05-04T21:38:00Z,2005-05-20T12:47:00Z
GNS Science,EARSS/3,151,Mount Kruse,Short Period,1990-02-11T04:01:00Z,1990-02-13T04:34:00Z
GNS Science,EARSS/3,151,Lake Guyon,Short Period,1990-02-14T03:26:00Z,1990-02-15T05:49:00Z
GNS Science,EARSS/3,151,Weber Park Road,Short Period,1990-05-13T23:00:00Z,1990-05-17T14:00:00Z
GNS Science,EARSS/3,151,Matapiro Road,Short Period,1993-04-12T09:46:00Z,1993-04-25T16:29:00Z
GNS Science,EARSS/3,151,Kenepuru,Short Period,1993-10-20T02:08:00Z,1994-03-09T04:37:00Z
GNS Science,EARSS/3,151,Bouguer Low,Short Period,2001-01-18T06:17:00Z,2001-07-04T07:12:00Z
GNS Science,EARSS/3,152,Folgers Hill,Short Period,1993-04-12T09:46:00Z,1993-04-25T20:07:00Z
GNS Science,EARSS/3,152,Leatham,Short Period,1993-10-19T06:34:00Z,1994-01-28T01:05:00Z
GNS Science,EARSS/3,152,Tawhitikuri,Short Period,1994-02-11T05:15:00Z,1994-03-24T16:44:00Z
GNS Science,EARSS/3,152,Gavin Road,Short Period,1995-01-11T09:47:00Z,1995-01-15T11:22:00Z
GNS Science,EARSS/3,152,Gavin Road,Short Period,1995-01-17T10:03:00Z,1995-06-06T20:11:00Z
GNS Science,EARSS/3,152,Pukeroa,Short Period,2001-01-18T13:22:00Z,2001-02-10T10:50:00Z
GNS Science,EARSS/3,152,Leslie Road,Short Period,2001-05-19T10:50:00Z,2001-07-04T07:12:00Z
GNS Science,EARSS/3,153,Waiau River,Short Period,1990-02-12T03:34:00Z,1990-02-14T13:54:00Z
GNS Science,EARSS/3,153,Whanawhana,Short Period,1993-04-12T23:09:00Z,1993-04-15T23:27:00Z
GNS Science,EARSS/3,153,Conway River,Short Period,1993-10-22T23:39:00Z,1994-01-24T07:13:00Z
GNS Science,EARSS/3,153,St. Ronan's Well,Short Period,1994-01-26T03:04:00Z,1994-02-28T02:25:00Z
GNS Science,EARSS/3,153,McDougal Quarry Road,Short Period,1995-01-17T04:04:00Z,1995-04-29T14:01:00Z
GNS Science,EARSS/3,153,Moawhango Dam,Short Period,1995-09-26T07:39:00Z,1995-11-13T02:50:00Z
GNS Science,EARSS/3,153,Express,Short Period,1995-11-13T23:52:00Z,1995-11-24T06:22:00Z
GNS Science,EARSS/3,153,"Allen Road, Pureora",Short Period,2001-02-13T16:17:00Z,2001-07-07T18:55:00Z
GNS Science,EARSS/3,154,Makairo,Short Period,1990-05-15T05:27:00Z,1990-05-17T20:54:00Z
GNS Science,EARSS/3,154,Kaokaoroa,Short Period,1993-04-13T03:28:00Z,1993-04-25T16:29:00Z
GNS Science,EARSS/3,154,Leatham,Short Period,1994-01-30T09:33:00Z,1994-03-11T20:49:00Z
GNS Science,EARSS/3,154,Waimaha,Short Period,1994-07-31T05:58:00Z,1994-10-16T19:14:00Z
GNS Science,EARSS/3,154,East Paeroa,Short Period,1995-01-11T09:47:00Z,1995-06-06T20:11:00Z
GNS Science,EARSS/3,154,Leslie Road,Short Period,2001-01-17T05:02:00Z,2001-02-19T06:34:00Z
GNS Science,EARSS/3,154,Pearl Road,Short Period,2001-03-08T07:39:00Z,2001-07-04T07:21:00Z
GNS Science,EARSS/3,155,Ohutu,Short Period,1993-04-12T09:46:00Z,1993-04-26T03:17:00Z
GNS Science,EARSS/3,155,Kekerengu Temp,Short Period,1993-10-18T11:49:00Z,1994-03-12T21:52:00Z
GNS Science,EARSS/3,155,Okareka,Short Period,1995-01-12T11:40:00Z,1995-05-16T20:35:00Z
GNS Science,EARSS/3,155,Lake Arapuni Road,Short Period,2001-01-19T23:54:00Z,2001-07-04T07:21:00Z
GNS Science,EARSS/3,156,Glencoe,Short Period,1993-04-12T09:46:00Z,1993-04-25T09:39:00Z
GNS Science,EARSS/3,156,Clarence,Short Period,1993-10-18T05:51:00Z,1994-03-04T16:26:00Z
GNS Science,EARSS/3,156,Gully Road,Short Period,1995-01-12T03:16:00Z,1995-01-13T17:17:00Z
GNS Science,EARSS/3,156,Wairua,Short Period,1995-04-09T05:09:00Z,1995-04-09T05:11:00Z
GNS Science,EARSS/3,156,Bennydale Mine,Short Period,2001-01-19T04:45:00Z,2001-02-25T00:13:00Z
GNS Science,EARSS/3,156,Pukeroa,Short Period,2001-02-25T14:51:00Z,2001-04-13T15:35:00Z
GNS Science,EARSS/3,181,Cape Palliser,Short Period,1990-10-05T11:52:00Z,1990-10-07T19:26:00Z
GNS Science,EARSS/3,181,Tekoteko,Short Period,1994-01-27T21:06:00Z,1994-04-16T01:06:00Z
GNS Science,EARSS/3,181,Gully Road,Short Period,1995-01-31T10:26:00Z,1995-03-06T23:08:00Z
GNS Science,EARSS/3,181,Te Ana,Short Period,1995-04-07T10:15:00Z,1995-05-20T20:23:00Z
GNS Science,EARSS/3,181,Ohakune Comms Hub,Short Period,1995-09-26T07:39:00Z,1995-10-25T17:55:00Z
GNS Science,EARSS/3,181,Giant,Short Period,1995-11-07T01:39:00Z,1995-12-11T07:26:00Z
GNS Science,EARSS/3,181,Awanui,Short Period,2001-01-14T23:52:00Z,2001-04-25T21:47:00Z
GNS Science,EARSS/3,181,Titirangi,Short Period,2001-06-02T02:09:00Z,2001-06-24T00:09:00Z
GNS Science,EARSS/3,181,Taheke,Short Period,2004-07-20T02:46:00Z,2004-07-28T23:30:00Z
GNS Science,EARSS/3,182,Omahine,Short Period,1994-06-26T14:04:00Z,1994-07-03T12:29:00Z
GNS Science,EARSS/3,182,Ash Pit Road,Short Period,1995-01-30T16:27:00Z,1995-04-09T09:50:00Z
GNS Science,EARSS/3,182,Erua,Short Period,1995-09-28T05:21:00Z,1995-10-17T23:27:00Z
GNS Science,EARSS/3,182,Top of the Bruce,Short Period,1995-10-24T02:43:00Z,1995-12-16T10:56:00Z
GNS Science,EARSS/3,182,Turoa Top of Giant,Short Period,1995-12-17T22:08:00Z,1996-01-08T22:57:00Z
GNS Science,EARSS/3,182,Wairua,Short Period,1998-03-27T03:12:00Z,1998-04-05T21:40:00Z
GNS Science,EARSS/3,182,Kidnappers,Short Period,2001-01-15T02:38:00Z,2001-01-30T15:16:00Z
GNS Science,EARSS/3,182,Kotare,Short Period,2001-02-18T00:15:01Z,2001-03-13T03:15:00Z
GNS Science,EARSS/3,182,Konini,Short Period,2001-04-11T04:09:00Z,2001-06-26T19:08:00Z
GNS Science,EARSS/3,183,Pakihiroa Temporary,Short Period,1994-08-01T05:33:00Z,1994-12-14T03:38:00Z
GNS Science,EARSS/3,183,Lake Okataina,Short Period,1995-01-26T20:32:00Z,1995-06-07T20:49:00Z
GNS Science,EARSS/3,183,Turoa Top of Giant,Short Period,1995-10-01T11:08:00Z,1995-12-07T19:58:00Z
GNS Science,EARSS/3,183,Rangitoto,Short Period,2001-01-16T03:14:00Z,2001-03-18T17:59:00Z
GNS Science,EARSS/3,183,Pongakawa Valley Road - Lake Rotoehu,Short Period,2004-07-20T04:22:00Z,2004-08-15T22:09:00Z
GNS Science,EARSS/3,197,Poihipi,Short Period,1999-07-13T22:18:00Z,1999-08-04T14:34:00Z
GNS Science,EARSS/3,197,Poihipi,Short Period,2001-02-24T23:20:00Z,2002-03-16T05:00:00Z
GNS Science,EARSS/3,199,Deep Cove,Short Period,1989-06-03T02:49:00Z,1989-06-09T18:00:00Z
GNS Science,RATS-RECORDER,801,Makara Bunker,,1992-07-10T06:21:00Z,1992-07-16T21:54:00Z
GNS Science,RATS-RECORDER,809,Taipo River,,1994-06-23T04:51:00Z,1994-07-06T01:08:00Z
GNS Science,SNARE/16,200,Marewa Ministry of Works and Development,SNARE Network,1987-03-19T17:19:00Z,1989-08-03T22:25:00Z
GNS Science,SNARE/16,200,Havelock North HortResearch,SNARE Network,1989-08-05T06:24:00Z,1997-08-04T10:00:00Z
GNS Science,SNARE/16,202,Wellington Dominion Observatory,SNARE Network,1986-09-22T00:00:00Z,1998-03-02T02:00:00Z
Guralp,GURALP-SAM-RECORDER,S0125,Tongariro River,,2001-01-16T08:00:00Z,2001-06-20T03:05:00Z
Guralp,GURALP-SAM-RECORDER,S0143,Wharepipi,,2001-01-27T14:01:00Z,2001-06-17T07:30:00Z
Kinemetrics,Basalt/8,1625,Richmond Hill Borehole,,2013-07-03T00:00:03Z,2014-07-22T03:00:00Z
Kinemetrics,Basalt/8,1625,Richmond Hill Borehole,,2014-10-30T00:30:01Z,2015-09-22T00:30:05Z
Kinemetrics,Basalt/8,1626,Richmond Hill Borehole,,2013-01-28T00:00:01Z,2013-06-04T01:00:00Z
Kinemetrics,Basalt/8,1626,Redcliffs Borehole,,2013-09-03T00:00:01Z,9999-01-01T00:00:00Z
Kinemetrics,Basalt/8,1627,Redcliffs Borehole,,2013-01-28T00:00:01Z,2013-09-03T00:00:00Z
Kinemetrics,Basalt/8,1627,Richmond Hill Borehole,,2014-07-22T03:00:01Z,2014-10-30T00:30:00Z
Kinemetrics,Obsidian/4,139,Deep Cove,Strong Motion,2015-10-22T05:00:01Z,2020-06-23T00:48:00Z
Kinemetrics,Obsidian/4,372,Waikawa Valley,Strong Motion,2017-05-22T06:17:01Z,2023-03-19T07:03:00Z
Kinemetrics,Obsidian/4,373,Kokohu,Strong Motion,2017-05-30T02:45:01Z,2021-06-02T21:56:00Z
Kinemetrics,Obsidian/4,373,Wharekauri,Strong Motion,2021-11-24T19:37:00Z,2023-12-19T21:02:00Z
Kinemetrics,Obsidian/4,656,Raoul Island Met Station,Strong Motion,2016-09-17T13:00:01Z,2023-01-28T21:16:00Z
Kinemetrics,Obsidian/4,695,Milford Sound,Strong Motion,2017-05-23T04:15:01Z,2023-06-13T23:17:00Z
Kinemetrics,Obsidian/4,709,Deep Cove,Strong Motion,2020-06-23T01:09:00Z,2021-08-09T21:08:00Z
Kinemetrics,Obsidian/4,710,Puysegur Point,Strong Motion,2017-01-19T21:20:01Z,2024-11-30T20:37:00Z
Kinemetrics,Obsidian/4,713,Glynn Wye,Strong Motion,2019-10-23T19:45:00Z,2020-07-23T20:19:00Z
Kinemetrics,Obsidian/4,715,Wakarara,Strong Motion,2019-09-10T02:50:00Z,2021-05-25T20:54:00Z
Kinemetrics,Obsidian/4,716,The Sugar Loaf Quarry,Strong Motion,2017-03-16T00:00:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,1177,Mount Edgecumbe,,2007-05-31T03:00:01Z,2008-06-30T23:50:00Z
Kinemetrics,Q330/3,1177,Rawiri Station,,2009-06-10T03:30:01Z,2023-08-02T23:55:00Z
Kinemetrics,Q330/3,1178,Blackbirch Station,,2006-01-18T20:30:01Z,2016-12-08T00:00:00Z
Kinemetrics,Q330/3,1179,"Highcliff Hill, Dunedin",,2006-04-08T02:00:01Z,2008-06-26T03:30:00Z
Kinemetrics,Q330/3,1179,Kiriroa,,2011-08-18T12:00:01Z,2018-09-23T19:55:00Z
Kinemetrics,Q330/3,1180,Poihipi,,2005-07-05T01:00:00Z,2023-07-24T20:50:00Z
Kinemetrics,Q330/3,1181,Eastland Port,,2008-02-13T00:00:01Z,2021-05-11T23:10:00Z
Kinemetrics,Q330/3,1182,Kakaramea,,2006-02-28T00:00:01Z,2011-09-21T00:00:10Z
Kinemetrics,Q330/3,1182,Whataroa Gaunt Creek,,2012-06-21T00:00:01Z,2018-10-15T00:00:00Z
Kinemetrics,Q330/3,1183,Utuhina,,2006-02-11T00:00:01Z,2018-11-29T06:33:00Z
Kinemetrics,Q330/3,1184,Kaharoa,,2006-05-02T00:00:01Z,2018-09-04T21:30:00Z
Kinemetrics,Q330/3,1185,Motutapu Island,,2007-06-25T03:00:01Z,2012-10-09T01:45:00Z
Kinemetrics,Q330/3,1185,Lathrope Road,,2013-02-20T04:30:01Z,2022-05-18T01:27:00Z
Kinemetrics,Q330/3,1186,Kawakawa Station,,2007-02-20T04:38:01Z,2007-06-27T23:30:00Z
Kinemetrics,Q330/3,1186,Porangahau,,2007-11-29T22:00:01Z,2023-05-03T21:36:00Z
Kinemetrics,Q330/3,1187,Oturere,,2007-03-20T00:00:01Z,2010-04-20T09:00:00Z
Kinemetrics,Q330/3,1187,Awhitu Peninsula,,2010-12-13T20:00:01Z,2018-07-05T03:00:00Z
Kinemetrics,Q330/3,1188,Tory Channel,,2005-12-14T22:30:01Z,2011-03-25T00:00:00Z
Kinemetrics,Q330/3,1188,Mangatainoka River,,2011-04-13T00:00:01Z,2022-08-11T22:36:00Z
Kinemetrics,Q330/3,1189,Mayor Island,,2006-02-13T00:00:01Z,2012-03-06T00:00:00Z
Kinemetrics,Q330/3,1189,Mayor Island,,2012-08-31T00:00:01Z,2019-06-19T00:05:00Z
Kinemetrics,Q330/3,1190,Ohinepanea Seismic,,2006-11-14T00:00:01Z,2018-11-28T20:00:00Z
Kinemetrics,Q330/3,1191,Traveller,,2005-06-22T00:00:00Z,2018-06-21T22:00:00Z
Kinemetrics,Q330/3,1193,The Home Place,,2006-10-19T20:30:01Z,2018-10-29T02:39:00Z
Kinemetrics,Q330/3,1194,Waikawa Valley,,2006-05-05T00:20:00Z,2007-11-29T00:13:00Z
Kinemetrics,Q330/3,1194,Waitaha Valley,,2011-10-13T00:00:01Z,2018-07-08T23:10:00Z
Kinemetrics,Q330/3,1195,Old GNS Wairakei,,2006-08-31T00:00:01Z,2007-01-24T01:00:00Z
Kinemetrics,Q330/3,1195,Chateau Observatory,Acoustic,2007-03-07T00:00:02Z,2010-11-30T22:30:00Z
Kinemetrics,Q330/3,1195,Old Kaimai Road,,2011-03-08T00:00:02Z,2019-01-23T03:00:00Z
Kinemetrics,Q330/3,1196,Manawahe,,2005-11-23T00:00:00Z,2018-11-16T03:30:00Z
Kinemetrics,Q330/3,1197,Ambury Farm,,2008-03-11T22:00:01Z,2008-03-14T01:00:00Z
Kinemetrics,Q330/3,1197,Lathrope Road,,2008-04-01T00:30:01Z,2013-02-20T00:30:00Z
Kinemetrics,Q330/3,1197,North Tongariro,,2013-06-05T00:00:01Z,2016-01-14T02:00:00Z
Kinemetrics,Q330/3,2108,Raoul Island Boat Cove,,2009-05-18T00:00:01Z,2017-03-26T22:00:00Z
Kinemetrics,Q330/3,2141,Palmer Road,,2010-02-23T00:00:01Z,2014-05-14T00:00:00Z
Kinemetrics,Q330/3,2141,Mount Edgecumbe,,2014-10-13T00:00:41Z,2023-06-29T22:16:00Z
Kinemetrics,Q330/3,2216,Turoa Road End,,2009-02-10T23:00:01Z,2019-07-23T03:35:00Z
Kinemetrics,Q330/3,2218,Matakaoa Point,,2011-08-18T00:00:01Z,2022-08-09T03:43:00Z
Kinemetrics,Q330/3,2220,Iwikau Village,,2009-01-27T21:00:01Z,2023-05-08T23:51:00Z
Kinemetrics,Q330/3,2232,Owenga,,2007-12-15T12:00:01Z,2021-11-24T19:30:00Z
Kinemetrics,Q330/3,2236,Aropaoanui,,2010-03-11T21:15:01Z,2012-01-19T22:29:01Z
Kinemetrics,Q330/3,2236,Greta Valley,,2012-11-26T00:00:02Z,2022-10-11T22:57:00Z
Kinemetrics,Q330/3,2237,Newall Road,,2008-01-22T19:00:01Z,2022-06-15T21:48:00Z
Kinemetrics,Q330/3,2238,Post Office Road,,2008-04-23T00:00:01Z,2022-11-29T22:41:00Z
Kinemetrics,Q330/3,2239,Waihua,,2009-06-07T22:00:01Z,2023-09-13T22:58:00Z
Kinemetrics,Q330/3,2321,Otaki Gorge,,2007-09-24T01:00:01Z,2008-01-29T21:20:00Z
Kinemetrics,Q330/3,2321,Pakihiroa,,2010-10-19T00:20:01Z,2011-01-13T00:00:00Z
Kinemetrics,Q330/3,2321,Kakaramea,,2011-09-21T00:00:11Z,2022-06-29T22:34:00Z
