Make,Model,Serial,Mount,View,Attachment,Start Date,End Date
Mobotix AG,M15,10.13.10.47,WHWI,01,Day,2013-08-07T00:00:00Z,9999-01-01T00:00:00Z
Mobotix AG,M15,10.13.10.47,WHWI,01,Night,2013-08-07T00:00:00Z,9999-01-01T00:00:00Z
