Station,Location,Latitude,Longitude,Elevation,Depth,Datum,Survey,Start Date,End Date
CMWZ,10,-41.749017075,174.213825009,281,0,WGS84,Internal GPS Clock,2003-12-10T19:00:02Z,9999-01-01T00:00:00Z
CMWZ,20,-41.749017,174.213825,233,0,WGS84,Topographic Map,2013-07-24T03:00:10Z,9999-01-01T00:00:00Z
