Station,Network,Name,Latitude,Longitude,Elevation,Datum,Start Date,End Date
DKHS,SM,Dunedin Kings High School,-45.902225879,170.492935221,13,WGS84,2002-06-06T00:00:00Z,9999-01-01T00:00:00Z
KIW,WL,Kapiti Island,-40.8608783,174.909727546,381,WGS84,1978-04-10T00:00:00Z,9999-01-01T00:00:00Z
