Sensor Make,Sensor Model,Serial Number,Station Code,Location Code,Installation Azimuth,Installation Dip,Installation Depth,Installation Date,Removal Date
CSI,CUSP-Me BOX,Me-12032,MJCB,2F,293,0,-98,2011-06-28T00:00:02Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12033,MJCB,2D,23,0,-92.5,2011-06-28T00:00:02Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12034,MJCB,2C,293,0,-92.5,2011-06-28T00:00:02Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12035,MJCB,2B,23,0,-92.5,2011-06-28T00:00:02Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12036,MJCB,2E,83,0,-92.5,2011-06-28T00:00:02Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12037,NMIB,21,270,0,0.1,2011-02-01T00:01:00Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12038,NMIB,22,270,0,0,2011-02-01T00:01:00Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12039,NMIB,23,0,0,0,2011-02-01T00:01:00Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12040,NMIB,25,0,0,-4.1,2011-02-01T00:01:00Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12041,NMIB,24,90,0,-3.75,2011-02-01T00:01:00Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12042,NMIB,26,0,0,-7.76,2011-03-21T00:01:00Z,2011-03-22T00:00:00Z
CSI,CUSP-Me BOX,Me-12042,NMIB,26,90,0,-7.76,2011-03-23T00:01:00Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12043,NMIB,28,0,0,-8.15,2011-02-01T00:01:00Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12044,NMIB,27,0,0,-7.97,2011-03-28T00:00:02Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12045,NMIB,29,0,0,-13.67,2011-02-01T00:01:00Z,2011-03-22T00:00:00Z
CSI,CUSP-Me BOX,Me-12045,NMIB,29,90,0,-13.67,2011-03-23T00:01:00Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12046,NMIB,2A,270,0,0,2011-02-01T00:01:00Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12047,WQAB,29,100,0,0,2012-05-15T00:00:00Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12048,WQAB,2A,100,0,0,2012-05-15T00:00:00Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12050,CPIB,2G,0,0,0,2012-05-15T00:00:00Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12051,CPIB,22,0,0,2.2,2012-05-15T00:00:00Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12052,TDFB,21,35,0,-8.75,2011-06-28T00:00:02Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12053,TDFB,20,35,0,-6.9,2011-06-28T00:00:02Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12054,CPIB,23,90,0,-0.5,2012-05-15T00:00:00Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12055,CPIB,24,90,0,-0.5,2012-05-15T00:00:00Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12056,TDFB,24,35,0,-7.08,2011-06-28T00:00:02Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12057,TDFB,25,35,0,-7.15,2011-06-28T00:00:02Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12058,TDFB,22,35,0,-7.47,2011-06-28T00:00:02Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12059,TDFB,23,35,0,-7.4,2011-06-28T00:00:02Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12060,TDFB,26,35,0,-9,2011-06-28T00:00:02Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12061,TDFB,27,305,0,0,2011-06-28T00:00:02Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12062,TDFB,28,40,0,-12.35,2011-06-28T00:00:02Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12064,WQAB,2C,100,0,0,2012-05-15T00:00:00Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12066,TDFB,29,40,0,-10.35,2011-06-28T00:00:02Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12067,TDFB,2A,40,0,-10.35,2011-06-28T00:00:02Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12068,CPIB,25,90,0,-4,2012-05-15T00:00:00Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12069,TDFB,2B,40,0,-10,2011-06-28T00:00:02Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12070,STSB,25,54,0,-7.644,2014-07-01T00:00:03Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12071,STSB,26,54,0,-11.232,2014-07-01T00:00:03Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12073,TDFB,2C,40,0,-10,2011-06-28T00:00:02Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12074,TDFB,2D,40,0,-12.7,2011-06-28T00:00:02Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12075,TDFB,2E,40,0,-10.4,2011-06-28T00:00:02Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12076,CPIB,26,90,0,-3.6,2012-05-15T00:00:00Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12077,TDFB,2F,310,0,0,2011-06-28T00:00:02Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12078,CPIB,27,90,0,-7.5,2012-05-15T00:00:00Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12079,WQAB,2B,100,0,0,2012-05-15T00:00:00Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12080,WQAB,2D,100,0,0,2012-05-15T00:00:00Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12081,CPIB,28,90,0,-7.5,2012-05-15T00:00:00Z,9999-01-01T00:00:00Z
CSI,CUSP-Me BOX,Me-12082,STSB,27,54,0,-14.897,2014-07-01T00:00:03Z,9999-01-01T00:00:00Z
