Make,Model,Serial,Mark,Start Date,End Date
Trimble Navigation Ltd.,TRIMBLE NETR9,5306K41861,AVLN,2016-09-19T02:31:29Z,9999-01-01T00:00:00Z
Trimble Navigation Ltd.,TRIMBLE NETRS,4438238766,AVLN,2006-02-23T03:35:02Z,2007-04-17T02:00:00Z
Trimble Navigation Ltd.,TRIMBLE NETRS,4503243972,AVLN,2007-04-17T02:00:30Z,2016-09-19T02:31:27Z
