Datalogger Make,Datalogger Model,Serial Number,Deployment Place,Deployment Role,Installation Date,Removal Date
GNSScience,EARSS/3,038,Hikuraki Station,Short Period,1996-03-09T00:15:00Z,2003-08-23T20:02:00Z
GNSScience,EARSS/3,039,Alexandra,Short Period,1996-03-07T02:15:00Z,2004-08-30T20:34:00Z
GNSScience,EARSS/3,040,Birch Farm,Short Period,1996-07-19T06:10:00Z,2003-06-12T13:03:00Z
GNSScience,EARSS/3,085,Havelock North HortResearch,,1997-07-31T03:49:00Z,2000-12-05T22:38:00Z
GNSScience,EARSS/3,087,Pawanui,Short Period,2001-01-30T00:23:00Z,2001-03-21T02:44:00Z
GNSScience,EARSS/3,099,Mangaore,Short Period,1991-07-30T22:16:00Z,1991-12-02T14:41:00Z
GNSScience,EARSS/3,101,Percy Dyett Drive,Short Period,1988-07-01T22:49:00Z,1988-07-05T18:19:00Z
GNSScience,EARSS/3,101,Braida Crags,Short Period,1989-06-05T07:12:00Z,1989-06-09T03:31:00Z
GNSScience,EARSS/3,101,Sinclair Castle,Short Period,1991-01-30T22:08:00Z,1991-02-04T22:02:00Z
GNSScience,EARSS/3,101,Kisbee Bay,Short Period,1993-03-23T02:57:00Z,1993-06-22T16:55:00Z
GNSScience,EARSS/3,101,Anchorage Arm,Short Period,1993-08-14T23:24:00Z,1993-08-17T17:55:00Z
GNSScience,EARSS/3,101,Graham Valley,Short Period,1993-10-24T08:36:00Z,1994-03-01T16:34:00Z
GNSScience,EARSS/3,101,Linkwater,Short Period,1994-03-04T04:43:00Z,1994-03-13T19:06:00Z
GNSScience,EARSS/3,101,Double Hill,Short Period,1994-06-20T00:47:00Z,1994-06-29T07:49:00Z
GNSScience,EARSS/3,101,Kokohu,Short Period,1994-07-23T06:01:00Z,1994-12-09T21:26:00Z
GNSScience,EARSS/3,101,Earthquake Flat Road,Short Period,1995-01-12T03:16:00Z,1995-06-06T20:12:00Z
GNSScience,EARSS/3,101,Rakaia,Short Period,1995-11-09T00:00:00Z,1996-04-19T00:00:00Z
GNSScience,EARSS/3,101,Onenui,Short Period,2001-01-13T04:01:00Z,2001-06-25T15:55:00Z
GNSScience,EARSS/3,102,Knob's Flat,Short Period,1988-06-07T21:10:00Z,1988-06-07T21:12:00Z
GNSScience,EARSS/3,102,Te Anau Downs,Short Period,1988-06-08T05:51:00Z,1988-06-11T05:00:00Z
GNSScience,EARSS/3,102,Centre Hill,Short Period,1989-06-04T06:22:00Z,1989-06-08T08:18:00Z
GNSScience,EARSS/3,102,Braida Crags,Short Period,1989-06-09T15:02:00Z,1989-06-19T17:30:00Z
GNSScience,EARSS/3,102,Waitahora,Short Period,1990-02-19T21:40:00Z,1990-05-17T20:29:00Z
GNSScience,EARSS/3,102,Donkey Creek,Short Period,1991-01-29T23:15:00Z,1991-02-04T20:42:00Z
GNSScience,EARSS/3,102,Deep Cove,Short Period,1993-03-19T01:15:00Z,1993-07-15T14:46:00Z
GNSScience,EARSS/3,102,Henry Creek,Short Period,1993-08-12T23:16:00Z,1993-08-31T03:48:00Z
GNSScience,EARSS/3,102,Goat Hill,Short Period,1993-10-22T10:34:00Z,1994-02-27T20:08:00Z
GNSScience,EARSS/3,102,Molesworth,Short Period,1994-03-01T08:55:00Z,1994-03-11T20:39:00Z
GNSScience,EARSS/3,102,Arakihi,Short Period,1994-07-22T05:17:00Z,1994-12-12T23:16:00Z
GNSScience,EARSS/3,102,Ash Pit Road,Short Period,1995-01-11T00:56:00Z,1995-01-29T00:58:00Z
GNSScience,EARSS/3,102,Tarawera Outlet,Short Period,1995-01-29T04:51:00Z,1995-06-05T12:47:00Z
GNSScience,EARSS/3,102,Tongariro River,Short Period,1995-09-26T01:42:00Z,1995-10-20T15:09:00Z
GNSScience,EARSS/3,102,Swamp Road,Short Period,1995-10-31T00:31:00Z,1996-01-09T01:00:00Z
GNSScience,EARSS/3,103,Knob's Flat,Short Period,1988-06-06T05:58:00Z,1988-06-07T01:23:00Z
GNSScience,EARSS/3,103,Te Anau Downs,Short Period,1988-06-07T04:42:00Z,1988-06-08T04:51:00Z
GNSScience,EARSS/3,103,Knob's Flat,Short Period,1988-06-09T23:46:00Z,1988-06-10T22:47:00Z
GNSScience,EARSS/3,103,Te Anau Downs,Short Period,1989-06-02T14:12:00Z,1989-06-10T12:00:00Z
GNSScience,EARSS/3,103,Anchorage Arm,Short Period,1993-03-21T06:46:00Z,1993-06-19T15:05:00Z
GNSScience,EARSS/3,103,Bend Point,Short Period,1993-08-15T01:00:00Z,1993-08-17T07:03:00Z
GNSScience,EARSS/3,103,St. Ronan's Well,Short Period,1993-10-21T02:48:00Z,1993-12-14T10:14:00Z
GNSScience,EARSS/3,103,Conway River,Short Period,1994-01-26T04:30:00Z,1994-03-11T13:07:00Z
GNSScience,EARSS/3,103,Esk,Short Period,2001-01-11T13:46:00Z,2001-06-03T02:50:00Z
GNSScience,EARSS/3,103,Lake Mary,Short Period,2001-12-09T07:51:00Z,2001-12-27T02:46:00Z
GNSScience,EARSS/3,103,Browning Range,Short Period,2005-05-03T23:25:00Z,2005-05-17T15:18:00Z
GNSScience,EARSS/3,104,Te Anau Downs,Short Period,1988-06-06T10:09:00Z,1988-06-06T23:23:00Z
GNSScience,EARSS/3,104,Puketiti,Short Period,1989-03-08T11:22:00Z,1989-04-14T09:36:00Z
GNSScience,EARSS/3,104,Mangatuna,Short Period,1989-04-17T07:59:00Z,1989-07-02T19:03:00Z
GNSScience,EARSS/3,104,Tora,Short Period,1990-10-05T10:47:00Z,1990-10-08T20:12:00Z
GNSScience,EARSS/3,104,Middle Arm,Short Period,1993-03-19T06:55:00Z,1993-06-23T03:58:00Z
GNSScience,EARSS/3,104,Redwood Motel,Short Period,1993-08-12T06:14:00Z,1993-08-14T22:13:00Z
GNSScience,EARSS/3,104,Middle Arm,Short Period,1993-08-15T02:26:00Z,1993-08-19T11:06:00Z
GNSScience,EARSS/3,104,Jollies Pass,Short Period,1993-10-22T10:34:00Z,1993-11-23T01:31:00Z
GNSScience,EARSS/3,104,White Rock,Short Period,1993-12-03T07:15:00Z,1994-03-06T14:25:00Z
GNSScience,EARSS/3,104,Marau Point,Short Period,1994-07-27T02:26:00Z,1994-12-12T23:16:00Z
