Manufacturer,Make,Model,Serial Number,Notes
GNS Science (Wairakei),GNSWairakei,Temperature sensor (K-type),Inferno OF1,
GNS Science (Wairakei),GNSWairakei,Temperature sensor (K-type),Inferno1,
GNS Science (Wairakei),GNSWairakei,Temperature sensor (K-type),Inferno1,
GNS Science (Wairakei),GNSWairakei,Temperature sensor (K-type),TC20121206,
