Station,Location,Place,Role,Start Date,End Date
DCZ,20,Deep Cove,,2005-07-23T00:00:00Z,2015-10-22T00:00:00Z
DCZ,20,Deep Cove,Strong Motion,2015-10-22T05:00:01Z,9999-01-01T00:00:00Z
DSZ,20,Denniston North,,1998-10-15T00:00:00Z,9999-01-01T00:00:00Z
