Manufacturer,Make,Model,Serial Number,Notes
Thompson Sintra Pacific,TSP,Scout Hydrophone,H1,
Thompson Sintra Pacific,TSP,Scout Hydrophone,H2,
Thompson Sintra Pacific,TSP,Scout Hydrophone,H3,
