Make,Model,Serial,Place,Role,Start Date,End Date
Kinemetrics,Q330/3,2455,Sumner Head,,2010-06-15T00:00:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,2563,Dunedin Tsunami,,2010-02-25T01:00:01Z,9999-01-01T00:00:00Z
