Datalogger Make,Datalogger Model,Serial Number,Deployment Place,Installation Date,Removal Date
Kinemetrics,Q330/3,533,Motutapu Island Q330,2012-10-07T00:00:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,538,Karewarewa Q330,2004-12-03T22:00:00Z,2005-03-02T00:00:00Z
Kinemetrics,Q330/3,538,Mount Edgecumbe Q330,2006-02-16T00:00:01Z,2007-05-31T03:00:00Z
Kinemetrics,Q330/3,538,McNeill Hill Q330,2008-05-27T00:00:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,540,Pukeiti Hill Q330,2003-10-28T16:00:00Z,2006-12-06T04:07:00Z
Kinemetrics,Q330/3,540,Namu Road Q330,2009-04-01T22:00:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,541,White Island - South Rim Q330,2006-09-19T00:00:01Z,2007-04-19T03:00:00Z
Kinemetrics,Q330/3,541,Aratiatia Landcorp Farm Q330,2007-05-20T21:00:01Z,2011-03-06T22:00:00Z
Kinemetrics,Q330/3,541,Aratiatia Landcorp Farm Q330,2011-06-20T04:00:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,542,Oturere Q330,2004-11-18T04:00:00Z,2005-08-30T00:00:00Z
Kinemetrics,Q330/3,542,Lichenstein Road Q330,2005-11-10T00:00:00Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,543,Wahianoa Q330,2004-04-15T00:00:00Z,2005-02-22T20:00:00Z
Kinemetrics,Q330/3,543,Oturere Q330,2005-08-30T00:00:01Z,2006-06-08T06:00:00Z
Kinemetrics,Q330/3,543,Kahui Hut Q330,2009-05-20T20:00:01Z,2014-10-14T04:00:00Z
Kinemetrics,Q330/3,550,Tory Channel Q330,2005-04-20T13:00:00Z,2005-12-14T22:30:00Z
Kinemetrics,Q330/3,550,North Cape Q330,2011-09-23T01:00:01Z,2014-01-22T22:00:00Z
Kinemetrics,Q330/3,550,Wellington Dominion Observatory Q330,2014-07-24T03:30:01Z,2014-11-03T02:05:00Z
Kinemetrics,Q330/3,551,Queen's Wharf Shed 1 Q330,2007-03-06T00:00:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,552,Cape Kidnappers Q330,2007-08-29T02:30:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,553,Okepuha Station Q330,2007-04-03T00:00:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,559,Mangateitei Q330,2005-03-15T21:00:00Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,937,D'Urville Island Q330,2003-12-10T00:00:00Z,2011-02-24T00:00:01Z
Kinemetrics,Q330/3,937,Ruatahuna Q330,2011-05-05T00:00:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,938,Port of Napier Q330,2007-09-11T12:00:01Z,9999-01-01T00:00:00Z
Kinemetrics,Q330/3,939,Kauri Point Q330,2006-12-12T06:00:01Z,2009-09-08T03:05:00Z
