Mark Code,Network Code,Mark Name,Mark Type,Latitude,Longitude,Height,Datum,Vertical Offset,Dome Number,Plan Reference,Protection,Sky View,Established By,Start Time,End Time
PTOI,CG,Puketoi,Forced Centering,-40.60106131,175.99926884,511.639,NZGD2000,-1.5,,,,"Skyview good above 6 degrees to NNE, 8 degrees to NNW, 5 degrees to N. Elsewhere good above less than 5 degrees.",,2006-03-20T12:00:00Z,9999-01-01T01:35:09Z
PTOI,CG,Puketoi,Iron Spike,-40.60106131,175.99926884,511.639,NZGD2000,-1.5,,,,"Skyview good above 6 degrees to NNE, 8 degrees to NNW, 5 degrees to N. Elsewhere good above less than 5 degrees.",,2006-03-20T12:00:00Z,9999-01-01T01:35:09Z
PTOI,CG,Puketoi,Nail,-40.60106131,175.99926884,511.639,NZGD2000,-1.5,,,,"Skyview good above 6 degrees to NNE, 8 degrees to NNW, 5 degrees to N. Elsewhere good above less than 5 degrees.",,2006-03-20T12:00:00Z,9999-01-01T01:35:09Z
PTOI,CG,Puketoi,Unmarked mark,-40.60106131,175.99926884,511.639,NZGD2000,-1.5,,,,"Skyview good above 6 degrees to NNE, 8 degrees to NNW, 5 degrees to N. Elsewhere good above less than 5 degrees.",,2006-03-20T12:00:00Z,9999-01-01T01:35:09Z
PTOI,CG,Puketoi,Bronze Pin,-40.60106131,175.99926884,511.639,NZGD2000,-1.5,,,,"Skyview good above 6 degrees to NNE, 8 degrees to NNW, 5 degrees to N. Elsewhere good above less than 5 degrees.",,2006-03-20T12:00:00Z,9999-01-01T01:35:09Z
PTOI,CG,Puketoi,Iron Rod,-40.60106131,175.99926884,511.639,NZGD2000,-1.5,,,,"Skyview good above 6 degrees to NNE, 8 degrees to NNW, 5 degrees to N. Elsewhere good above less than 5 degrees.",,2006-03-20T12:00:00Z,9999-01-01T01:35:09Z
PUKE,CG,Puketiti,Iron Tube,-38.07141492,178.257359581,468.075,NZGD2000,-1.55,,,,No obstruction above 10 degrees elevation,,2004-02-15T11:00:00Z,9999-01-01T01:32:14Z
PUKE,CG,Puketiti,Nail,-38.07141492,178.257359581,468.075,NZGD2000,-1.55,,,,No obstruction above 10 degrees elevation,,2004-02-15T11:00:00Z,9999-01-01T01:32:14Z
PUKE,CG,Puketiti,Stainless Steel Pin,-38.07141492,178.257359581,468.075,NZGD2000,-1.55,,,,No obstruction above 10 degrees elevation,,2004-02-15T11:00:00Z,9999-01-01T01:32:14Z
PUKE,CG,Puketiti,Bronze Pin,-38.07141492,178.257359581,468.075,NZGD2000,-1.55,,,,No obstruction above 10 degrees elevation,,2004-02-15T11:00:00Z,9999-01-01T01:32:14Z
