Monument Mark,Monument Code,Eccentricity,Date Established,Date Removed
MAHA,Deep Braced,None,2009-11-15T11:00:00Z,9999-01-01T00:00:00Z
MAHI,Deep Braced,none,2007-02-19T11:00:00Z,9999-01-01T00:00:00Z
MAHO,Pillar,None,2004-02-28T11:00:00Z,9999-01-01T00:00:00Z
MAKO,Deep Braced,None,2009-12-31T11:00:00Z,9999-01-01T00:00:00Z
MANG,Pillar,None,2005-02-02T11:00:00Z,9999-01-01T00:00:00Z
MAST,Pillar,None,2002-12-18T11:00:00Z,9999-01-01T00:00:00Z
MATW,Pillar,None,2004-04-08T12:00:00Z,9999-01-01T00:00:00Z
MAUI,Unknown,none,2006-05-23T12:00:00Z,9999-01-01T00:00:00Z
MAVL,Pillar,None,2004-05-16T12:00:00Z,9999-01-01T00:00:00Z
MCNL,Deep Braced,None,2008-05-26T12:00:00Z,9999-01-01T00:00:00Z
METH,Deep Braced,none,2010-07-31T12:00:00Z,9999-01-01T00:00:00Z
MG01,Unknown,None,2013-05-31T12:00:00Z,9999-01-01T00:00:00Z
MG03,Unknown,None,2015-05-31T12:00:00Z,9999-01-01T00:00:00Z
MG05,Unknown,None,2013-05-31T12:00:00Z,9999-01-01T00:00:00Z
MG09,Unknown,None,2015-05-31T12:00:00Z,9999-01-01T00:00:00Z
MG10,Unknown,None,2014-05-31T12:00:00Z,9999-01-01T00:00:00Z
MG11,Unknown,None,2015-05-31T12:00:00Z,9999-01-01T00:00:00Z
MG15,Unknown,None,2015-05-31T12:00:00Z,9999-01-01T00:00:00Z
MG18,Unknown,none,2014-05-31T12:00:00Z,9999-01-01T00:00:00Z
MING,Deep Braced,None,2010-04-27T12:00:00Z,9999-01-01T00:00:00Z
MKNO,Deep Braced,None,2011-05-10T12:00:00Z,9999-01-01T00:00:00Z
MNHR,Deep Braced,None,2011-02-15T11:00:00Z,9999-01-01T00:00:00Z
MQZG,Pillar,None,1999-09-26T12:00:00Z,9999-01-01T00:00:00Z
MRBL,Deep Braced,None,2014-05-31T12:00:00Z,9999-01-01T00:00:00Z
MTBL,Deep Braced,None,2008-03-26T11:00:00Z,9999-01-01T00:00:00Z
MTJO,Pillar,None,2002-07-30T12:00:00Z,9999-01-01T00:00:00Z
MTPR,Short Braced,none,2010-01-26T11:00:00Z,9999-01-01T00:00:00Z
MTQN,Deep Braced,None,2008-06-29T12:00:00Z,9999-01-01T00:00:00Z
NETT,Pillar,None,2002-02-16T11:00:00Z,9999-01-01T00:00:00Z
NIUC,Pillar,None,1996-11-12T11:00:00Z,9999-01-01T00:00:00Z
NIUM,Short Braced,none,2005-09-13T12:00:00Z,9999-01-01T00:00:00Z
NLS1,Unknown,none,2011-12-18T11:00:00Z,2013-11-13T11:00:00Z
NLS2,Unknown,none,2011-12-19T11:00:00Z,2013-11-13T11:00:00Z
NLSN,Pillar,None,2004-02-05T11:00:00Z,9999-01-01T00:00:00Z
NMAI,Deep Braced,None,2008-02-12T11:00:00Z,9999-01-01T00:00:00Z
NPLY,Pillar,None,2003-03-19T12:00:00Z,9999-01-01T00:00:00Z
NRRD,Deep Braced,none,2008-03-26T11:00:00Z,9999-01-01T00:00:00Z
NRSW,Deep Braced,None,2011-01-17T11:00:00Z,9999-01-01T00:00:00Z
OHIN,Deep Braced,None,2008-09-02T12:00:00Z,9999-01-01T00:00:00Z
OKOH,Deep Braced,None,2009-11-15T11:00:00Z,9999-01-01T00:00:00Z
OPTK,Deep Braced,None,2009-08-19T12:00:00Z,9999-01-01T00:00:00Z
OROA,Deep Braced,None,2010-11-07T11:00:00Z,9999-01-01T00:00:00Z
OTAK,Deep Braced,none,2007-03-06T11:00:00Z,9999-01-01T00:00:00Z
OUSD,Mast,none,1995-01-15T11:00:00Z,9999-01-01T00:00:00Z
PAEK,Pillar,None,2002-03-21T12:00:00Z,9999-01-01T00:00:00Z
PAKI,Deep Braced,None,2010-06-21T12:00:00Z,9999-01-01T00:00:00Z
PALI,Short Braced,none,2007-02-11T11:00:00Z,9999-01-01T00:00:00Z
PARI,Deep Braced,None,2007-02-23T11:00:00Z,9999-01-01T00:00:00Z
PARW,Pillar,None,2004-06-09T12:00:00Z,9999-01-01T00:00:00Z
PAWA,Pillar,None,2005-05-22T12:00:00Z,9999-01-01T00:00:00Z
PGKH,Short Braced,none,2014-05-07T12:00:00Z,9999-01-01T00:00:00Z
PGNE,Short Braced,none,2014-05-07T12:00:00Z,9999-01-01T00:00:00Z
PILK,Pillar,none,2000-11-02T11:00:00Z,9999-01-01T00:00:00Z
PKNO,Deep Braced,None,2009-12-31T11:00:00Z,9999-01-01T00:00:00Z
PNUI,Deep Braced,none,2006-06-28T12:00:00Z,9999-01-01T00:00:00Z
PORA,Deep Braced,none,2006-01-30T11:00:00Z,9999-01-01T00:00:00Z
PRTU,Deep Braced,None,2009-08-16T12:00:00Z,9999-01-01T00:00:00Z
PTOI,Deep Braced,none,2006-03-20T12:00:00Z,9999-01-01T00:00:00Z
PUKE,Pillar,None,2004-02-15T11:00:00Z,9999-01-01T00:00:00Z
PYGR,Short Braced,none,2006-12-03T11:00:00Z,9999-01-01T00:00:00Z
QUAR,Pillar,None,2000-02-04T11:00:00Z,9999-01-01T00:00:00Z
RAHI,Deep Braced,None,2008-05-14T12:00:00Z,9999-01-01T00:00:00Z
RAKW,Deep Braced,None,2011-02-15T11:00:00Z,9999-01-01T00:00:00Z
RAUL,Short Braced,none,2009-05-15T12:00:00Z,9999-01-01T00:00:00Z
RAUM,Deep Braced,None,2011-05-18T12:00:00Z,9999-01-01T00:00:00Z
RAWI,Deep Braced,None,2008-12-31T11:00:00Z,9999-01-01T00:00:00Z
RCHD,Unknown,None,2013-05-31T12:00:00Z,9999-01-01T00:00:00Z
RDLV,Deep Braced,None,2009-01-13T11:00:00Z,9999-01-01T00:00:00Z
RGAR,Deep Braced,None,2007-11-06T11:00:00Z,9999-01-01T00:00:00Z
RGAW,Deep Braced,None,2009-03-23T11:00:00Z,9999-01-01T00:00:00Z
RGCR,Deep Braced,None,2007-02-11T11:00:00Z,2011-08-28T12:00:00Z
RGHD,Short Braced,none,2012-01-31T11:00:00Z,9999-01-01T00:00:00Z
RGHL,Deep Braced,None,2008-12-02T11:00:00Z,9999-01-01T00:00:00Z
RGHR,Deep Braced,None,2007-02-06T11:00:00Z,9999-01-01T00:00:00Z
RGKA,Deep Braced,None,2006-03-31T12:00:00Z,9999-01-01T00:00:00Z
RGKW,Deep Braced,None,2008-11-27T11:00:00Z,9999-01-01T00:00:00Z
RGLI,Pillar,none,2005-11-14T11:00:00Z,9999-01-01T00:00:00Z
RGMK,Pillar,None,2004-10-05T11:00:00Z,9999-01-01T00:00:00Z
RGMT,Deep Braced,None,2007-10-29T11:00:00Z,9999-01-01T00:00:00Z
RGON,Deep Braced,None,2009-08-24T12:00:00Z,9999-01-01T00:00:00Z
RGOP,Deep Braced,None,2007-02-21T11:00:00Z,9999-01-01T00:00:00Z
RGRE,Deep Braced,None,2007-02-07T11:00:00Z,9999-01-01T00:00:00Z
RGRR,Deep Braced,None,2007-12-10T11:00:00Z,9999-01-01T00:00:00Z
RGTA,Deep Braced,None,2007-10-09T11:00:00Z,9999-01-01T00:00:00Z
RGUT,Pillar,none,2005-12-14T11:00:00Z,9999-01-01T00:00:00Z
RGWC,Short Braced,none,2014-01-28T11:00:00Z,9999-01-01T00:00:00Z
RGWI,Short Braced,none,2011-09-26T11:00:00Z,9999-01-01T00:00:00Z
RGWV,Deep Braced,None,2009-09-03T12:00:00Z,9999-01-01T00:00:00Z
RIPA,Pillar,None,2004-02-19T11:00:00Z,9999-01-01T00:00:00Z
SCTB,Pillar,None,2004-10-27T11:00:00Z,9999-01-01T00:00:00Z
SEDD,Unknown,None,2014-05-31T12:00:00Z,9999-01-01T00:00:00Z
SNST,Deep Braced,None,2008-12-31T11:00:00Z,9999-01-01T00:00:00Z
TAKL,Pillar,None,2001-07-10T12:00:00Z,2007-07-04T12:00:00Z
TAKP,Pillar,None,2004-01-13T11:00:00Z,9999-01-01T00:00:00Z
TAUP,Pillar,None,2002-03-21T12:00:00Z,9999-01-01T00:00:00Z
TAUW,Deep Braced,None,2008-12-31T11:00:00Z,9999-01-01T00:00:00Z
TEMA,Deep Braced,none,2007-02-11T11:00:00Z,9999-01-01T00:00:00Z
TENN,Unknown,None,2013-05-31T12:00:00Z,9999-01-01T00:00:00Z
TEST,Mast,none,2006-12-20T11:00:00Z,9999-01-01T00:00:00Z
TGHO,Mast,none,2008-12-21T11:00:00Z,9999-01-01T00:00:00Z
TGHR,Deep Braced,None,2006-04-10T12:00:00Z,9999-01-01T00:00:00Z
TGOH,Deep Braced,None,2006-03-31T12:00:00Z,9999-01-01T00:00:00Z
TGRA,Deep Braced,none,2006-04-02T12:00:00Z,9999-01-01T00:00:00Z
TGRI,Pillar,None,2011-04-03T12:00:00Z,9999-01-01T00:00:00Z
TGTK,Deep Braced,None,2006-03-31T12:00:00Z,9999-01-01T00:00:00Z
TGWH,Deep Braced,None,2007-02-05T11:00:00Z,9999-01-01T00:00:00Z
THAP,Deep Braced,None,2008-06-12T12:00:00Z,9999-01-01T00:00:00Z
TINT,Deep Braced,none,2006-04-04T12:00:00Z,9999-01-01T00:00:00Z
TKAR,Deep Braced,None,2010-06-02T12:00:00Z,9999-01-01T00:00:00Z
TKHL,Deep Braced,None,2014-05-19T12:00:00Z,9999-01-01T00:00:00Z
TORY,Pillar,None,2005-04-19T12:00:00Z,9999-01-01T00:00:00Z
TRAV,Pillar,None,2005-06-22T12:00:00Z,9999-01-01T00:00:00Z
TRNG,Pillar,None,2002-12-16T11:00:00Z,9999-01-01T00:00:00Z
TRWH,Deep Braced,None,2010-12-01T11:00:00Z,9999-01-01T00:00:00Z
TURI,Deep Braced,None,2011-08-11T12:00:00Z,9999-01-01T00:00:00Z
UNDR,Unknown,None,2013-05-31T12:00:00Z,9999-01-01T00:00:00Z
UTK1,Mast,none,2008-07-21T12:00:00Z,9999-01-01T00:00:00Z
UTK2,Mast,none,2008-07-21T12:00:00Z,9999-01-01T00:00:00Z
UTK3,Mast,none,2008-07-17T12:00:00Z,9999-01-01T00:00:00Z
UTK4,Mast,none,2008-07-16T12:00:00Z,9999-01-01T00:00:00Z
UTKU,Mast,none,2008-11-11T11:00:00Z,9999-01-01T00:00:00Z
V27B,Unknown,none,2011-03-08T11:00:00Z,9999-01-01T00:00:00Z
V47B,Unknown,none,2011-03-08T11:00:00Z,9999-01-01T00:00:00Z
VAVS,Mast,None,2000-09-19T12:00:00Z,9999-01-01T00:00:00Z
VEXA,Pillar,none,2000-02-02T11:00:00Z,9999-01-01T00:00:00Z
VGDR,Pillar,none,2004-03-31T12:00:00Z,9999-01-01T00:00:00Z
VGET,Short Braced,none,2014-03-03T11:00:00Z,9999-01-01T00:00:00Z
VGFW,Pillar,None,2004-03-21T12:00:00Z,9999-01-01T00:00:00Z
VGKR,Pillar,none,2004-12-06T11:00:00Z,9999-01-01T00:00:00Z
VGMO,Pillar,None,2005-03-30T12:00:00Z,9999-01-01T00:00:00Z
VGMT,Pillar,None,2005-01-31T11:00:00Z,9999-01-01T00:00:00Z
VGNG,Short Braced,none,2014-02-24T11:00:00Z,9999-01-01T00:00:00Z
VGOB,Pillar,None,2004-02-10T11:00:00Z,9999-01-01T00:00:00Z
VGOT,Pillar,none,2004-05-15T12:00:00Z,9999-01-01T00:00:00Z
VGPK,Pillar,None,2005-01-20T11:00:00Z,9999-01-01T00:00:00Z
VGT2,Unknown,none,2012-07-26T12:00:00Z,9999-01-01T00:00:00Z
