Station Code,Location Code,Datalogger Place,Offset,Length,Start Date,End Date
CHST,41,Charleston Constant Bay Q330s,1,1,2015-06-24T12:00:01Z,9999-01-01T00:00:00Z
CKHZ,10,Cape Kidnappers Q330,0,3,2007-08-28T15:00:00Z,9999-01-01T00:00:00Z
CLFO,10,Clifton Taurus,0,3,2014-03-14T09:02:00Z,2014-09-11T12:00:00Z
CMWS,20,Cape Campbell Strong Motion Q330s,0,3,2013-07-23T15:00:25Z,2013-11-18T21:00:00Z
CMWZ,10,Cape Campbell Q330,0,3,2003-12-10T06:00:02Z,9999-01-01T00:00:00Z
CMWZ,10,Cape Campbell Q330s,0,3,2013-07-23T15:00:01Z,2013-07-23T15:00:20Z
CNGZ,10,Carnagh Station Q330,0,3,2007-08-03T12:01:00Z,9999-01-01T00:00:00Z
CNGZ,10,Carnagh Station Taurus,0,3,2006-07-21T11:00:01Z,2006-08-16T17:00:00Z
CONO,10,Conical Hill Otago Taurus,0,3,2014-03-16T07:20:00Z,2014-09-11T12:00:00Z
COVZ,10,Chateau Observatory Borehole Q330,0,3,2009-11-01T10:31:00Z,2010-11-30T09:30:00Z
COVZ,10,Chateau Observatory Q330,3,3,2010-11-30T09:50:00Z,2013-05-23T12:00:00Z
COVZ,30,Chateau Observatory Q330,0,1,2007-03-08T11:01:00Z,2010-11-30T09:30:00Z
COVZ,30,Chateau Observatory Q330,3,1,2010-11-30T09:30:01Z,9999-01-01T00:00:00Z
CPIT,40,Castlepoint Tsunami Q330,0,1,2009-09-15T15:00:00Z,9999-01-01T00:00:00Z
CPIT,41,Castlepoint Tsunami Q330,1,1,2009-09-15T15:00:00Z,9999-01-01T00:00:00Z
CPWZ,10,Castlepoint Station Q330,0,3,2009-07-06T13:00:00Z,9999-01-01T00:00:00Z
CRLZ,10,Canterbury Ring Laser Q4120,3,3,2003-03-11T11:00:00Z,9999-01-01T00:00:00Z
CRLZ,20,Canterbury Ring Laser Q4120,0,3,2003-03-11T11:00:00Z,9999-01-01T00:00:00Z
CSCP,10,Craig's Peak Taurus,0,3,2013-07-22T12:00:10Z,2013-11-18T21:00:00Z
CSCS,20,Craig's Peak strong-motion Q330s,0,3,2013-07-22T12:00:10Z,2013-11-18T21:00:00Z
CSKK,10,Kekerengu Valley Road Q330s,0,3,2013-07-23T12:00:20Z,2013-11-18T21:00:00Z
CSOY,10,Oyster Bay Taurus,0,3,2013-07-22T15:00:25Z,2013-11-18T21:00:00Z
CSSR,10,South Renwick Taurus,0,3,2013-07-23T10:42:10Z,2013-11-18T21:00:00Z
CSWB,10,White Bluffs Taurus,0,3,2013-07-22T17:20:10Z,2013-11-18T21:00:00Z
CSWC,10,White Bluffs Solar Site with Comms Q330s,0,3,2013-07-23T17:05:00Z,2013-11-18T21:00:00Z
CSWS,20,White Bluffs strong-motion Q330s,0,3,2013-07-22T17:20:10Z,2013-11-18T21:00:00Z
CTND,10,Courtenay Taurus,0,3,2010-09-04T13:35:02Z,2010-09-28T11:00:00Z
CTZ,10,Wharekauri Q330hr,0,3,2007-12-14T18:00:00Z,9999-01-01T00:00:00Z
CTZ,20,Wharekauri Q330hr,3,3,2007-12-14T18:00:00Z,9999-01-01T00:00:00Z
CVZ,10,Cave West Timaru Q330s,0,3,2014-05-15T12:00:15Z,9999-01-01T00:00:00Z
DAGG,10,Dagg Sound Taurus,0,3,2009-07-16T14:08:00Z,2009-09-14T09:34:00Z
DCZ,10,Deep Cove Q330,3,3,2005-07-22T12:00:00Z,2015-10-21T11:00:00Z
DCZ,10,Deep Cove Q330s,0,3,2015-10-21T16:00:01Z,9999-01-01T00:00:00Z
DCZ,20,Deep Cove Q330,0,3,2005-07-22T12:00:00Z,2015-10-21T11:00:00Z
DCZ,20,Deep Cove Q330s,0,3,2015-10-21T16:00:01Z,9999-01-01T00:00:00Z
DKCV,10,Duck Cove Taurus,0,3,2009-07-16T10:47:00Z,2009-09-14T18:13:00Z
DREZ,10,Durham Road Q330,0,3,2008-03-04T08:00:00Z,9999-01-01T00:00:00Z
DRZ,10,Dome Shelter Q330,0,3,2004-06-15T11:00:00Z,9999-01-01T00:00:00Z
DSZ,10,Denniston North Q330,3,3,2009-05-12T15:30:01Z,9999-01-01T00:00:00Z
DSZ,10,Denniston North Q4120,3,3,1998-10-14T11:00:00Z,2009-05-12T15:29:00Z
DSZ,20,Denniston North Q330,0,3,2009-05-12T15:30:01Z,9999-01-01T00:00:00Z
DSZ,20,Denniston North Q4120,0,3,1998-10-14T11:00:00Z,2009-05-12T15:29:00Z
DUNX,10,Duncan Road Taurus,0,3,2006-07-23T13:00:01Z,2006-08-16T17:00:00Z
DUVC,10,Duvauchelle Taurus,0,3,2011-02-27T10:15:29Z,2011-10-18T11:22:44Z
DUWZ,10,D'Urville Island Q330,0,3,2003-12-09T11:00:00Z,2011-02-23T11:00:00Z
DUWZ,10,D'Urville Island Q330,3,3,2011-02-23T11:00:05Z,2012-02-28T12:30:00Z
DUWZ,10,D'Urville Island Q330,0,3,2012-02-28T13:01:00Z,9999-01-01T00:00:00Z
DUWZ,20,D'Urville Island Q330,0,3,2011-02-23T11:00:05Z,9999-01-01T00:00:00Z
DVHZ,10,Pukeatua Road Q330,0,3,2008-01-13T13:15:00Z,9999-01-01T00:00:00Z
EAZ,10,Earnscleugh Q330,3,3,2004-10-31T11:00:00Z,2014-11-03T11:00:00Z
EAZ,10,Earnscleugh Q330s,3,3,2014-11-03T11:02:00Z,9999-01-01T00:00:00Z
EAZ,20,Earnscleugh Q330,0,3,2004-10-31T11:00:00Z,2014-11-03T11:00:00Z
