Station Code,Location Code,Datalogger Place,Offset,Length,Start Date,End Date
MAHO,10,Mahinerangi Taurus,0,3,2014-03-13T11:01:00Z,2014-09-10T12:00:00Z
MANO,10,Manorburn Taurus,0,3,2014-09-15T12:01:00Z,2015-04-13T10:00:00Z
MARZ,10,Manawahe Q330,0,1,2005-11-22T11:00:00Z,9999-01-01T00:00:00Z
MAVZ,10,Matarangi Q330,0,3,2012-05-21T14:00:00Z,2015-01-08T11:00:00Z
MAVZ,10,Matarangi Q330,3,3,2015-01-08T11:00:01Z,9999-01-01T00:00:00Z
MAVZ,11,Matarangi Taurus,0,3,2008-02-06T12:30:00Z,2008-03-05T12:00:00Z
MAVZ,30,Matarangi Q330,3,1,2015-01-08T11:01:00Z,9999-01-01T00:00:00Z
MBAZ,10,Motutapu Island Q330,0,3,2012-10-08T10:30:00Z,9999-01-01T00:00:00Z
MCHD,10,Mitchells Taurus,0,3,2010-09-04T14:30:30Z,2010-09-28T11:00:00Z
MCHZ,10,McNeill Hill Q330,0,3,2008-05-26T12:02:00Z,9999-01-01T00:00:00Z
MED1,10,MED1 Orion,0,3,2005-01-17T09:26:00Z,2005-03-29T12:00:00Z
MED2,10,Pakarae Orion,0,3,2005-01-17T15:56:00Z,2005-03-29T12:00:00Z
MED3,10,Kaiaua Station Orion,0,3,2005-01-19T09:17:00Z,2005-03-30T12:00:00Z
MED4,10,Turihaua Station Orion,0,3,2005-02-23T15:51:00Z,2005-03-30T12:00:00Z
MHCZ,10,Mount Hutt Q330s,0,3,2013-05-12T16:00:00Z,9999-01-01T00:00:00Z
MHCZ,10,Mount Hutt Taurus,0,3,2013-05-12T16:00:00Z,2014-04-09T14:02:47Z
MHEZ,10,Otaraoa Road Q330,0,3,2008-03-03T12:00:00Z,9999-01-01T00:00:00Z
MHGZ,10,Okepuha Station Q330,0,3,2007-08-02T12:01:00Z,9999-01-01T00:00:00Z
MHGZ,10,Okepuha Station Taurus,0,3,2006-05-03T17:00:01Z,2007-01-31T11:00:00Z
MILO,10,Millers Flat Taurus,0,3,2014-03-11T11:30:00Z,2014-10-06T10:00:00Z
MKAZ,10,Moumoukai Q330,0,1,2007-05-06T13:00:01Z,9999-01-01T00:00:00Z
MKAZ,11,Moumoukai Orion,0,3,2002-08-29T12:20:00Z,2003-01-19T05:00:00Z
MKRZ,10,Makatiti Q330,0,3,2003-05-22T15:00:00Z,9999-01-01T00:00:00Z
MKYD,10,McKay Taurus,0,3,2010-09-04T17:31:00Z,2010-09-28T10:30:00Z
MLFO,10,Milford Taurus,0,3,2014-10-14T13:00:00Z,2015-04-09T16:00:00Z
MLZ,10,Hikuraki Station Q330,0,3,2014-03-24T11:00:01Z,9999-01-01T00:00:00Z
MLZ,10,Hikuraki Station Q4120,3,3,2003-09-07T12:00:00Z,2014-03-24T11:00:00Z
MLZ,20,Hikuraki Station Q4120,0,3,2003-09-07T12:00:00Z,2014-03-24T11:00:00Z
MNDO,10,Mandeville Taurus,0,3,2014-03-18T08:20:00Z,2014-09-13T12:00:00Z
MNKT,40,Whatipu Q330,0,1,2010-07-14T15:00:00Z,9999-01-01T00:00:00Z
MNKT,41,Whatipu Q330,1,1,2010-07-14T15:00:00Z,9999-01-01T00:00:00Z
MNSD,10,Miners Road Taurus,0,3,2010-09-05T10:10:02Z,2010-09-28T11:00:00Z
MOOO,10,Moonlight Taurus,0,3,2014-09-14T12:01:00Z,2015-04-14T17:00:00Z
MORO,10,Morrisons Taurus,0,3,2014-09-14T12:01:01Z,2015-04-12T10:00:00Z
MOTT,10,Mounds track Tongariro National Park 130,0,3,2008-02-13T01:01:00Z,2008-11-20T12:00:00Z
MOVZ,10,Moawhango Dam Q330,0,3,2004-06-01T00:00:00Z,9999-01-01T00:00:00Z
MQZ,10,Glencoe Station Q330,3,3,2009-08-05T16:00:00Z,9999-01-01T00:00:00Z
MQZ,10,Glencoe Station Q4120,3,3,1998-10-22T13:59:00Z,2009-08-02T12:00:00Z
MQZ,20,Glencoe Station Q330,0,3,2009-08-05T12:00:01Z,9999-01-01T00:00:00Z
MQZ,20,Glencoe Station Q4120,0,3,1998-10-13T11:00:00Z,2009-08-05T12:00:00Z
MRHZ,10,Matea Road Q330,0,3,2010-05-13T15:00:00Z,9999-01-01T00:00:00Z
MRNZ,10,Matariki (seismic) Terrace Road Q330s,0,3,2015-04-01T11:00:05Z,9999-01-01T00:00:00Z
MRVO,10,Morven Taurus,0,3,2014-10-12T14:10:00Z,2015-04-11T16:00:00Z
MRW,10,Makara Bunker Q330,0,3,2003-11-12T12:00:00Z,2008-06-16T16:40:00Z
MRWZ,10,Makara Bunker Q330,0,3,2008-04-15T10:05:00Z,2008-08-27T13:00:00Z
MRZ,10,Mangatainoka River Q330,0,3,2011-04-12T12:00:01Z,9999-01-01T00:00:00Z
MRZ,10,Mangatainoka River Q4120,3,3,2003-07-30T12:00:00Z,2011-04-12T12:00:00Z
MRZ,20,Mangatainoka River Q4120,0,3,2003-07-30T12:00:00Z,2011-04-12T12:00:00Z
MSHC,10,Marshland Taurus,0,3,2011-02-25T10:00:02Z,2011-10-18T13:22:44Z
MSWZ,10,Moikau Station Q330,0,3,2003-08-28T08:55:00Z,9999-01-01T00:00:00Z
MSZ,10,Milford Sound Q330,3,3,2005-07-19T08:00:00Z,9999-01-01T00:00:00Z
MSZ,20,Milford Sound Q330,0,3,2005-07-19T08:00:00Z,9999-01-01T00:00:00Z
MTAZ,10,Motutapu Island Q330,0,1,2007-06-24T15:00:01Z,2012-10-08T12:30:00Z
MTHZ,10,Maungataniwha Q330,0,3,2011-10-19T11:00:05Z,9999-01-01T00:00:00Z
MTVZ,10,Mangateitei Q330,0,3,2005-03-15T08:00:00Z,9999-01-01T00:00:00Z
MTW,10,Mount Morrison Q330,0,3,2003-06-16T19:55:00Z,9999-01-01T00:00:00Z
MUGZ,10,Murupara Q330,0,3,2011-03-28T11:01:00Z,9999-01-01T00:00:00Z
MWZ,10,Kiriroa Q330,3,3,2004-02-28T11:00:00Z,2011-08-18T00:00:00Z
MWZ,10,Kiriroa Q330,0,3,2011-08-18T00:00:01Z,9999-01-01T00:00:00Z
MWZ,20,Kiriroa Q330,0,3,2004-02-28T11:00:00Z,2011-08-18T00:00:00Z
MXZ,10,Matakaoa Point Q330,3,3,2004-02-28T11:00:00Z,2011-08-17T12:00:00Z
MXZ,10,Matakaoa Point Q330,0,3,2011-08-17T12:00:01Z,9999-01-01T00:00:00Z
MXZ,20,Matakaoa Point Q330,0,3,2004-02-28T11:00:00Z,2011-08-17T10:50:00Z
MYRZ,10,Mayor Island Q330,0,1,2006-02-12T11:00:01Z,9999-01-01T00:00:00Z
NAPT,40,Port of Napier Q330,0,1,2007-09-11T12:00:00Z,9999-01-01T00:00:00Z
NAPT,41,Port of Napier Q330,1,1,2007-09-11T12:00:00Z,9999-01-01T00:00:00Z
NBEZ,10,Newall Road Q330,0,3,2012-10-15T11:01:00Z,9999-01-01T00:00:00Z
NCPT,40,North Cape Q330,0,1,2008-12-09T17:10:01Z,2014-01-22T09:00:00Z
NCPT,40,North Cape Q330s,0,1,2014-01-22T11:00:01Z,9999-01-01T00:00:00Z
NCPT,41,North Cape Q330,1,1,2008-12-09T17:10:01Z,2014-01-22T09:00:00Z
NCPT,41,North Cape Q330s,1,1,2014-01-22T11:00:01Z,9999-01-01T00:00:00Z
NEZ,10,North Egmont Visitor Centre Q330,0,1,2010-01-25T07:00:01Z,2010-06-07T11:30:00Z
NEZ,10,North Egmont Visitor Centre Q330s,0,3,2014-03-19T11:01:00Z,2014-05-04T12:00:00Z
NEZ,11,North Egmont Visitor Centre Q330,0,3,2010-06-07T11:35:00Z,2013-12-03T12:00:00Z
NEZ,11,North Egmont Visitor Centre Q330s,0,3,2014-03-19T11:00:10Z,2014-05-04T12:01:00Z
NEZ,30,North Egmont Visitor Centre Q330s,3,1,2014-03-20T11:00:02Z,9999-01-01T00:00:00Z
NGA2,10,Mount Ngauruhoe 2006 Portable NGA2 130,0,3,2006-06-07T13:00:00Z,2006-10-31T09:00:00Z
NGA3,10,Mount Ngauruhoe 2006 Portable NGA3 130,0,3,2006-06-07T11:30:00Z,2006-10-31T09:00:00Z
NGA4,10,Mount Ngauruhoe 2008 Portable NGA4 130,0,3,2008-01-15T08:15:00Z,2008-02-06T12:00:00Z
NGA5,10,Mount Ngauruhoe 2008 Portable NGA5 130,0,3,2008-01-15T08:15:00Z,2008-02-06T12:00:00Z
NGA6,10,Mount Ngauruhoe 2008 Portable NGA6 130,0,3,2008-01-15T08:15:00Z,2008-02-06T12:00:00Z
NGRZ,10,Ngongotaha Q330,0,3,2011-10-25T11:15:00Z,9999-01-01T00:00:00Z
NGRZ,10,Ngongotaha Taurus,0,3,2011-05-10T12:05:00Z,2011-05-10T13:00:00Z
NGZ,10,Ngauruhoe Seismic Station Q330,0,3,2004-03-04T10:00:00Z,2014-02-24T11:03:10Z
NGZ,10,Ngauruhoe Seismic Station Q330s,0,3,2014-02-24T11:00:01Z,9999-01-01T00:00:00Z
NMEZ,10,Namu Road Q330,0,3,2009-04-01T15:00:00Z,9999-01-01T00:00:00Z
NMHZ,10,Naumai Q330,0,3,2008-02-12T14:01:00Z,2013-07-29T12:00:00Z
NMHZ,10,Naumai Q330s,0,3,2013-07-29T12:00:01Z,9999-01-01T00:00:00Z
NNVZ,10,North Ngauruhoe Q330s,0,3,2015-03-26T14:00:00Z,9999-01-01T00:00:00Z
NNZ,10,Logan Vale Farm Q330,3,3,2010-06-09T11:30:01Z,2012-01-05T10:00:00Z
NNZ,10,Logan Vale Farm Q330,0,3,2012-01-05T10:10:00Z,9999-01-01T00:00:00Z
NNZ,10,Logan Vale Farm Q4120,3,3,2003-08-11T12:00:00Z,2010-06-09T11:00:00Z
NNZ,20,Logan Vale Farm Q330,0,3,2010-06-09T11:30:01Z,2012-01-05T10:00:00Z
NNZ,20,Logan Vale Farm Q4120,0,3,2003-08-11T12:00:00Z,2010-06-09T11:00:00Z
NS01,10,MRP Ngatamariki Seismic 01 Taurus,0,3,2013-01-31T11:10:00Z,9999-01-01T00:00:00Z
NS02,10,MRP Ngatamariki Seismic 02 Taurus,0,3,2012-05-16T11:21:00Z,2015-01-26T11:00:00Z
NS03,10,MRP Ngatamariki Seismic 03 Taurus,0,3,2012-05-16T09:50:00Z,9999-01-01T00:00:00Z
NS04,10,MRP Ngatamariki Seismic 04 Taurus,0,3,2012-05-15T11:01:00Z,9999-01-01T00:00:00Z
NS05,10,MRP Ngatamariki Seismic 05 Taurus,0,3,2012-10-30T11:00:10Z,2014-08-20T12:00:00Z
NS06,10,MRP Ngatamariki Seismic 06 Taurus,0,3,2012-05-15T10:02:00Z,2012-10-31T11:00:00Z
NS07,10,MRP Ngatamariki Seismic 07 Taurus,0,3,2012-05-15T12:01:00Z,9999-01-01T00:00:00Z
NS08,10,MRP Ngatamariki Seismic 08 Taurus,0,3,2012-05-16T10:29:00Z,2015-04-22T12:00:00Z
NS09,10,MRP Ngatamariki Seismic 09 Taurus,0,3,2012-05-15T09:01:00Z,2015-04-22T12:00:00Z
NS10,10,MRP Ngatamariki Seismic 10 Taurus,0,3,2012-10-31T11:00:25Z,2014-06-30T12:00:00Z
NS11,10,MRP Ngatamariki Seismic 11 Taurus,0,3,2012-10-31T11:00:25Z,9999-01-01T00:00:00Z
NS12,10,MRP Ngatamariki Seismic 12 Taurus,0,3,2013-01-31T12:00:00Z,9999-01-01T00:00:00Z
NS13,10,MRP Ngatamariki Seismic 13 Taurus,0,3,2013-02-11T11:45:00Z,9999-01-01T00:00:00Z
NS14,10,MRP Ngatamariki Seismic 14 Taurus,0,3,2013-02-28T11:00:01Z,9999-01-01T00:00:00Z
NS15,10,MRP Ngatamariki Seismic 15 Taurus,0,3,2015-04-30T12:01:00Z,9999-01-01T00:00:00Z
NS16,10,MRP Ngatamariki Seismic 16 Taurus,0,3,2015-04-30T12:02:00Z,9999-01-01T00:00:00Z
NS18,10,MRP Ngatamariki Seismic 18 Taurus,0,3,2015-04-23T13:00:00Z,9999-01-01T00:00:00Z
NTVZ,10,North Tongariro Q330,0,3,2014-11-06T11:45:00Z,9999-01-01T00:00:00Z
NWEZ,10,Newall Road Q330,0,1,2008-01-22T06:00:01Z,2012-10-15T11:00:00Z
ODZ,10,Otahua Downs Q330hr,0,3,2008-07-07T12:00:03Z,9999-01-01T00:00:00Z
ODZ,10,Otahua Downs Q4120,3,3,2003-09-10T18:00:00Z,2008-07-07T12:00:00Z
ODZ,20,Otahua Downs Q330hr,3,3,2008-07-07T12:00:03Z,9999-01-01T00:00:00Z
ODZ,20,Otahua Downs Q4120,0,3,2003-09-10T18:00:00Z,2008-07-07T12:00:00Z
OGWZ,10,Otaki Gorge Q330,0,3,2007-09-23T13:15:00Z,9999-01-01T00:00:00Z
OHWZ,10,Ohakea Q330,0,3,2011-03-28T11:00:02Z,9999-01-01T00:00:00Z
OKCZ,10,Okains Bay Q330,0,3,2012-02-29T11:00:00Z,9999-01-01T00:00:00Z
OKUC,10,Okuti Valley Road Taurus,0,3,2011-02-27T11:27:48Z,2012-02-29T11:00:00Z
OMRZ,10,Omania Q330,0,3,2007-04-03T13:00:00Z,9999-01-01T00:00:00Z
OPRZ,10,Ohinepanea Seismic Q330,0,3,2006-11-13T12:00:00Z,9999-01-01T00:00:00Z
OPUO,10,Opuha Taurus,0,3,2014-10-14T10:05:00Z,2015-04-09T14:30:00Z
OPZ,10,"Highcliff Hill, Dunedin Q330",3,3,2008-06-26T13:30:00Z,9999-01-01T00:00:00Z
OPZ,20,"Highcliff Hill, Dunedin Q330",0,3,2008-06-26T13:30:00Z,9999-01-01T00:00:00Z
OTAT,40,Dunedin Tsunami Q330,0,1,2010-02-24T12:00:01Z,9999-01-01T00:00:00Z
OTAT,41,Dunedin Tsunami Q330,1,1,2010-02-24T12:00:01Z,9999-01-01T00:00:00Z
OTKO,10,Otekaieke Taurus,0,3,2014-09-17T13:00:00Z,2015-04-10T17:00:00Z
OTVZ,10,Oturere Q330,0,3,2004-11-17T15:00:00Z,2013-10-01T09:00:00Z
OTVZ,10,Oturere Q330s,3,3,2013-10-01T09:00:01Z,9999-01-01T00:00:00Z
OUZ,10,Omahuta Orion,0,3,2002-08-29T20:00:00Z,2003-01-20T06:15:00Z
OUZ,10,Omahuta Q330hr,0,3,2010-02-23T11:00:01Z,9999-01-01T00:00:00Z
OUZ,10,Omahuta Q4120,3,3,2003-08-25T17:00:00Z,2010-02-23T11:00:00Z
OUZ,20,Omahuta Q330hr,3,3,2010-02-23T11:00:01Z,9999-01-01T00:00:00Z
OUZ,20,Omahuta Q4120,0,3,2003-08-25T17:00:00Z,2010-02-23T11:00:00Z
OWKO,10,Owaka Taurus,0,3,2014-03-17T07:05:00Z,2014-09-10T17:00:00Z
OWQX,10,Owhiro Bay Q330s,0,3,2014-11-02T11:05:00Z,9999-01-01T00:00:00Z
OWQX,20,Owhiro Bay Q330s,0,3,2014-11-02T11:05:00Z,9999-01-01T00:00:00Z
OXZ,10,View Hill Q330,3,3,2009-03-13T11:00:02Z,2014-10-29T11:00:00Z
OXZ,10,View Hill Q330s,0,3,2014-10-29T11:10:00Z,9999-01-01T00:00:00Z
OXZ,20,View Hill Q330,0,3,2009-03-13T11:00:02Z,2014-10-29T11:00:00Z
PATO,10,Patearoa Taurus,0,3,2014-09-18T10:00:00Z,2015-04-12T13:00:00Z
PAWZ,10,Paruwai Farm Q330,0,3,2004-07-13T12:00:00Z,9999-01-01T00:00:00Z
PKE,10,Pukeiti Hill Q330,0,3,2003-10-28T03:00:00Z,9999-01-01T00:00:00Z
PKGZ,10,Pakihiroa Q330,0,3,2010-06-21T12:00:00Z,2014-11-24T11:00:00Z
PKGZ,10,Pakihiroa Q330s,0,3,2014-11-24T11:05:01Z,9999-01-01T00:00:00Z
PKVZ,10,Pokaka Q330,0,3,2005-03-15T08:00:00Z,9999-01-01T00:00:00Z
PLWZ,10,Kawakawa Station Q330,0,3,2007-04-17T12:00:02Z,9999-01-01T00:00:00Z
PNHZ,10,Pukenui Q330,0,3,2008-02-18T11:10:00Z,9999-01-01T00:00:00Z
POHC,10,Pohokura Orion,0,3,2001-01-12T15:01:00Z,2001-06-26T03:55:00Z
POIC,10,Poihipi Orion,0,3,2000-12-31T18:11:00Z,2001-02-24T10:00:00Z
POIZ,10,Poihipi Q330,0,3,2005-07-04T13:00:00Z,9999-01-01T00:00:00Z
POWZ,10,Post Office Road Q330,0,3,2008-04-22T12:05:00Z,9999-01-01T00:00:00Z
PREZ,10,Palmer Road Q330,0,3,2010-02-22T11:00:01Z,2014-05-13T12:00:00Z
PREZ,10,Palmer Road Q330s,0,3,2014-05-13T12:00:01Z,9999-01-01T00:00:00Z
PREZ,31,Palmer Road Q330s,3,1,2014-05-13T12:01:00Z,9999-01-01T00:00:00Z
PREZ,32,Palmer Road Q330s,4,1,2014-05-13T12:01:00Z,9999-01-01T00:00:00Z
PREZ,33,Palmer Road Q330s,5,1,2014-05-13T12:01:00Z,9999-01-01T00:00:00Z
PRGZ,10,Paritu Road Q330,0,3,2007-08-01T12:01:00Z,9999-01-01T00:00:00Z
PRGZ,10,Paritu Road Taurus,0,3,2006-07-22T16:00:01Z,2006-08-16T17:00:00Z
PRHZ,10,Porangahau Q330,0,3,2008-01-14T12:15:00Z,9999-01-01T00:00:00Z
PRKO,10,Park Hill Taurus,0,3,2014-03-11T13:10:00Z,2014-09-10T12:00:00Z
PRRZ,10,Plateau Road Q330,0,3,2007-11-12T11:00:00Z,9999-01-01T00:00:00Z
PRWZ,10,Pori Road Q330,0,3,2008-11-02T12:10:00Z,9999-01-01T00:00:00Z
PURC,10,Purau Taurus,0,3,2011-02-26T13:13:27Z,2011-10-18T12:22:44Z
PUYT,40,Puysegur Welcome Bay Q330,0,1,2009-11-27T11:00:00Z,2014-02-24T11:00:00Z
PUYT,40,Puysegur Welcome Bay Q330s,0,1,2014-02-24T11:00:01Z,9999-01-01T00:00:00Z
PUYT,41,Puysegur Welcome Bay Q330,1,1,2009-11-27T11:00:00Z,2014-02-24T11:00:00Z
PUYT,41,Puysegur Welcome Bay Q330s,1,1,2014-02-24T11:00:01Z,9999-01-01T00:00:00Z
PUZ,10,Puketiti Q330,0,3,2013-08-06T12:00:01Z,9999-01-01T00:00:00Z
PUZ,10,Puketiti Q4120,3,3,2003-08-19T12:00:00Z,2013-08-06T12:00:00Z
PUZ,20,Puketiti Q4120,0,3,2003-08-19T12:00:00Z,2013-08-06T12:00:00Z
PWZ,10,Pawanui Q4120,3,3,2001-03-21T17:52:00Z,2005-08-14T18:00:00Z
PWZ,20,Pawanui Q4120,0,3,2001-03-20T12:00:00Z,2005-08-14T18:00:00Z
PXZ,10,Pawanui Q330,3,3,2005-08-21T12:00:00Z,9999-01-01T00:00:00Z
PXZ,20,Pawanui Q330,0,3,2005-08-21T12:00:00Z,9999-01-01T00:00:00Z
PYZ,10,Puysegur Point Q330,3,3,2007-04-30T13:00:00Z,9999-01-01T00:00:00Z
PYZ,20,Puysegur Point Q330,0,3,2007-04-30T13:00:00Z,9999-01-01T00:00:00Z
QRZ,10,Quartz Range Q330hr,0,3,2009-08-12T11:01:01Z,9999-01-01T00:00:00Z
QRZ,10,Quartz Range Q4120,3,3,2003-08-05T12:00:00Z,2009-08-12T11:00:00Z
QRZ,20,Quartz Range Q330hr,3,3,2009-08-12T11:01:01Z,9999-01-01T00:00:00Z
QRZ,20,Quartz Range Q4120,0,3,2003-08-05T12:00:00Z,2009-08-12T11:00:00Z
RACZ,10,Rakaia Q330,0,3,2012-06-26T18:45:00Z,9999-01-01T00:00:00Z
RACZ,10,Rakaia Taurus,0,3,2012-06-26T18:45:00Z,2014-03-10T10:30:00Z
RAGZ,10,Rawiri Station Q330,0,3,2009-06-09T15:30:05Z,9999-01-01T00:00:00Z
RAHZ,10,Arahi Q330,0,3,2008-05-13T18:05:00Z,9999-01-01T00:00:00Z
RATZ,10,Rangitukua Reserve Q330,0,3,2003-03-24T15:00:00Z,9999-01-01T00:00:00Z
RBCT,40,Raoul Island Boat Cove Q330,0,1,2009-05-17T12:00:04Z,9999-01-01T00:00:00Z
RBCT,41,Raoul Island Boat Cove Q330,1,1,2009-05-17T12:00:04Z,9999-01-01T00:00:00Z
RCBS,20,Redcliffs Borehole Basalt,0,3,2013-01-28T12:00:01Z,9999-01-01T00:00:00Z
RCBS,21,Redcliffs Borehole Basalt,3,3,2013-01-28T12:00:00Z,9999-01-01T00:00:00Z
RCHC,10,Richmond Hill Taurus,0,3,2011-02-25T15:30:43Z,2011-10-18T09:22:44Z
RF1R,10,East Paeroa Orion,0,3,2004-03-22T11:59:00Z,2005-01-31T11:00:00Z
RF2R,10,Mangatete Road Orion,0,3,2004-03-23T12:10:00Z,2005-01-31T11:00:00Z
RF3R,10,Lake Ohakuri Orion,0,3,2004-03-18T10:17:00Z,2005-01-19T09:00:00Z
RF4R,10,Totara Road Orion,0,3,2004-03-18T14:04:00Z,2004-12-21T11:00:00Z
RF5R,10,Parsons Road Orion,0,3,2004-03-11T13:54:00Z,2005-01-31T11:00:00Z
RF6R,10,Tahunaatara Stream Orion,0,3,2004-03-23T16:24:00Z,2004-12-22T10:00:00Z
RF7R,10,Short Road Orion,0,3,2004-07-27T12:00:01Z,2005-04-03T12:00:00Z
RFRT,40,Raoul Island Fishing Rock Q330,0,1,2009-05-17T12:00:04Z,9999-01-01T00:00:00Z
RFRT,41,Raoul Island Fishing Rock Q330,1,1,2009-05-17T12:00:04Z,9999-01-01T00:00:00Z
RHBS,20,Richmond Hill Borehole Basalt,0,3,2013-01-29T12:00:00Z,2015-09-21T12:30:00Z
RHBS,21,Richmond Hill Borehole Basalt,3,3,2013-01-29T11:00:01Z,2015-09-21T12:30:05Z
RHOC,10,Rhodes Road Taurus,0,3,2011-02-26T17:11:45Z,2011-02-27T11:27:46Z
RIGZ,10,Rimuhau Hill Q330,0,3,2009-06-08T11:00:05Z,9999-01-01T00:00:00Z
RITZ,10,Rihia Road Q330,0,1,2003-04-03T22:00:01Z,9999-01-01T00:00:00Z
RIVH,10,Lathrope Road Taurus,0,3,2006-11-22T14:22:01Z,2007-05-13T12:00:00Z
RIVO,10,Riverton Taurus,0,3,2014-03-19T08:30:00Z,2014-09-12T12:00:00Z
RIZ,10,Raoul Island Met Station Q330,3,3,2009-05-17T12:01:00Z,9999-01-01T00:00:00Z
RIZ,20,Raoul Island Met Station Q330,0,3,2009-05-17T13:00:00Z,9999-01-01T00:00:00Z
RONF,10,South of Lake Ronald Taurus,0,3,2007-10-17T14:20:02Z,2007-11-27T09:00:00Z
ROXO,10,Roxburgh Taurus,0,3,2014-03-11T09:25:00Z,2014-10-06T09:00:00Z
RPZ,10,Rata Peaks Q330hrs,0,3,2015-10-14T18:00:01Z,9999-01-01T00:00:00Z
RPZ,10,Rata Peaks Q4120,3,3,2001-06-05T12:00:00Z,2015-10-14T10:00:00Z
RPZ,20,Rata Peaks Q4120,0,3,2001-06-05T12:00:00Z,2015-10-14T10:00:00Z
RRRZ,10,Republican Road Q330,0,3,2007-12-10T12:00:00Z,9999-01-01T00:00:00Z
RT01,10,MRP Rotokawa 01 Taurus,0,3,2008-07-02T09:40:00Z,9999-01-01T00:00:00Z
RT02,10,MRP Rotokawa 02 Taurus,0,3,2008-07-02T09:27:01Z,2012-10-28T11:00:00Z
RT03,10,MRP Rotokawa 03 Taurus,0,3,2008-07-02T14:58:22Z,2009-08-13T12:00:00Z
RT05,10,MRP Rotokawa 05 Taurus,0,3,2008-07-02T10:31:00Z,9999-01-01T00:00:00Z
RT06,10,MRP Rotokawa 06 Taurus,0,3,2008-07-02T14:58:22Z,2012-10-28T11:00:00Z
RT07,10,MRP Rotokawa 07 Taurus,0,3,2008-07-02T10:54:02Z,2013-03-14T10:00:00Z
RT08,10,MRP Rotokawa 08 Taurus,0,3,2008-07-02T12:30:00Z,2012-10-28T11:00:00Z
RT09,10,MRP Rotokawa 09 Taurus,0,3,2008-10-29T12:01:01Z,2012-10-28T11:00:00Z
RT10,10,MRP Rotokawa 10 Taurus,0,3,2008-10-29T11:01:01Z,2009-06-21T12:00:00Z
RT11,10,MRP Rotokawa 11 Taurus,0,3,2009-03-12T11:00:01Z,2015-06-23T12:00:00Z
RT12,10,MRP Rotokawa 12 Taurus,0,3,2011-05-28T12:00:10Z,9999-01-01T00:00:00Z
RT13,10,MRP Rotokawa 13 Taurus,0,3,2012-10-28T11:00:25Z,2015-03-25T13:02:51Z
RT14,10,MRP Rotokawa 14 Taurus,0,3,2012-10-28T11:00:25Z,9999-01-01T00:00:00Z
RT15,10,MRP Rotokawa 15 Taurus,0,3,2012-10-31T11:00:20Z,2013-03-14T10:00:00Z
RT16,10,MRP Rotokawa 16 Taurus,0,3,2012-10-31T11:00:20Z,2013-03-14T10:00:00Z
RT17,10,MRP Rotokawa 17 Taurus,0,3,2012-10-31T11:00:20Z,9999-01-01T00:00:00Z
RT18,10,MRP Rotokawa 18 Taurus,0,3,2013-03-14T10:02:00Z,9999-01-01T00:00:00Z
RT19,10,MRP Rotokawa 19 Taurus,0,3,2013-03-14T10:02:00Z,9999-01-01T00:00:00Z
RT20,10,MRP Rotokawa 20 Taurus,0,3,2013-03-14T10:02:00Z,2013-08-27T12:00:00Z
RT21,10,MRP Rotokawa 21 Taurus,0,3,2013-08-27T14:00:00Z,9999-01-01T00:00:00Z
RT22,10,MRP Rotokawa 22 Taurus,0,3,2015-06-24T11:06:00Z,9999-01-01T00:00:00Z
RT23,10,MRP Rotokawa 23 Taurus,0,3,2015-06-24T12:32:00Z,9999-01-01T00:00:00Z
RTKC,10,Rangitaiki Orion,0,3,2001-01-11T11:00:01Z,2001-06-26T03:50:00Z
RTZ,10,Ruatahuna Q330,0,3,2011-05-04T12:05:00Z,9999-01-01T00:00:00Z
RUGF,10,Rugged Mountain Taurus,0,3,2007-10-17T10:59:02Z,2007-11-27T09:00:00Z
RUGZ,10,Raukumara Range Q330,0,3,2011-05-18T15:00:00Z,9999-01-01T00:00:00Z
RVAZ,10,Lathrope Road Q330,0,3,2008-04-01T12:00:00Z,9999-01-01T00:00:00Z
RVAZ,10,Lathrope Road Q330s,0,3,2014-05-18T12:00:01Z,2014-09-10T12:00:00Z
SAND,10,Sandy Knolls Taurus,0,3,2010-09-04T18:54:02Z,2010-09-28T11:00:00Z
SCHC,10,Scheres Farm Orion,0,3,2001-01-16T20:59:00Z,2001-06-27T08:55:00Z
SKTD,10,Skate Taurus,0,3,2010-09-04T16:01:00Z,2010-09-28T10:59:00Z
SM01,10,MRP Mokai 01 Taurus,0,3,2013-06-12T11:04:00Z,2013-10-03T09:49:00Z
SM02,10,MRP Mokai 02 Taurus,0,3,2013-06-11T12:10:00Z,9999-01-01T00:00:00Z
SM03,10,MRP Mokai 03 Taurus,0,3,2013-06-11T12:33:00Z,2013-07-18T12:00:00Z
SM04,10,MRP Mokai 04 Taurus,0,3,2013-06-12T10:09:00Z,9999-01-01T00:00:00Z
SM05,10,MRP Mokai 05 Taurus,0,3,2013-06-12T11:02:00Z,9999-01-01T00:00:00Z
SM06,10,MRP Mokai 06 Taurus,0,3,2013-06-11T13:55:00Z,9999-01-01T00:00:00Z
SM07,10,MRP Mokai 07 Taurus,0,3,2013-06-12T10:55:00Z,9999-01-01T00:00:00Z
SM08,10,MRP Mokai 08 Taurus,0,3,2013-06-11T10:41:00Z,2014-08-24T15:57:00Z
SM09,10,MRP Mokai 09 Taurus,0,3,2013-06-11T11:28:00Z,2013-10-03T07:30:00Z
SM10,10,MRP Mokai 10 Taurus,0,3,2013-06-12T09:44:00Z,9999-01-01T00:00:00Z
