Receiver Make,Receiver Model,Serial Number,Deployment Place,Installation Date,Removal Date
AllenOsborneAssociatesInc,Rogue SNR-8000,132,Whangaparaoa Navy Base,1995-05-30T12:00:00Z,2001-10-27T11:00:00Z
AllenOsborneAssociatesInc,Rogue SNR-8000,133,Gracefield GeoNet Undeployed Equipment Store,1994-12-31T11:00:00Z,1995-01-02T11:00:00Z
AllenOsborneAssociatesInc,Rogue SNR-8000,133,Gracefield GeoNet Undeployed Equipment Store,1994-12-31T11:00:00Z,1995-01-02T11:00:00Z
AllenOsborneAssociatesInc,Rogue SNR-8000,133,Chatham Island,1995-01-02T11:00:01Z,2001-11-28T11:00:00Z
