Station,Location,Band,Source,Sampling Rate,Axial,Triggered,Start Date,End Date
NZC,40,U,T,-15,false,false,2019-12-12T18:00:00Z,2021-12-10T01:00:00Z
NZC,41,W,T,-900,false,false,2021-12-11T00:00:00Z,2023-12-08T00:00:00Z
NZC,41,U,T,-15,false,false,2021-12-11T00:00:00Z,2023-12-08T00:00:00Z
NZD,40,W,T,-900,false,false,2021-07-23T00:00:00Z,2023-06-11T18:00:00Z
NZD,40,U,T,-15,false,false,2021-07-23T00:00:00Z,2023-06-11T18:00:00Z
NZD,41,W,T,-900,false,false,2023-06-13T21:15:00Z,9999-01-01T00:00:00Z
NZD,41,U,T,-15,false,false,2023-06-13T21:15:00Z,9999-01-01T00:00:00Z
NZE,40,W,T,-900,false,false,2019-12-18T17:00:00Z,2021-12-11T23:59:59Z
NZE,40,U,T,-15,false,false,2019-12-18T17:00:00Z,2021-12-11T23:59:59Z
NZE,41,W,T,-900,false,false,2021-12-14T00:00:00Z,2023-12-09T23:00:00Z
NZE,41,U,T,-15,false,false,2021-12-14T00:00:00Z,2023-12-09T23:00:00Z
NZF,40,W,T,-900,false,false,2019-12-17T00:00:00Z,2020-03-25T00:00:00Z
NZF,40,U,T,-15,false,false,2019-12-17T00:00:00Z,2020-03-25T00:00:00Z
NZF,41,W,T,-900,false,false,2020-08-31T23:10:15Z,2020-09-26T09:00:00Z
NZF,41,W,T,-900,false,false,2021-07-20T23:15:00Z,2022-08-10T00:59:45Z
NZF,41,U,T,-15,false,false,2020-08-31T23:10:15Z,2020-09-26T09:00:00Z
NZF,41,U,T,-15,false,false,2021-07-20T23:15:00Z,2022-08-10T00:59:45Z
NZG,40,W,T,-900,false,false,2020-09-10T22:57:30Z,2022-07-29T18:02:45Z
NZG,40,U,T,-15,false,false,2020-09-10T22:57:30Z,2022-07-29T18:02:45Z
NZG,41,W,T,-900,false,false,2022-07-30T20:15:00Z,9999-01-01T00:00:00Z
NZG,41,U,T,-15,false,false,2022-07-30T20:15:00Z,9999-01-01T00:00:00Z
NZH,40,W,T,-900,false,false,2020-09-03T22:24:30Z,2022-08-01T00:12:30Z
NZH,40,U,T,-15,false,false,2020-09-03T22:24:30Z,2022-08-01T00:12:30Z
NZH,41,W,T,-900,false,false,2022-08-01T20:15:00Z,9999-01-01T00:00:00Z
NZH,41,U,T,-15,false,false,2022-08-01T20:15:00Z,9999-01-01T00:00:00Z
NZI,40,W,T,-900,false,false,2020-09-08T03:15:45Z,2022-08-02T21:59:30Z
NZI,40,U,T,-15,false,false,2020-09-08T03:15:45Z,2022-08-02T21:59:30Z
NZI,41,W,T,-900,false,false,2022-08-03T21:15:00Z,9999-01-01T00:00:00Z
NZI,41,U,T,-15,false,false,2022-08-03T21:15:00Z,9999-01-01T00:00:00Z
NZJ,40,W,T,-900,false,false,2021-07-09T00:00:00Z,2023-05-28T18:00:00Z
NZJ,40,U,T,-15,false,false,2021-07-09T00:00:00Z,2023-05-28T18:00:00Z
NZJ,41,W,T,-900,false,false,2023-05-29T22:15:00Z,9999-01-01T00:00:00Z
NZJ,41,U,T,-15,false,false,2023-05-29T22:15:00Z,9999-01-01T00:00:00Z
NZK,40,W,T,-900,false,false,2021-07-15T00:00:00Z,2023-06-06T00:00:00Z
NZK,40,U,T,-15,false,false,2021-07-15T00:00:00Z,2023-06-06T00:00:00Z
NZK,41,W,T,-900,false,false,2023-06-06T21:00:00Z,9999-01-01T00:00:00Z
NZK,41,U,T,-15,false,false,2023-06-06T21:00:00Z,9999-01-01T00:00:00Z
NZL,40,W,T,-900,false,false,2021-07-12T00:00:00Z,2023-06-03T00:00:00Z
