Station,Layer,", Material  (Description)",", Overburden (Strength)",", Thickness ((m))",", Thickness (Notes)",", Notes ()",", References ()",", Bulk Dens ((t/m3))",", Bulk Dens (Notes)",", SPT(N) ()",", SPT(N) (Notes)",", Vs ((m/s))",", Vs (Notes)"
TPPS,2,silt,firm,4.5,,firm to stiff lake silts (Taupo alluvium),,,,,,,
TPPS,3,sand/silt,stiff,250,,Huka formation-effective bedrock in part,,,,,,,
TRCS,1,clay,stiff,12.5,,,,,,,,,
TRCS,2,basalt,hard,12,,Timaru basalt,,,,,,,
TRCS,3,gravel,,,?,red brown gravel,,,,,,,
TSFS,1,,,0,,,,,,,,,
TSZ,1,,,0,,,,,,,,,
TTHS,1,"sand,gravel",dense,5,+,medium dense-dense,,,,,,,
TUDS,1,"silt, gravel",medium dense,7,5 to 10,,,,,,,,
TUHS,1,gravel & sand,loose,5,?,Taupo Alluvium (pumice gravel & sand),,,,,,,
TUZ,1,,,0,,,,,,,,,
TWAS,1,"sand,silt, gravel",medium dense,,?,medium dense-dense glacial till and outwash gravels,,,,,,,
UHCS,1,gravel with sand & silty sand.,medium dense,50,,,,,,,,,
UHCS,2,"Layers of clay, peaty clay & sand",firm,15,,firm-stiff,,,,,,,
UHCS,3,gravel,dense,10,,,,,,,,,
URZ (old),1,,,0,,,,,,,,,
URZ,1,,,0,,,,,,,,,
VRZ,1,,,0,,,,,,,,,
WAIS,1,sand/ silt & gravel,medium dense,,?,firm/ dense pumice alluvium (Taupo Pumice Alluvium),,,,,,,
WAKC,1,clayey sily-clay/ sand-gravel,firm,,?,"firm/ medium dense alluvium & slope deposits from marl, calcareous & glauonitic sandstones & limestones",,,,,,,
WAKS,1,silt / gravel,,,?,"alluvium (sand, gravel, silt)",,,,,,,
WBCS,1,silt/clay & peat,soft,5,3-6,,,,,,,,
WBCS,2,gravel & sand,dense,100,>,dense to very dense river gravel & sand,,,,,,,
WBFS,1,silt/sand,soft,20,?,very soft to soft mudstone colluvium or slide debris,,,,,,,60 (0-2m) 100 (2-10m) 300 (10-20m)
WBHS,1,,,0,,,,,,,,,
WCDS,1,sand,medium dense,12,,loose-medium dense,,,,,27-60,,
WCDS,2,silt,firm,3,,soft-firm,,,,,14-43,,
WCDS,3,silty sand,dense,5,,,,,,,25-43,,
WCDS,4,silt,firm,5,,soft-stiff,,,,,17-50,,
WCDS,5,sand,dense,4,,,,,,,,,
WCDS,6,gravel,dense,6,,,,,,,,,
WDAS,1,"silt, clay",very soft,13,,alluvial fine sediments/swamp (A),,,,,,90,
WDAS,2,clay/silt,very soft,16.5,,"lake muds (B), almost liquid",,,,,,150,
WDAS,3,clay/silt,firm,9.5,,soft to firm alluvium and swamp deposits,,,,,,150,
WDAS,4,sand & gravel,medium dense,11,,firm/ medium dense alluvial sand & gravel,,,,,,200,
WDAS,5,"silt, gravel",very stiff,11.5,,very stiff/ dense colluvium/ alluvium (boulders at base),,,,,,300,
WDFS,1,clay & gravel,very stiff,20,,,,,,,,,
WDPS,1,clayey gravel,medium dense,10,,"gravel, claybound gravel, clay",,,,,,,
WDPS,2,clay,stiff,6,,,,,,,,,
WDPS,3,gravel with some clay,dense,14,,,,,,,,,
WDPS,4,"peat, clay, gravel",dense,70,?,"stiff/ dense peat, clay, gravel, claybound gravel",,,,,,,
WEMS,1,silty gravel,medium dense,3,?,,,,,,,,
WEMS,2,sandy silty gravel,loose,6,5 to 8,loose - medium dense Holocene sandy silty gravel,,,,,,,
WEMS,3,sandy silty gravel ,dense,110,c,,,,,,,,
WHZ,1,,,0,,,,,,,,,
WICS,1,slit/ clay,firm,10,,soft - stiff fluvial ,,,,,,,"130 - 185, 1-10m"
WICS,2,clay,stiff,15,,"soft-stiff esturaine clay, with wood & vegetation",,,,,,138,10-21
WICS,3,silt & gravel,,75,,fluvial ,,,,,,247,21-28
WIGC,1,sandy silt over gravel,medium dense,,?,sandy silt (0.2m) over glacial outwash gravel (Burnham Fm),,,,,,,
WKHS,1,sand,medium dense,4,,loose to medium dense,,,,,,144,2 - 5m
WKHS,2,gravelly sand to sandy gravel,very dense,11,,,,,,,,205,5 - 7.5m
WKZ,1,,,0,,,,,,,,,
WLZ,1,,,0,,,,,,,,,
WNAS,1,sand,medium dense,3,,,,,,,,,
WNAS,2,"sand, silt & gravel",loose,13.5,,"loose to medium dense marine sand, silt & gravel",,,,,,,
WNAS,3,silt,stiff ,20.5,,stiff to very stiff silt (Pleistocene),,,,,,,
WNAS,4,gravel,dense,5,,marine gravel,,,,,,,
WNAS,5,sandy silty gravel ,very dense,22,,sandy silty gravel (Pleistocene),,,,,,,
WNHS,1,sandy clay,stiff,3,,mod plastic -  plastic stiff- firm,,,,,,,
WNKS,1,"alluvium, silt, loess, sand & Rangitawa Tephra",dense,50,<,stiff - dense?,,,,,,,
WNPS,1,gravel,dense,300,?,dense-very dense moraine outwash gravel,,,,,,,
WPBS,1,silt with wood ,soft,4,,fluvial silt with wood (Springston Fm),,,,,,,
WPBS,2,gravel & sand ,dense,5,,fluvial gravel & sand (Springston Fm),,,,,,,
WPBS,3,"sand, silt ",dense,15,,"marine / lagoonal sand, silt (Christchurch Fm) ",,,,,,,
WPBS,4,gravel,dense,10,,glacial outwash gravel (Riccarton Fm),,,,,,,
WPBS,5,"peat, silt, sand ",firm,18,,"soft to stiff/ dense marine/ lagoonal/ swamp peat, silt, sand (Bromley Fm)",,,,,,,
WPBS,6,gravel ,,20,,glacial outwash (Linwood gravel),,,,,,,
WPBS,7,gravels,very dense,700,,Tertiary rocks - effective bedrock,,,,,,,
WPWS,1,silt/ gravel,dense,10,+,,,,,,,,
WRCS,1,gravel & sand,medium dense,50,>,loose to dense post-glacial fluvial gravel & sand,,,,,,,
WRCS,2,gravel,very dense,50,>,glacial & inter-glacial outwash gravel,,,,,,,
WSFC,1,silt /gravel,medium dense,,?,silt (0.3m) over greywacke gravels (Burnham Fm),,,,,,,
WTMC,1,silt - silty clay /gravels,medium dense,,?,"firm/ medium dense silt (0.6m) over silty clay over greywacke gravels, sandstone & loess",,,,,,,
WVAS,1,"gravel, sand & silt",stiff,10,,soft-stiff/ medium dense fluvial ,,,,,,,
WVFS,1,sand/ silt & gravel,medium dense,10,>?,firm/ dense glacial outwash gravels ,,,,,,,
WVHS,1,"sand, peat, gravel",loose,12,<,"soft /loose to medium dense dune and marine sand, peat, gravel (Rapanui Fm)",,,,,,,
WVZ,1,,,0,,,,,,,,,
WVZS,1,,,0,,,,,,,,,
