Station,Layer,", Material  (Description)",", Overburden (Strength)",", Thickness ((m))",", Thickness (Notes)",", Notes ()",", References ()",", Bulk Dens ((t/m3))",", Bulk Dens (Notes)",", SPT(N) ()",", SPT(N) (Notes)",", Vs ((m/s))",", Vs (Notes)"
HECS,3,"ash, sand / silt ",medium dense,140,,"firm to stiff/ medium dense to dense ash, sand / silt / grit (Walton subgroup)",,,,,,,
HECS,4,,dense,270,,older sediments (Frankton subgroup) (effective bedrock?),,,,,,,
HIZ,1,,,0,,,,,,,,,
HMCS,1,sand & silt,medium dense,3,," medium dense/ firm estuarine sand & silt",,,,,,,
HMCS,2," gravel",medium dense,50,>,fluvial,,,,,,,
HMCS,3,gravel,dense,30,,"cemented ""old man"" ",,,,,,,
HNPS,1,topsoil over sands & silts,dense,300,2m topsoil?,(Castlecliffian),,,,,,,
HOCS,1,gravel,dense,300,,weathered Pleistocene terrace gravels,,,,,,,
HORC,1,sand - silt/ gravel,medium dense,,?,loess (0.7m) over fluvioglacial outwash gravel (Burnham Fm),,,,,,,
HSES,1,silty topsoil sand & gravel,loose,10,," loose/ soft alluvium Holocene",,,,,10 to 20,,
HSES,2,alluvium,medium dense,35,,dense with soft/ loose layers,,,,70,(10 in soft layers),,
HSES,3,"gravel, sand",dense,12,,alluvium,,,,,75 - 150,,
HSSS,1," fill",stiff,1,<,,,,,,,,
HSSS,2,,,0,,,,,,,,,
HUKS,1,silt,medium dense,,?," gravely layers near surface",,,,,,,
HWHS,1,clayey silts over gravels; some peat layers,firm,12,," soft/ medium dense Rapanui Fm",,,,,,78,1 - 9.5m
HWHS,2,,,,,,,,,,,182,9.5 - 10m
ICCS,1,silty topsoil over sandy gravel,medium dense,20,2m topsoil?," soft/ dense (Pleistocene alluvium)",,,,,,,
IFPS,1,sandy coarse gravel,medium dense,80,?,"loose to dense alluvium, scree",,,,,,,
INGS,1,gravel with sand beds,medium dense,10,,fluvial,,,,,,,
INHS,1,"mud, silt, sand",firm,100,?," firm/ dense Stratford Lahar",,,,,,,
INHS,2,"gravel, sand, silt",,100,?,Agglomerate,,,,,,,
INSS,1,,,0,,,,,,,,,
JACS,1,"Slope debris, siltstone",stiff,2,<?,,,,,,,,
JCZ,1,,,0,,,,,,,,,
KAFS,1,silts and gravels,medium dense,50,?," medium dense to dense alluvium",,,,,,,"107 (0 - 4m), 163 (4 - 7.5m)"
KAPS,1,fill over clayey silts and sands,very stiff,6,,hard/ stiff,,,,,,,
