Met Sensor Make,Met Sensor Model,Serial Number,Mark,IMS Comment,Latitude,Longitude,Height,Datum,Installation Date,Removal Date
Paroscientific,Paroscientific meterological sensor,65123,GRAC,,-41.2351,174.917,26,NZGD2000,1998-07-09T11:59:59Z,9998-12-31T11:00:00Z
Paroscientific,Paroscientific meterological sensor,65125,MTJO,,-43.9857,170.4649,1044,NZGD2000,2000-08-14T12:00:00Z,9998-12-31T11:00:00Z
Paroscientific,Paroscientific meterological sensor,65128,MQZG,,-43.7027,172.6547,155,NZGD2000,1999-09-26T12:00:00Z,9998-12-31T11:00:00Z
Paroscientific,Paroscientific meterological sensor,69937,KARA,,-43.6084,169.7752,1403,NZGD2000,2000-02-04T11:00:00Z,9998-12-31T11:00:00Z
Paroscientific,Paroscientific meterological sensor,69947,QUAR,,-43.5317,169.8158,58,NZGD2000,2000-02-04T11:00:00Z,9998-12-31T11:00:00Z
Paroscientific,Paroscientific meterological sensor,69948,CNCL,,-43.6662,169.8559,1222,NZGD2000,2000-02-04T11:00:00Z,9998-12-31T11:00:00Z
Paroscientific,Paroscientific meterological sensor,75128,NETT,,-43.7561,170.0612,2252,NZGD2000,2000-02-06T11:00:00Z,2008-03-17T15:00:01Z
Paroscientific,Paroscientific meterological sensor,75128,NETT,,-43.7561,170.0612,2252,NZGD2000,2000-02-06T11:00:00Z,2008-03-17T15:00:01Z
Paroscientific,Paroscientific meterological sensor,78879,PAEK,,-41.0218,174.9521,443,NZGD2000,2000-04-10T12:00:00Z,9998-12-31T11:00:00Z
