Sensor Make,Sensor Model,Serial Number,Station Code,Location Code,Installation Azimuth,Installation Dip,Installation Depth,Installation Date,Removal Date
AppliedGeomechanics,Lily tiltmeter,N7935,COVZ,90,233,0,64,2009-11-15T01:00:00Z,2013-05-24T00:00:00Z
AppliedGeomechanics,Lily tiltmeter,N8994,WNVZ,90,134,0,47,2011-02-10T01:00:00Z,9999-01-01T00:00:00Z
