Make,Model,Serial Number,Asset Number,Notes
GE Sensing,Druck PTX-1830,3047397,,
GE Sensing,Druck PTX-1830,3047398,,
GE Sensing,Druck PTX-1830,3116044,,
GE Sensing,Druck PTX-1830,3121351,,
GE Sensing,Druck PTX-1830,3121352,,
GE Sensing,Druck PTX-1830,3126134,,
GE Sensing,Druck PTX-1830,3126136,,
GE Sensing,Druck PTX-1830,3126137,,
GE Sensing,Druck PTX-1830,3133806,,
GE Sensing,Druck PTX-1830,3133809,,
GE Sensing,Druck PTX-1830,3133814,,
GE Sensing,Druck PTX-1830,3133818,,
GE Sensing,Druck PTX-1830,3133822,,
GE Sensing,Druck PTX-1830,3133823,,
GE Sensing,Druck PTX-1830,3133827,,
GE Sensing,Druck PTX-1830,3136132,,
GE Sensing,Druck PTX-1830,3136137,,
GE Sensing,Druck PTX-1830,3136140,,
GE Sensing,Druck PTX-1830,3150034,,
GE Sensing,Druck PTX-1830,3150035,,
GE Sensing,Druck PTX-1830,3150040,,
GE Sensing,Druck PTX-1830,3150041,,
GE Sensing,Druck PTX-1830,3292452,15075,
GE Sensing,Druck PTX-1830,3292453,15074,
GE Sensing,Druck PTX-1830,3292459,15117,
GE Sensing,Druck PTX-1830,3501234,,
GE Sensing,Druck PTX-1830,3501237,,
GE Sensing,Druck PTX-1830,3501251,,
GE Sensing,Druck PTX-1830,3511015,,
GE Sensing,Druck PTX-1830,3511019,,
GE Sensing,Druck PTX-1830,3511021,,
GE Sensing,Druck PTX-1830,3511023,,
GE Sensing,Druck PTX-1830,3511025,,
GE Sensing,Druck PTX-1830,3554661,,
GE Sensing,Druck PTX-1830,3562509,,
GE Sensing,Druck PTX-1830,3562510,,
GE Sensing,Druck PTX-1830,3562511,,
GE Sensing,Druck PTX-1830,3562512,,
GE Sensing,Druck PTX-1830,3562513,,
GE Sensing,Druck PTX-1830,3964175,,
GE Sensing,Druck PTX-1830,3964188,,
GE Sensing,Druck PTX-1830-LAND,2722283,,
GE Sensing,Druck PTX-1830-LAND,2722283L,,
GE Sensing,Druck PTX-1830-LAND,2933712L,,
GE Sensing,Druck PTX-1830-LAND,2933716L,,
GNS (Wairakei),Temperature sensor (K-type),Inferno OF1,,
GNS (Wairakei),Temperature sensor (K-type),Inferno1,,
GNS (Wairakei),Temperature sensor (K-type),TC20121206,,
GNS Science,LM35,T001,,
GNS Science,LM35,T002,,
GNS Science,SDP,A1,,
GNS Science,SDP,A10,,
GNS Science,SDP,A2,,
GNS Science,SDP,A3,,
GNS Science,SDP,A4,,
GNS Science,SDP,A5,,
GNS Science,SDP,A6,,
GNS Science,SDP,A7,,
GNS Science,SDP,A8,,
GNS Science,SDP,A9,13659,
GNS Science,SDP,SDP-001,,
GNS Science,SDP,SDP-002,,
Geospace,GS-11D seismometer,001,,
Geospace,GS-11D seismometer,002,,
Geospace,GS-11D seismometer,003,,
Geospace,GS-11D seismometer,004,,
Geospace,GS-11D seismometer,130738-001,,
Geospace,GS-11D seismometer,130738-003,,
Geospace,GS-11D seismometer,167522-001,,
Geospace,GS-11D seismometer,167522-002,,
Geospace,GS-11D seismometer,167522-003,,
Geospace,GS-11D seismometer,167522-004,,
Geospace,GS-11D seismometer,167522-005,,
Geospace,GS-11D seismometer,17757001,,
Geospace,GS-11D seismometer,17757002,,
Geospace,GS-11D seismometer,17757003,,
Geospace,GS-11D seismometer,17757004,,
Geospace,GS-11D seismometer,17757005,,
Geospace,GS-11D seismometer,17757006,,
Geospace,GS-11D seismometer,17757007,,
Geospace,GS-11D seismometer,17757008,,
Geospace,GS-11D seismometer,17757009,,
Geospace,GS-11D seismometer,17757010,,
Geospace,GS-11D seismometer,186859-01,,
Geospace,GS-11D seismometer,186859-02,,
Geospace,GS-11D seismometer,186859-03,,
Geospace,GS-11D seismometer,186859-04,,
Geospace,GS-11D seismometer,186859-05,,
Geospace,GS-11D seismometer,186859-06,,
Geospace,GS-11D seismometer,186859-07,,
Geospace,GS-11D seismometer,186859-08,,
Geospace,GS-11D seismometer,186859-09,,
Geospace,GS-11D seismometer,195380-01,,
Geospace,GS-11D seismometer,195380-02,,
Geospace,GS-11D seismometer,195380-03,,
Geospace,GS-11D seismometer,195380-04,,
Geospace,GS-11D seismometer,195380-05,,
Geospace,GS-11D seismometer,195380-06,,
Geospace,GS-11D seismometer,195380-07,,
Geospace,GS-11D seismometer,195380-08,,
Geospace,GS-11D seismometer,195380-09,,
Geospace,GS-11D seismometer,195380-10,,
Geospace,GS-11D seismometer,MRP 014,,Double entry for MRP 14
Geospace,GS-11D seismometer,MRP 015,,
Geospace,GS-11D seismometer,MRP 016,,
Geospace,GS-11D seismometer,MRP001,,
Geospace,GS-11D seismometer,MRP002,,
Geospace,GS-11D seismometer,MRP003,,
Geospace,GS-11D seismometer,MRP004,,
Geospace,GS-11D seismometer,MRP005,,
Geospace,GS-11D seismometer,MRP006,,
Geospace,GS-11D seismometer,MRP007,,
Geospace,GS-11D seismometer,MRP008,,
Geospace,GS-11D seismometer,MRP009,,
Geospace,GS-11D seismometer,MRP010,,
Geospace,GS-11D seismometer,MRP011,,
Geospace,GS-11D seismometer,MRP012,,
Geospace,GS-11D seismometer,MRP013,,
Geospace,GS-11D seismometer,MRP014,,
Geospace,Geospace sensor GS-20DM,DFDP#2,,
Guralp,CMG-3ESP,T3137,,
Guralp,CMG-3ESP,T33794,10721,
Guralp,CMG-3ESP,T33795,10711,
Guralp,CMG-3ESP,T367,,
Guralp,CMG-3ESP,T3B41,9140,
Guralp,CMG-3ESP,T3B45,9139,
Guralp,CMG-3ESP,T3B46,9142,
Guralp,CMG-3ESP,T3B59,9135,
Guralp,CMG-3ESP,T3B60,9136,
Guralp,CMG-3ESP,T3B61,9220,
Guralp,CMG-3ESP,T3B62,9138,
Guralp,CMG-3ESP,T3B63,9137,
Guralp,CMG-3ESP,T3B64,9132,
Guralp,CMG-3ESP,T3B65,9141,
Guralp,CMG-3ESP,T3B66,9133,
Guralp,CMG-3ESP,T3B67,9134,
Guralp,CMG-3ESP,T3E65,9287,
