Make,Model,Serial Number,Asset Number,Notes
Trimble,TRIMBLE NETR9,5118K75475,14565,
Trimble,TRIMBLE NETR9,5118K75487,14566,
Trimble,TRIMBLE NETR9,5119K75698,14567,
Trimble,TRIMBLE NETR9,5121K76074,14568,
Trimble,TRIMBLE NETR9,5121K76077,14569,
Trimble,TRIMBLE NETR9,5122K76160,14570,
Trimble,TRIMBLE NETR9,5152K81077,,
Trimble,TRIMBLE NETR9,5206K82071,14837,destroyed in Tongariro eruption
Trimble,TRIMBLE NETR9,5207K82212,14838,
Trimble,TRIMBLE NETR9,5207K82240,14839,
Trimble,TRIMBLE NETR9,5207K82248,14840,
Trimble,TRIMBLE NETR9,5207K82280,14841,
Trimble,TRIMBLE NETR9,5213K83563,15029,
Trimble,TRIMBLE NETR9,5213K83601,15030,
Trimble,TRIMBLE NETR9,5213K83649,15031,
Trimble,TRIMBLE NETR9,5213K83650,15032,
Trimble,TRIMBLE NETR9,5213K83652,15033,
Trimble,TRIMBLE NETR9,5213K83653,15034,
Trimble,TRIMBLE NETR9,5213K83722,15035,
Trimble,TRIMBLE NETR9,5215K84097,15036,
Trimble,TRIMBLE NETR9,5215K84098,15037,
Trimble,TRIMBLE NETR9,5215K84153,15038,
Trimble,TRIMBLE NETR9,5245K53218,15302,
Trimble,TRIMBLE NETR9,5245K54535,15301,
Trimble,TRIMBLE NETR9,5246K53593,15305,
Trimble,TRIMBLE NETR9,5246K53603,15308,
Trimble,TRIMBLE NETR9,5248K54179,15303,
Trimble,TRIMBLE NETR9,5249K40315,15304,
Trimble,TRIMBLE NETR9,5249K40325,15306,
Trimble,TRIMBLE NETR9,5249K54373,15307,
Trimble,TRIMBLE NETR9,5301K56131,15269,
Trimble,TRIMBLE NETR9,5302K41648,15268,
Trimble,TRIMBLE NETR9,5304K50023,15589,
Trimble,TRIMBLE NETR9,5306K41807,15274,
Trimble,TRIMBLE NETR9,5306K41857,15266,
Trimble,TRIMBLE NETR9,5306K41861,15265,
Trimble,TRIMBLE NETR9,5306K41886,15270,
Trimble,TRIMBLE NETR9,5306K41887,15272,
Trimble,TRIMBLE NETR9,5306K50881,15580,
Trimble,TRIMBLE NETR9,5307K50971,15579,
Trimble,TRIMBLE NETR9,5307K50976,15590,
Trimble,TRIMBLE NETR9,5308K41925,15273,
Trimble,TRIMBLE NETR9,5308K42011,15267,
Trimble,TRIMBLE NETR9,5308K42013,15271,
Trimble,TRIMBLE NETR9,5444R50018,16165,
Trimble,TRIMBLE NETR9,5444R50036,16162,
Trimble,TRIMBLE NETR9,5444R50040,16163,
Trimble,TRIMBLE NETR9,5444R50049,16164,
Trimble,TRIMBLE NETR9,5503R50008,16288,
Trimble,TRIMBLE NETR9,5503R50011,16306,
Trimble,TRIMBLE NETR9,5504R50165,16241,
Trimble,TRIMBLE NETR9,5504R50167,16308,
Trimble,TRIMBLE NETR9,5504R50170,16304,
Trimble,TRIMBLE NETR9,5505R50001,16305,
Trimble,TRIMBLE NETR9,5505R50003,16284,
Trimble,TRIMBLE NETR9,5505R50016,16293,
Trimble,TRIMBLE NETR9,5505R50019,16313,
Trimble,TRIMBLE NETR9,5505R50021,16300,
Trimble,TRIMBLE NETR9,5505R50023,16297,
Trimble,TRIMBLE NETR9,5505R50025,16242,
Trimble,TRIMBLE NETR9,5505R50026,16321,
Trimble,TRIMBLE NETR9,5505R50028,16291,
Trimble,TRIMBLE NETR9,5505R50032,16314,
Trimble,TRIMBLE NETR9,5505R50033,16307,
Trimble,TRIMBLE NETR9,5505R50034,16301,
Trimble,TRIMBLE NETR9,5505R50036,16320,
Trimble,TRIMBLE NETR9,5505R50037,16234,
Trimble,TRIMBLE NETR9,5505R50038,16280,
Trimble,TRIMBLE NETR9,5505R50142,16302,
Trimble,TRIMBLE NETR9,5505R50143,16278,
Trimble,TRIMBLE NETR9,5505R50152,16232,
Trimble,TRIMBLE NETR9,5505R50155,16233,
Trimble,TRIMBLE NETR9,5505R50156,16295,
Trimble,TRIMBLE NETR9,5505R50157,16299,
Trimble,TRIMBLE NETR9,5505R50158,16303,
Trimble,TRIMBLE NETR9,5505R50159,16316,
Trimble,TRIMBLE NETR9,5505R50160,16237,
Trimble,TRIMBLE NETR9,5505R50161,16279,
Trimble,TRIMBLE NETR9,5505R50162,16236,
Trimble,TRIMBLE NETR9,5505R50168,16319,
Trimble,TRIMBLE NETR9,5505R50170,16309,
Trimble,TRIMBLE NETR9,5505R50175,16310,
Trimble,TRIMBLE NETR9,5506R50082,16245,
Trimble,TRIMBLE NETR9,5508R50018,16243,
Trimble,TRIMBLE NETR9,5508R50020,16287,
Trimble,TRIMBLE NETR9,5508R50041,16290,
Trimble,TRIMBLE NETR9,5508R50064,16294,
Trimble,TRIMBLE NETR9,5508R50108,16296,
Trimble,TRIMBLE NETR9,5508R50111,16298,
Trimble,TRIMBLE NETR9,5522R50001,16285,
Trimble,TRIMBLE NETR9,5522R50003,16270,
Trimble,TRIMBLE NETR9,5522R50004,16315,
Trimble,TRIMBLE NETR9,5522R50005,16253,
Trimble,TRIMBLE NETR9,5522R50006,16260,
Trimble,TRIMBLE NETR9,5522R50007,16262,
Trimble,TRIMBLE NETR9,5522R50008,16277,
Trimble,TRIMBLE NETR9,5522R50009,16240,
Trimble,TRIMBLE NETR9,5522R50010,16289,
Trimble,TRIMBLE NETR9,5522R50012,16318,
Trimble,TRIMBLE NETR9,5522R50013,16254,
Trimble,TRIMBLE NETR9,5522R50014,16259,
Trimble,TRIMBLE NETR9,5522R50015,16263,
Trimble,TRIMBLE NETR9,5522R50016,16246,
Trimble,TRIMBLE NETR9,5522R50017,16239,
Trimble,TRIMBLE NETR9,5522R50018,16244,
Trimble,TRIMBLE NETR9,5522R50020,16281,
Trimble,TRIMBLE NETR9,5522R50021,16250,
Trimble,TRIMBLE NETR9,5522R50022,16311,
Trimble,TRIMBLE NETR9,5522R50037,16264,
Trimble,TRIMBLE NETR9,5522R50041,16252,
Trimble,TRIMBLE NETR9,5522R50043,16261,
Trimble,TRIMBLE NETR9,5522R50044,16274,
Trimble,TRIMBLE NETR9,5522R50045,16248,
Trimble,TRIMBLE NETR9,5522R50046,16249,
Trimble,TRIMBLE NETR9,5522R50047,16276,
Trimble,TRIMBLE NETR9,5522R50048,16235,
Trimble,TRIMBLE NETR9,5522R50049,16269,
Trimble,TRIMBLE NETR9,5522R50050,16257,
Trimble,TRIMBLE NETR9,5522R50052,16312,
Trimble,TRIMBLE NETR9,5522R50053,16238,
Trimble,TRIMBLE NETR9,5522R50054,16268,
Trimble,TRIMBLE NETR9,5522R50057,16256,
Trimble,TRIMBLE NETR9,5522R50059,16251,
Trimble,TRIMBLE NETR9,5522R50060,16258,
Trimble,TRIMBLE NETR9,5522R50061,16255,
Trimble,TRIMBLE NETR9,5522R50062,16282,
Trimble,TRIMBLE NETR9,5522R50066,16271,
Trimble,TRIMBLE NETR9,5522R50068,16247,
Trimble,TRIMBLE NETR9,5522R50071,16292,
Trimble,TRIMBLE NETR9,5522R50086,16266,
Trimble,TRIMBLE NETR9,5522R50089,16317,
Trimble,TRIMBLE NETR9,5522R50094,16272,
Trimble,TRIMBLE NETR9,5522R50095,16267,
Trimble,TRIMBLE NETR9,5522R50096,16265,
Trimble,TRIMBLE NETR9,5522R50097,16273,
Trimble,TRIMBLE NETR9,5522R50098,16275,
Trimble,TRIMBLE NETR9,5522R50130,16286,
Trimble,TRIMBLE NETR9,5522R50131,16283,
Trimble,TRIMBLE NETRS,4350230187,10062,
Trimble,TRIMBLE NETRS,4350230198,,
Trimble,TRIMBLE NETRS,4351230275,,
Trimble,TRIMBLE NETRS,4351230281,,
Trimble,TRIMBLE NETRS,4351230285,9683,obsolete
Trimble,TRIMBLE NETRS,4351230292,,
Trimble,TRIMBLE NETRS,4351230295,,
Trimble,TRIMBLE NETRS,4351230299,,
Trimble,TRIMBLE NETRS,4351230300,9751,obsolete
Trimble,TRIMBLE NETRS,4351230301,9679,Broken
Trimble,TRIMBLE NETRS,4351230303,,
Trimble,TRIMBLE NETRS,4351230304,,
Trimble,TRIMBLE NETRS,4351230306,,
Trimble,TRIMBLE NETRS,4351230307,9845,obsolete
Trimble,TRIMBLE NETRS,4351230312,,
Trimble,TRIMBLE NETRS,4351230315,9711,obsolete
Trimble,TRIMBLE NETRS,4351230316,9682,obsolete
Trimble,TRIMBLE NETRS,4351230318,9680,Broken
Trimble,TRIMBLE NETRS,4351230319,9681,
Trimble,TRIMBLE NETRS,4352230457,,
Trimble,TRIMBLE NETRS,4356263016,,
Trimble,TRIMBLE NETRS,4415233388,10061,
Trimble,TRIMBLE NETRS,4415233391,,Obsolete
Trimble,TRIMBLE NETRS,4415233392,10332,Obsolete
Trimble,TRIMBLE NETRS,4415233396,,
Trimble,TRIMBLE NETRS,4415233401,,
Trimble,TRIMBLE NETRS,4415233402,,
Trimble,TRIMBLE NETRS,4426235478,9789,Broken
Trimble,TRIMBLE NETRS,4426235479,9787,Broken
Trimble,TRIMBLE NETRS,4426235511,10067,
Trimble,TRIMBLE NETRS,4429236308,,
Trimble,TRIMBLE NETRS,4429236313,9805,
Trimble,TRIMBLE NETRS,4429236315,9799,obsolete
Trimble,TRIMBLE NETRS,4429236321,9784,
Trimble,TRIMBLE NETRS,4429236323,9798,Broken
Trimble,TRIMBLE NETRS,4429236325,9806,Broken
Trimble,TRIMBLE NETRS,4429236327,,
Trimble,TRIMBLE NETRS,4429236328,9785,Broken
Trimble,TRIMBLE NETRS,4429236329,9797,Broken
Trimble,TRIMBLE NETRS,4429236334,9788,
Trimble,TRIMBLE NETRS,4429236335,,
Trimble,TRIMBLE NETRS,4429236336,9796,
Trimble,TRIMBLE NETRS,4429236339,,
Trimble,TRIMBLE NETRS,4429236341,9795,
Trimble,TRIMBLE NETRS,4429236343,,
Trimble,TRIMBLE NETRS,4429236345,,Broken
Trimble,TRIMBLE NETRS,4429236346,9786,
Trimble,TRIMBLE NETRS,4431236756,04OSU G20142,
Trimble,TRIMBLE NETRS,4431236764,,
Trimble,TRIMBLE NETRS,4435237644,9875,
Trimble,TRIMBLE NETRS,4435237646,9890,obsolete
Trimble,TRIMBLE NETRS,4435237647,9884,
Trimble,TRIMBLE NETRS,4435237648,9903,
Trimble,TRIMBLE NETRS,4435237651,9880,
Trimble,TRIMBLE NETRS,4435237652,9901,
Trimble,TRIMBLE NETRS,4435237653,9893,
Trimble,TRIMBLE NETRS,4435237656,9873,
Trimble,TRIMBLE NETRS,4435237657,9878,Broken
Trimble,TRIMBLE NETRS,4435237658,9907,
Trimble,TRIMBLE NETRS,4435237659,9877,
Trimble,TRIMBLE NETRS,4435237660,9908,
Trimble,TRIMBLE NETRS,4435237661,9870,
Trimble,TRIMBLE NETRS,4435237662,9868,obsolete
Trimble,TRIMBLE NETRS,4435237663,9895,
Trimble,TRIMBLE NETRS,4435237664,9879,
Trimble,TRIMBLE NETRS,4435237665,9892,
Trimble,TRIMBLE NETRS,4435237666,9899,Broken
Trimble,TRIMBLE NETRS,4435237667,9881,
Trimble,TRIMBLE NETRS,4435237669,9886,
Trimble,TRIMBLE NETRS,4435237672,9882,
Trimble,TRIMBLE NETRS,4435237673,9889,
Trimble,TRIMBLE NETRS,4435237674,9887,
Trimble,TRIMBLE NETRS,4435237675,9874,obsolete
Trimble,TRIMBLE NETRS,4435237678,9871,
Trimble,TRIMBLE NETRS,4435237680,9872,
Trimble,TRIMBLE NETRS,4435237682,9888,
Trimble,TRIMBLE NETRS,4435237684,9885,
Trimble,TRIMBLE NETRS,4435237686,9897,
Trimble,TRIMBLE NETRS,4435237687,9891,
Trimble,TRIMBLE NETRS,4435237688,9902,Broken
Trimble,TRIMBLE NETRS,4435237689,9894,obsolete
Trimble,TRIMBLE NETRS,4435237690,9883,Broken
Trimble,TRIMBLE NETRS,4435237691,9906,Broken
