Make,Model,Serial,Number,Notes
Canterbury Seismic Instruments,CUSP-Me,3De-20828e,15658,
Canterbury Seismic Instruments,CUSP-Me,3De-20829e,15659,
Canterbury Seismic Instruments,CUSP-Me,3De-20830e,15660,
Canterbury Seismic Instruments,CUSP-Me,3De-20831e,15551,
Canterbury Seismic Instruments,CUSP-Me,3De-20832e,15552,
Canterbury Seismic Instruments,CUSP-Me,3De-20833e,15661,
Canterbury Seismic Instruments,CUSP-Me,3De-20834e,15662,
Canterbury Seismic Instruments,CUSP-Me,3De-20835e,15720,
Canterbury Seismic Instruments,CUSP-Me,3De-20836e,15663,
Canterbury Seismic Instruments,CUSP-Me,3De-20837e,15664,
Canterbury Seismic Instruments,CUSP-Me,3De-20838e,15665,
Canterbury Seismic Instruments,CUSP-Me,3De-20839e,15666,
Canterbury Seismic Instruments,CUSP-Me,3De-20840e,15721,
Canterbury Seismic Instruments,CUSP-Me,3De-20841e,15722,
Canterbury Seismic Instruments,CUSP-Me,3De-20842e,15723,
Canterbury Seismic Instruments,CUSP-Me,3De-20843e,15724,
Canterbury Seismic Instruments,CUSP-Me,3De-20844e,15725,
Canterbury Seismic Instruments,CUSP-Me,3De-20845e,15726,
Canterbury Seismic Instruments,CUSP-Me,3De-20846e,15727,
Canterbury Seismic Instruments,CUSP-Me,3De-20847e,15728,
Canterbury Seismic Instruments,CUSP-Me,3De-20848e,15729,
Canterbury Seismic Instruments,CUSP-Me,3De-20850e,15731,
Canterbury Seismic Instruments,CUSP-Me,3De-20852e,15733,
Canterbury Seismic Instruments,CUSP-Me,3De-20853e,15734,
Canterbury Seismic Instruments,CUSP-Me,3De-20854e,15735,
Canterbury Seismic Instruments,CUSP-Me,3De-20855e,15667,
Canterbury Seismic Instruments,CUSP-Me,3De-20856e,15736,
Canterbury Seismic Instruments,CUSP-Me,3De-20857e,15737,
Canterbury Seismic Instruments,CUSP-Me,3De-20858e,15738,
Canterbury Seismic Instruments,CUSP-Me,3De-20859e,15739,
Canterbury Seismic Instruments,CUSP-Me,3De-20860e,15668,
Canterbury Seismic Instruments,CUSP-Me,3De-20861e,15740,
Canterbury Seismic Instruments,CUSP-Me,3De-20862e,15741,
Canterbury Seismic Instruments,CUSP-Me,3De-20863e,15669,
Canterbury Seismic Instruments,CUSP-Me,3De20703,15581,
Canterbury Seismic Instruments,CUSP-Me,3De20704,15582,
Canterbury Seismic Instruments,CUSP-Me,3De20705,15583,
Canterbury Seismic Instruments,CUSP-Me,3De20706,15584,
Canterbury Seismic Instruments,CUSP-Me,3De20707,15585,
Canterbury Seismic Instruments,CUSP-Me,3De20708,15586,
Canterbury Seismic Instruments,CUSP-Me,3De20709,15587,
Canterbury Seismic Instruments,CUSP-Me,3De20875,16656,
Canterbury Seismic Instruments,CUSP-Me,3De20909,16601,
Canterbury Seismic Instruments,CUSP-Me,3De20910,16602,
Canterbury Seismic Instruments,CUSP-Me,3De20911,16603,
Canterbury Seismic Instruments,CUSP-Me,3De20912,16604,
Canterbury Seismic Instruments,CUSP-Me,3De20913,16605,
Canterbury Seismic Instruments,CUSP-Me,3De20914,16606,
Canterbury Seismic Instruments,CUSP-Me,3De20915,16607,
Canterbury Seismic Instruments,CUSP-Me,3De20916,16608,
Canterbury Seismic Instruments,CUSP-Me,3De20917,16609,
Canterbury Seismic Instruments,CUSP-Me,3De20918,16610,
Canterbury Seismic Instruments,CUSP-Me,3De20919,16611,
Canterbury Seismic Instruments,CUSP-Me,3De20920,16612,
Canterbury Seismic Instruments,CUSP-Me,3De20921,16613,
Canterbury Seismic Instruments,CUSP-Me,3De20922,16614,
Canterbury Seismic Instruments,CUSP-Me,3De20923,16615,
Canterbury Seismic Instruments,CUSP-Me,3De20924,16616,
