Datalogger Make,Datalogger Model,Serial Number,Deployment Place,Installation Date,Removal Date
Guralp,GURALP-SAM-RECORDER,S0125,Tongariro River,2001-01-15T19:00:00Z,2001-06-19T15:05:00Z
Guralp,GURALP-SAM-RECORDER,S0143,Wharepipi,2001-01-27T01:01:00Z,2001-06-16T19:30:00Z
